# TECHS,tech_alias,tech_cap (kg/day),tech_invcost ($),tech_refprod,operating_cost($/yr)
t1,AD + Cleaning + Generator (10000 AU),749200,1.02E+07,p1,5.10E+05
t2,AD + Cleaning   (10000 AU),749200,7.89E+06,p1,3.53E+05
t3,AD + Cleaning + Liquefaction  (10000 AU),749200,1.51E+07,p1,4.59E+05
t4,AD + Filter  (10000 AU),749200,5.04E+06,p1,2.14E+06
t5,AD + Centrifuge  (10000 AU),749200,7.24E+06,p1,3.26E+06
t6,AD + Coag-Floc  (10000 AU),749200,1.10E+07,p1,2.79E+06
t7,AD + FBR  (10000 AU),749200,9.21E+06,p1,4.87E+06
t8,AD + CSTR  (10000 AU),749200,1.01E+07,p1,5.20E+06
t9,AD + Cleaning + Generator (5000 AU),374600,6.46E+06,p1,3.23E+05
t10,AD + Cleaning (5000 AU),374600,4.51E+06,p1,2.12E+05
t11,AD + Cleaning + Liquefaction (5000 AU),374600,9.05E+06,p1,2.79E+05
t12,AD + Filter  (5000 AU),374600,2.70E+06,p1,1.34E+06
t13,AD + Centrifuge (5000 AU),374600,4.09E+06,p1,2.04E+06
t14,AD + Coag-Floc (5000 AU),374600,6.46E+06,p1,1.74E+06
t15,AD + FBR (5000 AU),374600,5.33E+06,p1,3.06E+06
t16,AD + CSTR (5000 AU),374600,5.90E+06,p1,3.26E+06
t17,AD (10000 AU),749200,5.01E+06,p1,1.20E+05
t18,AD (5000 AU),374600,2.69E+06,p1,6.45E+04
t19,AD + Filter + Cleaning + Generator (5000 AU),374600,6.47E+06,p1,1.59E+06
t20,AD + Filter + Cleaning  (5000 AU),374600,4.52E+06,p1,1.48E+06
t21,AD + Filter + Cleaning + Liquefaction (5000 AU),374600,9.06E+06,p1,1.55E+06
t22,AD + Centrifuge + Cleaning + Generator (5000 AU),374600,7.86E+06,p1,2.30E+06
t23,AD + Centrifuge + Cleaning  (5000 AU),374600,5.91E+06,p1,2.19E+06
t24,AD + Centrifuge + Cleaning + Liquefaction (5000 AU),374600,1.05E+07,p1,2.25E+06
t25,AD + Coag. Floc. + Cleaning + Generator (5000 AU),374600,1.02E+07,p1,2.00E+06
t26,AD + Coag. Floc. + Cleaning  (5000 AU),374600,8.28E+06,p1,1.89E+06
t27,AD + Coag. Floc. + Cleaning + Liquefaction (5000 AU),374600,1.28E+07,p1,1.96E+06
t28,AD + FBR + Cleaning + Generator (5000 AU),374600,9.10E+06,p1,3.31E+06
t29,AD + FBR + Cleaning  (5000 AU),374600,7.15E+06,p1,3.20E+06
t30,AD + FBR + Cleaning + Liquefaction (5000 AU),374600,1.17E+07,p1,3.27E+06
t31,AD + CSTR + Cleaning + Generator (5000 AU),374600,9.68E+06,p1,3.52E+06
t32,AD + CSTR + Cleaning  (5000 AU),374600,7.73E+06,p1,3.41E+06
t33,AD + CSTR + Cleaning + Liquefaction (5000 AU),374600,1.23E+07,p1,3.48E+06
t34,AD + Filter + Cleaning + Generator (10000 AU),749200,1.02E+07,p1,2.53E+06
t35,AD + Filter + Cleaning  (10000 AU),749200,7.91E+06,p1,2.37E+06
t36,AD + Filter + Cleaning + Liquefaction (10000 AU),749200,1.51E+07,p1,2.48E+06
t37,AD + Centrifuge + Cleaning + Generator (10000 AU),749200,1.24E+07,p1,3.65E+06
t38,AD + Centrifuge + Cleaning  (10000 AU),749200,1.01E+07,p1,3.49E+06
t39,AD + Centrifuge + Cleaning + Liquefaction (10000 AU),749200,1.73E+07,p1,3.59E+06
t40,AD + Coag. Floc. + Cleaning + Generator (10000 AU),749200,1.62E+07,p1,3.18E+06
t41,AD + Coag. Floc. + Cleaning  (10000 AU),749200,1.39E+07,p1,3.02E+06
t42,AD + Coag. Floc. + Cleaning + Liquefaction (10000 AU),749200,2.10E+07,p1,3.12E+06
t43,AD + FBR + Cleaning + Generator (10000 AU),749200,1.44E+07,p1,5.26E+06
t44,AD + FBR + Cleaning  (10000 AU),749200,1.21E+07,p1,5.10E+06
t45,AD + FBR + Cleaning + Liquefaction (10000 AU),749200,1.93E+07,p1,5.21E+06
t46,AD + CSTR + Cleaning + Generator (10000 AU),749200,1.53E+07,p1,5.59E+06
t47,AD + CSTR + Cleaning  (10000 AU),749200,1.30E+07,p1,5.43E+06
t48,AD + CSTR + Cleaning + Liquefaction (10000 AU),749200,2.02E+07,p1,5.54E+06
