,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n1,-17.76165925535373,-24.19070539913373,-18.949364559905803,0.0,-0.0,-0.0,-0.0,797.4242058563158,-16.549139171355556,-24.593879989033482,-19.21375691630058,-16.3934643850249,-15.883349555100688,-11.332971875426134,97.42420585631584,97.42420585631584,97.42420585631584,-0.0,-0.0,-0.0,
n2,-17.787438998111096,-24.312335029349427,-19.068436297289807,0.0,-0.0,-0.0,-0.0,797.4767111364057,-16.536805518288308,-24.603011800403117,-19.203728531018594,-16.406180745340187,-15.880753746218458,-11.330261404967988,97.47671113640574,97.47671113640574,97.47671113640574,-0.0,-0.0,-0.0,
n3,-17.51412526427663,-23.670116344086527,-19.34034628454853,0.0,-0.0,-0.0,-0.0,796.7296543177149,-15.815812930108416,-23.638429578876135,-18.41064167352474,-16.721096267685276,-16.35884379711272,-11.752900159351668,96.72965431771486,96.72965431771486,96.72965431771486,-0.0,-0.0,-0.0,
n4,-17.285332554777504,-24.53112651856006,-19.29412115371202,0.0,-0.0,-0.0,-0.0,797.5325822697752,-17.12037218226155,-25.08182389407216,-19.527217620522674,-16.55618516591013,-15.598082895502131,-11.047713933497821,97.5325822697752,97.5325822697752,97.5325822697752,-0.0,-0.0,-0.0,
n5,-17.560059208279846,-24.52642370097475,-19.26646605516778,0.0,-0.0,-0.0,-0.0,797.6586233742238,-16.84564552875921,-25.15864242264859,-19.610222213067566,-16.409674837109208,-15.584549589379497,-11.034084565667678,97.65862337422374,97.65862337422374,97.65862337422374,-0.0,-0.0,-0.0,
n6,-18.22130382735265,-24.71493351733427,-19.234035761624877,0.0,-0.0,-0.0,-0.05594521103199332,797.7028444423858,-16.840221274874867,-25.668999472275196,-20.07246155420474,-16.155151401762698,-15.2574323450104,-10.686657137136736,97.70284444238578,97.70284444238578,97.70284444238578,-0.0,-0.0,-0.0,
n7,-18.300218592146003,-24.564548151050257,-18.982668552758327,0.0,-0.0,-0.0,-0.0,797.573568966007,-16.867321685997513,-25.406124781920504,-19.808505068297034,-16.222696731294672,-15.3525315292609,-10.763050330272327,97.57356896600699,97.57356896600699,97.57356896600699,-0.0,-0.0,-0.0,
n8,-18.473420461351964,-24.935384958083592,-19.534271441377772,0.0,-0.0,-0.03401355517868196,-0.0,798.0864600854142,-16.758969934935347,-25.518483617078452,-19.949440528531554,-16.110885499169864,-15.339897620308973,-10.791664725150676,98.08646008541416,98.08646008541416,98.08646008541416,-0.0,-0.0,-0.0,
n9,-16.793944173018286,-24.054580687987688,-18.91011242962011,0.0,-0.0,-0.0,-0.0,798.4145609975778,-16.710562917200495,-24.08477061294074,-18.832057528708326,-15.40449719665548,-16.246034220537034,-11.440288258357347,98.41456099757787,98.41456099757787,98.41456099757787,-0.0,-0.0,-0.0,
n10,-16.604738067249336,-23.864167284719006,-18.655036574761816,0.0,-0.0,-0.0,-0.0,798.2389124875506,-16.28007521171228,-23.858507275376127,-18.591121918022136,-15.63420642376209,-16.378419410910336,-11.646893880400233,98.23891248755054,98.23891248755054,98.23891248755054,-0.0,-0.0,-0.0,
n11,-16.99288486353635,-23.913971901801126,-18.72137116092607,0.0,-0.0,-0.0,-0.0,798.4758393010561,-16.51163741342627,-23.92418874720279,-18.677610347521988,-15.502718794304979,-16.3089560758243,-11.479752191124401,98.47583930105608,98.47583930105608,98.47583930105608,-0.0,-0.0,-0.0,
n12,-17.00173776730463,-23.770579922124387,-18.591917029082882,0.0,-0.0,-0.0,-0.0,798.507057728507,-16.321763371929382,-23.733493872557258,-18.62736502445721,-15.588296779880444,-16.299078678456297,-11.490191824264164,98.50705772850701,98.50705772850701,98.50705772850701,-0.0,-0.0,-0.0,
n13,-16.75588681618629,-23.838466895170598,-18.688015193453076,0.0,-0.0,-0.0,-0.0,798.109719232489,-16.111351220600138,-23.86983011704968,-18.583421224002993,-15.73478406680703,-16.353561252527694,-11.770827473813197,98.109719232489,98.109719232489,98.109719232489,-0.0,-0.0,-0.0,
n14,-17.893832706219786,-24.355839651947676,-19.11760777313288,0.0,-0.0,-0.0,-0.0,797.6098025931095,-16.567989806542244,-24.659653060436796,-19.24141844251463,-16.2647293823408,-15.913893736440322,-11.367353638679749,97.60980259310956,97.60980259310956,97.60980259310956,-0.0,-0.0,-0.0,
n15,-17.075679932866016,-23.59955754848594,-18.48763256254754,0.0,-0.0,-0.0,-0.0,797.891535919738,-16.037007602061813,-24.07951640532603,-18.855778403193522,-15.94576109082859,-16.40890933841769,-11.866302366952727,97.89153591973803,97.89153591973803,97.89153591973803,-0.0,-0.06489786737076668,-0.0,
n16,-16.025617868574475,-22.94442877441591,-18.033759035469913,0.0,-0.025074051407043753,-0.0,-0.0,797.3531861961138,-15.685504958239656,-23.14774861933793,-18.10580066270957,-16.7141512925368,-17.253047794713414,-12.67448159463973,97.35318619611384,97.35318619611384,97.35318619611384,-0.0,-0.0,-0.0,
n17,-17.74876049053409,-23.724952794976726,-18.59446508760547,0.0,-0.0,-0.0,-0.0,796.9217768383465,-15.84947790326641,-23.8757794629319,-18.673867828307834,-16.60054648355792,-16.841312264228527,-12.351471985032193,96.92177683834655,96.92177683834655,96.92177683834655,-0.0,-0.0,-0.0,
n18,-17.969611864512313,-23.739607357058592,-18.62168025164063,0.0,-0.0,-0.0,-0.0,796.7424447599332,-15.910399850685131,-23.72052280761667,-18.532486533176083,-16.579164154392604,-17.0180524567333,-12.467533691244745,96.74244475993319,96.74244475993319,96.74244475993319,-0.0,-0.0,-0.0,
n19,-16.47158147504222,-23.744632794464486,-18.529736354712803,0.0,-0.0,-0.0,-0.0,798.2244581457484,-16.312959918520203,-23.73486059798518,-18.476044713502063,-15.691127848066264,-16.41508003949866,-11.717910729577362,98.22445814574841,98.22445814574841,98.22445814574841,-0.0,-0.01799243113461274,-0.0,
n20,-15.876489770404369,-22.757095643324075,-17.780224191133886,0.0,-0.0,-0.0,-0.0,797.7800282551148,-15.563139736552545,-22.926337608772087,-17.740063708000154,-16.34840505706451,-17.043638191546613,-12.252120775741702,97.7800282551147,97.7800282551147,97.7800282551147,-0.0,-0.0,-0.0,
n21,-17.51636907728206,-23.675972396364017,-18.452345486470776,0.0,-0.0,-0.0436381259353082,-0.0,797.4439748988905,-16.00069630449267,-24.086241141688006,-18.837213937018138,-16.362693023822725,-16.499073203064476,-11.948531704166907,97.44397489889045,97.44397489889045,97.44397489889045,-0.0,-0.0,-0.0,
n22,-16.042628229745528,-23.152925782525323,-18.349014177214663,0.0,-0.0,-0.0,-0.0,796.4828447493143,-14.637060942420845,-21.70510110281759,-16.97003518973852,-17.52296877044465,-17.905531020326844,-13.095167950341416,96.4828447493143,96.4828447493143,96.4828447493143,-0.0,-0.0,-0.0,
n23,-16.13089611496096,-23.22058634780188,-18.41716460065736,0.0,-0.0,-0.0,-0.0,796.4503925186499,-14.54712532977046,-21.626121849060567,-16.8811051904211,-17.475072449330664,-17.85897013710801,-13.06275058727214,96.45039251864993,96.45039251864993,96.45039251864993,-0.0,-0.0,-0.0,
