node,x,y,p2
n1,43.1702003,-89.5497971,-24.1907054
n2,43.1697998,-89.5447998,-24.31233503
n3,43.1987991,-89.5868988,-23.67011634
n4,43.153801,-89.5569992,-24.53112652
n5,43.1529999,-89.5457001,-24.5264237
n6,43.1259995,-89.5635986,-24.71493352
n7,43.1259995,-89.574501,-24.56454815
n8,43.1226006,-89.5328979,-24.93538496
n9,43.148201,-89.4681015,-24.05458069
n10,43.1609993,-89.4651031,-23.86416728
n11,43.1478004,-89.4598999,-23.9139719
n12,43.1488991,-89.4518967,-23.77057992
n13,43.1666985,-89.4717026,-23.8384669
n14,43.1696014,-89.5307007,-24.35583965
n15,43.1780014,-89.4785995,-23.59955755
n16,43.2196999,-89.441803,-22.94442877
n17,43.2248001,-89.5178986,-23.72495279
n18,43.2354012,-89.5203018,-23.73960736
n19,43.1635017,-89.4608002,-23.74463279
n20,43.1959991,-89.4356003,-22.75709564
n21,43.1968002,-89.5034027,-23.6759724
n22,43.2714996,-89.3850021,-23.15292578
n23,43.273201,-89.382103,-23.22058635
n24,43.2653999,-89.4016037,-22.73405797
n25,43.277401,-89.3796005,-23.32797702
n26,43.2748985,-89.3725967,-23.44911344
n27,43.283699,-89.4039001,-22.77709361
n28,43.2056999,-89.3778992,-23.13430916
n29,43.2350006,-89.3892975,-23.31362267
n30,43.2285004,-89.3223038,-24.54022979
n31,43.2387009,-89.3114014,-24.6235402
n32,43.1954994,-89.3641968,-23.53564613
n33,43.2100983,-89.2738037,-23.66554312
n34,43.2444992,-89.3010025,-24.33292301
n35,43.2033997,-89.5521011,-23.6836032
n36,43.1949997,-89.5595016,-24.01476808
n37,43.1955986,-89.5334015,-23.81214301
n38,43.2266006,-89.3581009,-23.77031195
n39,43.1903,-89.4852982,-23.45588668
n40,43.2108994,-89.5988007,-23.20746708
n41,43.2613983,-89.4776001,-23.37848257
n42,43.2691994,-89.4738998,-23.51080269
n43,43.2001991,-89.3651962,-23.48169651
n44,43.1855011,-89.3672028,-23.42547162
n45,43.2596016,-89.3796005,-23.24613675
n46,43.2755013,-89.3908997,-23.04999917
n47,43.2813988,-89.3864975,-23.11506796
n48,43.263401,-89.2769012,-24.01354026
n49,43.2681999,-89.2759018,-24.1252279
n50,43.2667999,-89.2598038,-23.80422431
n51,43.2683983,-89.2522964,-23.7153624
n52,43.2522011,-89.2656021,-23.66331173
n53,43.2472,-89.300499,-24.27967309
n54,43.2389984,-89.2916031,-24.21924506
n55,43.2113991,-89.2805023,-23.8297713
n56,43.1817017,-89.5662003,-24.1708638
n57,43.1757011,-89.5598984,-23.92014249
n58,43.1832008,-89.5538025,-24.2093421
n59,43.1701012,-89.5677032,-23.9315818
n60,43.2052002,-89.5856018,-23.57839094
