1. Tech Provider ID,2. Node ID,3. Tech Type
313,301,tA1
314,1089,tA1
315,214,tA1
316,1907,tA1
317,2245,tA1
318,2030,tA1
319,76,tA1
320,1826,tA1
321,1159,tA1
322,337,tA1
323,161,tA1
324,2273,tA1
325,1391,tA1
326,2022,tA1
327,683,tA1
328,464,tA1
329,2922,tA1
330,479,tA1
331,571,tA1
332,1923,tA1
333,82,tA1
334,2286,tA1
335,427,tA1
336,2087,tA1
337,1349,tA1
338,1798,tA1
339,2183,tA1
340,3065,tA1
341,2377,tA1
342,645,tA1
343,2477,tA1
344,317,tA1
345,1244,tA1
346,2220,tA1
347,2559,tA1
348,166,tA1
349,3058,tA1
350,1697,tA1
351,1270,tA1
352,348,tA1
353,2289,tA1
354,299,tA1
355,1905,tA1
356,742,tA1
357,2904,tA1
358,1384,tA1
359,282,tA1
360,1965,tA1
361,1459,tA1
362,2061,tA1
363,202,tA1
364,288,tA1
365,1850,tA1
366,633,tA1
367,2978,tA1
368,2770,tA1
369,745,tA1
370,2615,tA1
371,170,tA1
372,943,tA1
373,2054,tA1
374,1258,tA1
375,294,tA1
376,695,tA1
377,837,tA1
378,41,tA1
379,727,tA1
380,1165,tA1
381,2583,tA1
382,3084,tA1
383,1857,tA1
384,545,tA1
385,618,tA1
386,2279,tA1
387,1930,tA1
388,2654,tA1
389,959,tA1
390,3043,tA1
391,1018,tA1
392,1885,tA1
393,2284,tA1
394,468,tA1
395,2255,tA1
396,2776,tA1
397,2214,tA1
398,267,tA1
399,2038,tA1
400,1167,tA1
401,2557,tA1
402,1620,tA1
403,283,tA1
404,3067,tA1
405,434,tA1
406,1335,tA1
407,1191,tA1
408,2076,tA1
409,704,tA1
410,2300,tA1
411,2535,tA1
412,1836,tA1
413,1874,tA1
414,1271,tA1
415,1116,tA1
416,1235,tA1
417,321,tA1
418,2882,tA1
419,2032,tA1
420,333,tA1
421,1353,tA1
422,2224,tA1
423,2476,tA1
424,1841,tA1
425,369,tA1
426,1428,tA1
427,2872,tA1
428,177,tA1
429,394,tA1
430,2238,tA1
431,255,tA1
432,1788,tA1
433,1255,tA1
434,1180,tA1
435,2106,tA1
436,1208,tA1
437,1746,tA1
438,300,tA1
439,1737,tA1
440,807,tA1
441,173,tA1
442,1153,tA1
443,1350,tA1
444,286,tA1
445,1785,tA1
446,1924,tA1
447,2673,tA1
448,2489,tA1
449,1936,tA1
450,396,tA1
451,2618,tA1
452,70,tA1
453,642,tA1
454,406,tA1
455,1759,tA1
456,1932,tA1
457,2248,tA1
458,1397,tA1
459,2710,tA1
460,2264,tA1
461,1111,tA1
462,1366,tA1
463,2680,tA1
464,2871,tA1
465,716,tA1
466,185,tA1
467,3050,tA1
468,2896,tA1
469,2303,tA1
470,3080,tA1
471,1866,tA1
472,169,tA1
473,2021,tA1
474,967,tA1
475,2580,tA1
476,2399,tA1
477,1073,tA1
478,1210,tA1
479,1899,tA1
480,2221,tA1
481,1132,tA1
482,2746,tA1
483,2484,tA1
484,2096,tA1
485,608,tA1
486,2321,tA1
487,651,tA1
488,762,tA1
489,1739,tA1
490,711,tA1
491,1119,tA1
492,2282,tA1
493,351,tA1
494,2948,tA1
495,2732,tA1
496,1185,tA1
497,1750,tA1
498,2236,tA1
499,1087,tA1
500,387,tA1
501,2196,tA1
502,148,tA1
503,1801,tA1
504,1082,tA1
505,69,tA1
506,2079,tA1
507,2581,tA1
508,527,tA1
509,1149,tA1
510,105,tA1
511,52,tA1
512,145,tA1
513,2217,tA1
514,1498,tA1
515,2960,tA1
516,1786,tA1
517,2113,tA1
518,673,tA1
519,3045,tA1
520,1200,tA1
521,2715,tA1
522,414,tA1
523,380,tA1
524,1580,tA1
525,877,tA1
526,2677,tA1
527,450,tA1
528,3073,tA1
529,1596,tA1
530,1832,tA1
531,1952,tA1
532,2094,tA1
533,1817,tA1
534,1934,tA1
535,8,tA1
536,287,tA1
537,1901,tA1
538,308,tA1
539,2251,tA1
540,1177,tA1
541,465,tA1
542,1829,tA1
543,709,tA1
544,2788,tA1
545,681,tA1
546,98,tA1
547,2184,tA1
548,1144,tA1
549,2927,tA1
550,1006,tA1
551,2253,tA1
552,2828,tA1
553,611,tA1
554,1761,tA1
555,1134,tA1
556,2380,tA1
557,1220,tA1
558,1412,tA1
559,366,tA1
560,2064,tA1
561,2400,tA1
562,1839,tA1
563,1468,tA1
564,2688,tA1
565,2210,tA1
566,607,tA1
567,35,tA1
568,1290,tA1
569,1532,tA1
570,77,tA1
571,3078,tA1
572,747,tA1
573,852,tA1
574,2989,tA1
575,1849,tA1
576,3031,tA1
577,2325,tA1
578,1485,tA1
579,1579,tA1
580,3033,tA1
581,619,tA1
582,1206,tA1
583,2211,tA1
584,1166,tA1
585,1181,tA1
586,42,tA1
587,28,tA1
588,989,tA1
589,513,tA1
590,186,tA1
591,2011,tA1
592,2024,tA1
593,318,tA1
594,2454,tA1
595,1881,tA1
596,3096,tA1
597,580,tA1
598,108,tA1
599,2912,tA1
600,2605,tA1
601,1919,tA1
602,2846,tA1
603,780,tA1
604,208,tA1
605,1879,tA1
606,1243,tA1
607,786,tA1
608,2932,tA1
609,2451,tA1
610,415,tA1
611,840,tA1
612,1964,tA1
613,2472,tA1
614,2909,tA1
615,1834,tA1
616,48,tA1
617,2013,tA1
618,1108,tA1
619,2500,tA1
620,1351,tA1
621,2863,tA1
622,2930,tA1
623,505,tA1
624,2311,tA1
625,2037,tA1
626,1745,tA1
627,2163,tA1
628,1225,tA1
629,2176,tA1
630,1920,tA1
631,2964,tA1
632,2915,tA1
633,833,tA1
634,1845,tA1
635,480,tA1
636,39,tA1
637,3069,tA1
638,2088,tA1
639,978,tA1
640,2508,tA1
641,1163,tA1
642,1035,tA1
643,2259,tA1
644,2635,tA1
645,180,tA1
646,3059,tA1
647,2820,tA1
648,2724,tA1
649,1853,tA1
650,1735,tA1
651,58,tA1
652,1935,tA1
653,336,tA1
654,559,tA1
655,3027,tA1
656,1471,tA1
657,1241,tA1
658,2191,tA1
659,26,tA1
660,22,tA1
661,1868,tA1
662,2201,tA1
663,520,tA1
664,2934,tA1
665,1911,tA1
666,2069,tA1
667,2492,tA1
668,2247,tA1
669,405,tA1
670,2280,tA1
671,3041,tA1
672,2670,tA1
673,1460,tA1
674,421,tA1
675,1571,tA1
676,3012,tA1
677,2320,tA1
678,1802,tA1
679,2230,tA1
680,2865,tA1
681,697,tA1
682,365,tA1
683,1253,tA1
684,1408,tA1
685,2242,tA1
686,2539,tA1
687,335,tA1
688,1128,tA1
689,974,tA1
690,666,tA1
691,2596,tA1
692,61,tA1
693,2940,tA1
694,906,tA1
695,1465,tA1
696,2157,tA1
697,215,tA1
698,3049,tA1
699,374,tA1
700,2170,tA1
701,1870,tA1
702,2227,tA1
703,685,tA1
704,706,tA1
705,2204,tA1
706,3098,tA1
707,2465,tA1
708,1804,tA1
709,693,tA1
710,2796,tA1
711,1216,tA1
712,2923,tA1
713,2900,tA1
714,1954,tA1
715,1847,tA1
716,2319,tA1
717,176,tA2
718,577,tA2
719,2590,tA2
720,75,tA2
721,194,tA2
722,187,tA2
723,1818,tA2
724,334,tA2
725,2546,tA2
726,190,tA2
727,1835,tA2
728,2936,tA2
729,1715,tA2
730,193,tA2
731,2709,tA2
732,2504,tA2
733,297,tA2
734,200,tA2
735,1279,tA2
736,1825,tA2
737,158,tA2
738,1192,tA2
739,2261,tA2
740,191,tA2
741,1846,tA2
742,341,tA2
743,1797,tA2
744,319,tA2
745,339,tA2
746,1824,tA2
747,2034,tA2
748,2716,tA2
749,1307,tA2
750,1260,tA2
751,2027,tA2
752,2212,tA2
753,2761,tA2
754,164,tA2
755,2815,tA2
756,1948,tA2
757,1916,tA2
758,418,tA2
759,2532,tA2
760,1174,tA2
761,78,tA2
762,167,tA2
763,1854,tA2
764,1545,tA2
765,306,tA2
766,712,tA2
767,1175,tA2
768,343,tA2
769,280,tA2
770,425,tA2
771,1742,tA2
772,1809,tA2
773,3054,tA2
774,583,tA2
775,2473,tA2
776,2946,tA2
777,172,tA2
778,2550,tA2
779,281,tA2
780,1247,tA2
781,195,tA2
782,2597,tA2
783,2560,tA2
784,284,tA2
785,1747,tA2
786,1752,tA2
787,1197,tA2
788,2256,tA2
789,1162,tA2
790,213,tA2
791,2040,tA2
792,2950,tA2
793,2568,tA2
794,2200,tA2
795,1188,tA2
796,1196,tA2
797,2152,tA2
798,1015,tA2
799,196,tA2
800,391,tA2
801,198,tA2
802,402,tA2
803,326,tA2
804,1822,tA2
805,237,tA2
806,1194,tA2
807,344,tA2
808,1749,tA2
809,1497,tA2
810,2413,tA2
811,232,tA2
812,610,tA2
813,660,tA2
814,291,tA2
815,1762,tA2
816,37,tA2
817,2169,tA2
818,2281,tA2
819,2768,tA2
820,1238,tA2
821,218,tA2
822,2219,tA2
823,1753,tA2
824,1755,tA2
825,2659,tA2
826,900,tA2
827,2735,tA2
828,296,tA2
829,2208,tA2
830,1161,tA2
831,1183,tA2
832,1648,tA2
833,246,tA2
834,1186,tA2
835,2233,tA2
836,1760,tA2
837,289,tA2
838,342,tA2
839,3026,tA2
840,355,tA2
841,2246,tA2
842,207,tA2
843,1342,tA2
844,1897,tA2
845,2086,tA2
846,2951,tA2
847,2066,tA2
848,2225,tA2
849,1195,tA2
850,2305,tA2
851,1756,tA2
852,941,tA2
853,1744,tA2
854,216,tA2
855,606,tA2
856,1754,tA2
857,2925,tA2
858,708,tA2
859,1837,tA2
860,518,tA2
861,832,tA2
862,206,tA2
863,1728,tA2
864,2859,tA2
865,2441,tA2
866,1828,tA2
867,211,tA2
868,350,tA2
869,1190,tA2
870,1743,tA2
871,2916,tA2
872,1096,tA2
873,2277,tA2
874,205,tA2
875,199,tA2
876,1105,tA2
877,1299,tA2
878,184,tA2
879,349,tA2
880,2057,tA2
881,2216,tA2
882,79,tA2
883,1736,tA2
884,2177,tA2
885,2520,tA2
886,2839,tA2
887,2322,tA2
888,49,tA2
889,2292,tA2
890,3081,tA2
891,1222,tA2
892,1541,tA2
893,188,tA2
894,1830,tA2
895,331,tA2
896,142,tA2
897,2018,tA2
898,340,tA2
899,45,tA2
900,1751,tA2
901,665,tA2
902,1115,tA2
903,325,tA2
904,2194,tA2
905,1890,tA2
906,332,tA2
907,302,tA2
908,2085,tA2
909,2249,tA2
910,1278,tA2
911,2509,tA2
912,2503,tA2
913,2427,tA2
914,2807,tA2
915,1282,tA2
916,2749,tA2
917,251,tA2
