# NODES,node_alias,x (m),Y (m)
n342,WWTP25,45.4710792,-89.7298594
n343,WWTP26,45.1805223,-89.683459
n344,WWTP27,44.1538844,-87.5692478
n345,WWTP28,44.09,-87.66
n346,WWTP29,44.9591352,-89.6301221
n347,WWTP30,44.9591352,-89.6301221
n348,WWTP31,45.0999849,-87.6306623
n349,WWTP32,42.9105722,-87.8606367
n350,WWTP33,42.9712071,-87.9040571
n351,WWTP34,43.9441328,-90.8129118
n352,WWTP35,45.6366228,-89.4120753
n353,WWTP36,44.2455449,-88.3530747
n354,WWTP37,43.3197265,-87.9534226
n355,WWTP38,43.3872247,-87.875644
n356,WWTP39,45.2519072,-92.2712996
n357,WWTP40,44.5235792,-89.574563
n358,WWTP41,42.6780726,-88.2762026
n359,WWTP42,42.6964412,-87.8058402
n360,WWTP43,43.3347053,-90.3867928
n361,WWTP44,42.5083482,-89.0317765
n362,WWTP45,42.6442233,-88.9605365
n363,WWTP46,44.9746896,-92.7568703
n364,WWTP47,43.7486054,-87.9770379
n365,WWTP48,43.7013054,-87.7271123
n366,WWTP49,42.6330703,-88.6437138
n367,WWTP50,43.3238919,-88.1667599
n368,WWTP51,43.3177794,-88.3789862
n369,WWTP52,43.4252776,-88.1834277
n370,WWTP53,42.8666803,-88.3334274
n371,WWTP54,43.0373723,-88.3919026
n372,WWTP55,43.1116731,-88.4992659
n373,WWTP56,43.0717382,-88.099845
n374,WWTP57,43.015059,-88.1974148
n375,WWTP58,44.3927582,-88.7398256
n376,WWTP59,44.3580348,-89.0859464
n377,WWTP60,44.2022084,-88.4464973
n378,WWTP61,44.0795503,-88.5452622
n379,WWTP62,44.3835763,-89.8173465
n380,LF1,42.7074784,-87.869763
n381,LF2,42.850516,-88.069074
n382,LF3,43.9697297,-89.3472655
n383,LF4,43.8179763,-87.7432383
n384,LF5,44.4562,-89.5007
n385,LF6,42.915304,-87.941421
n386,LF7,44.0157536,-88.5417022
n387,LF8,43.5616447,-89.4921611
n388,LF9,43.1781644,-87.9812322
n389,LF10,44.2586785,-88.4106539
n390,LF11,44.3707629,-89.8115
n391,LF12,46.702798,-92.078448
n392,LF13,46.6725057,-91.967139
n393,LF14,42.56614,-87.94925
n394,LF15,43.186964,-88.0634981
n395,LF16,44.7894917,-89.6937668
n396,LF17,45.3866129,-86.887177
n397,LF18,43.7154715,-87.7058644
n398,LF19,44.4561674,-87.9334803
n399,LF20,44.4110785,-89.8554012
n400,LF21,43.5269302,-89.9977983
n401,LF22,44.4772113,-87.5797791
n402,LF23,43.0467563,-89.2638303
n403,LF24,43.5616447,-89.4921611
n404,LF25,44.2714318,-88.3014525
n405,LF26,44.172663,-87.840597
n406,LF27,43.8711051,-88.9146809
n407,LF28,44.8039629,-89.4324819
n408,LF29,43.463231,-88.553828
n409,LF30,44.7709285,-88.5580195
n410,LF31,45.2335146,-88.0837518
n411,LF32,44.834371,-91.374225
n412,LF33,45.9720821,-89.4148801
n413,LF34,45.4451028,-89.7374587
n414,LF35,42.8741902,-90.6718629
n415,LF36,44.107732,-88.191685
n416,LF37,45.1873574,-89.6717798
n417,LF38,44.0249171,-89.8418716
n418,LF39,44.0833447,-88.5321119
n419,LF40,43.089253,-88.748861
n420,LF41,42.707405,-87.869819
n421,LF42,46.8154851,-90.829822
n422,LF43,44.2592744,-88.4100999
n423,LF44,42.648889,-88.7216993
n424,LF45,44.2898206,-88.3350567
n425,LF46,43.8013556,-91.2395807
n426,LF47,43.59237,-90.8456325
n427,LF48,44.038994,-88.5319227
n428,LF49,42.8523824,-88.0726988
n429,LF50,43.1485037,-89.2734432
n430,LF51,44.9549414,-89.6646646
n431,LF52,44.8854127,-89.388428
n432,LF53,43.0126109,-88.1913809
n433,LF54,44.532291,-88.8507555
n434,LF55,45.5193649,-91.1563029
n435,LF56,46.6898894,-92.068304
n436,LF57,46.670802,-90.9101708
n437,LF58,42.6292472,-89.4633637
n438,LF59,42.5829131,-88.0448088
n439,LF60,42.6489107,-89.0563767
n440,LF61,44.2525222,-91.8123324
n441,LF62,44.9395385,-89.8385679
n442,LF63,44.172663,-87.840597
n443,LF64,44.0833447,-88.5321119
n444,collection_site,44.4391283,-90.124576
