#1. Tech location reference ID,2. Node ID,3. Time ID,4. Tech ID
L001,N06037,T0,TA1
L002,N06037,T0,TA2
L003,N17031,T0,TA1
L004,N17031,T0,TA2
L005,N48201,T0,TA2
L006,N04013,T0,TA2
L007,N06073,T0,TA2
L008,N06059,T0,TA1
L009,N06059,T0,TA2
L010,N36047,T0,TA2
L011,N12086,T0,TA2
L012,N48113,T0,TA2
L013,N06065,T0,TA2
L014,N36081,T0,TA2
L015,N53033,T0,TA2
L016,N32003,T0,TA2
L017,N06071,T0,TA2
L018,N48439,T0,TA2
L019,N48029,T0,TA2
L020,N12011,T0,TA2
L021,N06085,T0,TA2
L022,N26163,T0,TA2
L023,N06001,T0,TA1
L024,N25017,T0,TA2
L025,N42101,T0,TA1
L026,N06067,T0,TA2
L027,N36103,T0,TA1
L028,N12099,T0,TA1
L029,N36005,T0,TA1
L030,N12057,T0,TA1
L031,N12095,T0,TA2
L032,N36059,T0,TA2
L033,N39049,T0,TA2
L034,N48453,T0,TA1
L035,N27053,T0,TA1
L036,N39035,T0,TA1
L037,N42003,T0,TA1
L038,N49035,T0,TA1
L039,N06013,T0,TA1
L040,N51059,T0,TA2
L041,N37183,T0,TA1
L042,N37119,T0,TA2
L043,N13121,T0,TA1
L044,N48085,T0,TA1
L045,N24031,T0,TA1
L046,N04019,T0,TA1
L047,N06019,T0,TA1
L048,N36119,T0,TA1
L049,N29189,T0,TA1
L050,N12031,T0,TA1
L051,N18097,T0,TA1
L052,N24033,T0,TA1
L053,N12103,T0,TA1
L054,N09001,T0,TA1
L055,N13135,T0,TA1
L056,N34003,T0,TA1
L057,N36029,T0,TA1
L058,N55079,T0,TA1
L059,N17043,T0,TA1
L060,N47157,T0,TA1
L061,N53053,T0,TA1
L062,N06029,T0,TA1
L063,N48121,T0,TA1
L064,N09003,T0,TA1
L065,N26099,T0,TA1
L066,N06075,T0,TA1
L067,N48215,T0,TA1
L068,N48141,T0,TA1
L069,N09009,T0,TA1
L070,N34013,T0,TA1
L071,N34023,T0,TA1
L072,N25027,T0,TA1
L073,N42091,T0,TA1
L074,N24005,T0,TA1
L075,N06111,T0,TA1
L076,N39061,T0,TA1
L077,N53061,T0,TA1
L078,N48157,T0,TA1
L079,N41051,T0,TA1
L080,N40109,T0,TA1
L081,N21111,T0,TA1
L082,N06077,T0,TA1
L083,N13067,T0,TA1
L084,N13089,T0,TA1
L085,N12071,T0,TA1
L086,N36055,T0,TA1
L087,N08041,T0,TA1
L088,N12105,T0,TA1
L089,N29095,T0,TA1
L090,N47037,T0,TA1
L091,N08031,T0,TA1
L092,N17097,T0,TA1
L093,N17197,T0,TA1
L094,N35001,T0,TA1
L095,N01073,T0,TA1
L096,N40143,T0,TA1
L097,N44007,T0,TA1
L098,N49049,T0,TA1
L099,N26081,T0,TA1
L100,N08005,T0,TA1
L101,N42017,T0,TA1
L102,N34025,T0,TA1
L103,N34029,T0,TA1
L104,N48339,T0,TA1
L105,N20091,T0,TA1
L106,N48491,T0,TA1
L107,N12009,T0,TA1
L108,N41067,T0,TA1
L109,N24003,T0,TA1
L110,N24510,T0,TA1
L111,N31055,T0,TA1
L112,N08059,T0,TA1
L113,N25005,T0,TA1
L114,N42045,T0,TA1
L115,N34039,T0,TA1
L116,N10003,T0,TA1
L117,N12101,T0,TA1
L118,N55025,T0,TA1
L119,N12127,T0,TA1
L120,N42071,T0,TA1
L121,N06099,T0,TA1
L122,N27123,T0,TA1
L123,N37081,T0,TA1
L124,N39153,T0,TA1
L125,N53063,T0,TA1
L126,N39113,T0,TA1
L127,N25023,T0,TA1
L128,N45045,T0,TA1
L129,N34031,T0,TA1
L130,N20173,T0,TA1
L131,N34007,T0,TA1
L132,N08001,T0,TA1
L133,N17089,T0,TA1
L134,N34027,T0,TA1
L135,N53011,T0,TA1
L136,N18089,T0,TA1
L137,N16001,T0,TA1
L138,N19153,T0,TA1
L139,N06097,T0,TA1
L140,N32031,T0,TA1
L141,N51153,T0,TA1
L142,N47093,T0,TA1
L143,N36067,T0,TA1
L144,N06107,T0,TA1
L145,N25013,T0,TA1
L146,N34005,T0,TA1
L147,N51810,T0,TA1
L148,N22033,T0,TA1
L149,N06095,T0,TA1
L150,N06083,T0,TA1
L151,N22051,T0,TA1
L152,N27037,T0,TA1
L153,N06053,T0,TA1
L154,N12115,T0,TA1
L155,N39095,T0,TA1
L156,N42011,T0,TA1
L157,N04021,T0,TA1
L158,N33011,T0,TA1
L159,N48061,T0,TA1
L160,N51107,T0,TA1
L161,N45079,T0,TA1
L162,N01097,T0,TA1
L163,N55133,T0,TA1
L164,N26049,T0,TA1
L165,N29183,T0,TA1
L166,N06061,T0,TA1
L167,N36071,T0,TA1
L168,N12081,T0,TA1
L169,N05119,T0,TA1
L170,N39017,T0,TA1
L171,N18003,T0,TA1
L172,N41039,T0,TA1
L173,N37067,T0,TA1
L174,N12083,T0,TA1
L175,N39151,T0,TA1
L176,N48039,T0,TA1
L177,N47065,T0,TA1
L178,N51041,T0,TA1
L179,N49011,T0,TA1
L180,N08069,T0,TA1
L181,N42129,T0,TA1
L182,N48355,T0,TA1
L183,N45051,T0,TA1
L184,N18057,T0,TA1
L185,N41047,T0,TA1
L186,N47149,T0,TA1
L187,N37051,T0,TA1
L188,N51087,T0,TA1
L189,N08013,T0,TA1
L190,N12111,T0,TA1
L191,N45083,T0,TA1
L192,N42079,T0,TA1
L193,N37063,T0,TA1
L194,N31109,T0,TA1
L195,N21067,T0,TA1
L196,N12033,T0,TA1
L197,N36001,T0,TA1
L198,N39093,T0,TA1
L199,N42095,T0,TA1
L200,N48303,T0,TA1
L201,N23005,T0,TA1
L202,N29077,T0,TA1
L203,N13063,T0,TA1
L204,N26139,T0,TA1
L205,N13051,T0,TA1
L206,N53067,T0,TA1
L207,N12073,T0,TA1
L208,N17201,T0,TA1
L209,N26065,T0,TA1
L210,N05007,T0,TA1
L211,N06047,T0,TA1
