# NODES,node_alias,latitude,longitude
n65,Farm65,43.1389008,-89.5539017,
n140,Farm140,43.2495995,-89.4573975,
n162,Farm162,43.1935005,-89.3290024,
n172,Farm172,43.2490005,-89.2640991,
n69,Farm69,43.1242981,-89.5355988,
n74,Farm74,43.1399994,-89.5052032,
n75,Farm75,43.1408997,-89.5356979,
n84,Farm84,43.1635017,-89.490303,
n89,Farm89,43.1744995,-89.5409012,
n90,Farm90,43.1773987,-89.5261993,
n92,Farm92,43.1785011,-89.5472031,
n103,Farm103,43.2144012,-89.4497986,
n108,Farm108,43.2275009,-89.4402008,
n122,Farm122,43.2361984,-89.5394974,
n133,Farm133,43.2668991,-89.4732971,
n143,Farm143,43.2831001,-89.4509964,
n148,Farm148,43.2765999,-89.3035965,
n151,Farm151,43.2748985,-89.2835007,
n152,Farm152,43.2481003,-89.392601,
n166,Farm166,43.2318993,-89.2662964,
n168,Farm168,43.2223015,-89.2819977,
n170,Farm170,43.2550011,-89.2838974,
n184,Farm184,43.214901,-89.3760986,
n189,Farm189,43.1525993,-89.471199,
n200,Farm200,43.2498016,-89.2911987,
n203,Farm203,43.2033997,-89.414299,
n145,Farm145,43.2545013,-89.4505997,
n78,Farm78,43.1519012,-89.5138016,
n81,Farm81,43.1576004,-89.4906998,
n107,Farm107,43.225399,-89.4225998,
n111,Farm111,43.2265015,-89.4605026,
n132,Farm132,43.2639999,-89.4701004,
n157,Farm157,43.2249985,-89.4007034,
n159,Farm159,43.2537994,-89.3167038,
n161,Farm161,43.2153015,-89.3125,
n180,Farm180,43.2064018,-89.5212021,
n171,Farm171,43.2389984,-89.2774963,
n58,Farm58,43.1832008,-89.5538025,
n60,Farm60,43.2052002,-89.5856018,
n70,Farm70,43.1228981,-89.5306015,
n76,Farm76,43.1486015,-89.5262985,
n105,Farm105,43.2075005,-89.4244995,
n115,Farm115,43.223999,-89.4994965,
n117,Farm117,43.2308006,-89.5151978,
n118,Farm118,43.2331009,-89.5223999,
n120,Farm120,43.2237015,-89.5258026,
n124,Farm124,43.2396011,-89.5149002,
n128,Farm128,43.2389984,-89.4828033,
n129,Farm129,43.2363014,-89.4637985,
n130,Farm130,43.2495995,-89.4677963,
n256,Land53,43.2861,-89.3931,
n934,Land731,43.201,-89.3853,
n821,Land618,43.2044,-89.2406,
n464,Land261,43.2575,-89.4634,
n676,Land473,43.2286,-89.3883,
n294,Land91,43.2723,-89.3129,
n952,Land749,43.1987,-89.4205,
n1207,Land1004,43.1531,-89.4744,
n450,Land247,43.2548,-89.4102,
n463,Land260,43.2474,-89.2699,
n826,Land623,43.2035,-89.2718,
n1248,Land1045,43.1461,-89.5464,
n1145,Land942,43.1701,-89.5003,
n1199,Land996,43.1568,-89.4967,
n398,Land195,43.2618,-89.2818,
n232,Land29,43.2841,-89.3752,
n732,Land529,43.2287,-89.5212,
n984,Land781,43.1913,-89.3797,
n278,Land75,43.2779,-89.4406,
n1251,Land1048,43.1479,-89.5578,
n383,Land180,43.2572,-89.2632,
n1139,Land936,43.166,-89.456,
n1183,Land980,43.1579,-89.4817,
n1290,Land1087,43.1368,-89.5501,
n272,Land69,43.275,-89.3309,
n1027,Land824,43.1862,-89.4167,
n358,Land155,43.2697,-89.4424,
n436,Land233,43.2567,-89.3732,
n660,Land457,43.225,-89.2681,
n730,Land527,43.2274,-89.4666,
n860,Land657,43.2158,-89.5243,
n742,Land539,43.2185,-89.3732,
n394,Land191,43.2571,-89.2738,
n617,Land414,43.2312,-89.3757,
n1240,Land1037,43.1445,-89.4997,
n566,Land363,43.2324,-89.2608,
n982,Land779,43.1975,-89.4867,
n1101,Land898,43.174,-89.4706,
n1022,Land819,43.1834,-89.3838,
n274,Land71,43.272,-89.2787,
n868,Land665,43.2188,-89.554,
n1226,Land1023,43.1488,-89.5024,
n633,Land430,43.2292,-89.3288,
n1024,Land821,43.1856,-89.4054,
n998,Land795,43.1952,-89.5136,
n674,Land471,43.2247,-89.3771,
n486,Land283,43.2417,-89.2849,
n597,Land394,43.2396,-89.4924,
n1138,Land935,43.1682,-89.4875,
n412,Land209,43.2605,-89.4313,
