# 1. Tech location reference ID|2. Node ID|3. Tech ID
LXXX|NMAD|TXX
L001|NC002|T1D
L002|NC003|T2D
L003|NC004|T1B
L004|NC005|T1A
L005|NC006|T1B
L006|NC007|T1B
L007|NC008|T1B
L008|NC013|T1D
L009|NC015|T1D
L010|NC025|T1D
L011|NC026|T1D
L012|NC029|T1B
L013|NC031|T2A
L014|NC032|T1B
L015|NC034|T1D
L016|NC040|T1D
L017|NC041|T1A
L018|NC042|T1B
L019|NC043|T1B
L020|NC044|T2D
L021|NC045|T1A
L022|NC048|T1B
L023|NC049|T1B
L024|NC050|T1B
L025|NC051|T2C
L026|NC052|T1B
L027|NC054|T1B
L028|NC061|T2D
L029|NC063|T2C
L030|NC064|T2C
L031|NC065|T1D
L032|NC066|T1B
L033|NC068|T1B
L034|NC069|T1B
L035|NC070|T1B
L036|NC071|T1B
L037|NC074|T2B
L038|NC076|T1C
L039|NC080|T1A
L040|NC086|T2D
L041|NC089|T1D
L042|NC090|T2B
L043|NC092|T1A
L044|NC093|T1A
L045|NC095|T1B
L046|NC097|T1B
L047|NC101|T1A
L048|NC105|T1A
L049|NC106|T1B
L050|NC107|T1B
L051|NC109|T1A
L052|NC110|T2B
L053|NC111|T1B
L054|NC115|T1D
L055|NC116|T1D
L056|NC120|T2D
L057|NC121|T1D
L058|NC128|T1D
L059|NC130|T1B
L060|NC132|T2B
L061|NC133|T2A
L062|NC136|T1D
L063|NC143|T1D
L064|NC146|T2D
L065|NC150|T1B
L066|NC152|T1B
L067|NC154|T1B
L068|NC157|T1B
L069|NC158|T1B
L070|NC160|T1A
L071|NC161|T1C
L072|NC162|T1D
L073|NC166|T1B
L074|NC167|T2A
L075|NC168|T1B
L076|NC173|T1C
L077|NC174|T1D
L078|NC175|T1B
L079|NC179|T1B
L080|NC189|T2C
L081|NC190|T1A
L082|NC192|T2A
L083|NC193|T1A
L084|NC194|T1B
L085|NC195|T1B
L086|NC196|T1A
L087|NC197|T1C
L088|NC198|T1B
L089|NC199|T1A
L090|NC200|T1B
L091|NC201|T1C
L092|NC202|T1A
L093|NC203|T1B
L094|NC205|T2A
L095|NC206|T1B
L096|NC207|T1C
L097|NC213|T1B
L098|NC215|T1B
L099|NC216|T2B
L100|NC217|T1A
L101|NC219|T2B
L102|NC220|T2A
L103|NC222|T1B
L104|NC223|T1A
L105|NC224|T1A
L106|NC227|T2B
L107|NC228|T1B
L108|NC229|T2B
L109|NC230|T2A
L110|NC231|T1A
L111|NC233|T2D
L112|NC234|T1B
L113|NC236|T1A
L114|NC237|T1B
L115|NC238|T1B
L116|NC240|T1B
L117|NC241|T1B
L118|NC242|T1D
L119|NC243|T1B
L120|NC245|T2B
