E,L,C,H
E,L,B,T
E,L,B,V
E,L,P,C
E,L,B,U
E,L,B,O
E,L,E,R
E,L,F,P
E,L,D,P
E,L,B,H
E,L,C,A
C,H,B,T
C,H,B,V
C,H,P,C
C,H,B,U
C,H,B,O
C,H,E,R
C,H,F,P
C,H,D,P
C,H,B,H
C,H,C,A
B,T,B,V
B,T,P,C
B,T,B,U
B,T,B,O
B,T,E,R
B,T,F,P
B,T,D,P
B,T,B,H
B,T,C,A
B,V,P,C
B,V,B,U
B,V,B,O
B,V,E,R
B,V,F,P
B,V,D,P
B,V,B,H
B,V,C,A
P,C,B,U
P,C,B,O
P,C,E,R
P,C,F,P
P,C,D,P
P,C,B,H
P,C,C,A
B,U,B,O
B,U,E,R
B,U,F,P
B,U,D,P
B,U,B,H
B,U,C,A
B,O,E,R
B,O,F,P
B,O,D,P
B,O,B,H
B,O,C,A
E,R,F,P
E,R,D,P
E,R,B,H
E,R,C,A
F,P,D,P
F,P,B,H
F,P,C,A
D,P,B,H
D,P,C,A
B,H,C,A
