# NODES,node_alias,x (m),Y (m)
n1,Farm1,43.1702003,-89.5497971
n2,Farm2,43.1697998,-89.5447998
n3,Farm3,43.1987991,-89.5868988
n4,Farm4,43.153801,-89.5569992
n5,Farm5,43.1529999,-89.5457001
n6,Farm6,43.1259995,-89.5635986
n7,Farm7,43.1259995,-89.574501
n8,Farm8,43.1226006,-89.5328979
n9,Farm9,43.148201,-89.4681015
n10,Farm10,43.1609993,-89.4651031
n11,Farm11,43.1478004,-89.4598999
n12,Farm12,43.1488991,-89.4518967
n13,Farm13,43.1666985,-89.4717026
n14,Farm14,43.1696014,-89.5307007
n15,Farm15,43.1780014,-89.4785995
n16,Farm16,43.2196999,-89.441803
n17,Farm17,43.2248001,-89.5178986
n18,Farm18,43.2354012,-89.5203018
n19,Farm19,43.1635017,-89.4608002
n20,Farm20,43.1959991,-89.4356003
n21,Farm21,43.1968002,-89.5034027
n22,Farm22,43.2714996,-89.3850021
n23,Farm23,43.273201,-89.382103
n24,Farm24,43.2653999,-89.4016037
n25,Farm25,43.277401,-89.3796005
n26,Farm26,43.2748985,-89.3725967
n27,Farm27,43.283699,-89.4039001
n28,Farm28,43.2056999,-89.3778992
n29,Farm29,43.2350006,-89.3892975
n30,Farm30,43.2285004,-89.3223038
n31,Farm31,43.2387009,-89.3114014
n32,Farm32,43.1954994,-89.3641968
n33,Farm33,43.2100983,-89.2738037
n34,Farm34,43.2444992,-89.3010025
n35,Farm35,43.2033997,-89.5521011
n36,Farm36,43.1949997,-89.5595016
n37,Farm37,43.1955986,-89.5334015
n38,Farm38,43.2266006,-89.3581009
n39,Farm39,43.1903,-89.4852982
n40,Farm40,43.2108994,-89.5988007
n41,Farm41,43.2613983,-89.4776001
n42,Farm42,43.2691994,-89.4738998
n43,Farm43,43.2001991,-89.3651962
n44,Farm44,43.1855011,-89.3672028
n45,Farm45,43.2596016,-89.3796005
n46,Farm46,43.2755013,-89.3908997
n47,Farm47,43.2813988,-89.3864975
n48,Farm48,43.263401,-89.2769012
n49,Farm49,43.2681999,-89.2759018
n50,Farm50,43.2667999,-89.2598038
n51,Farm51,43.2683983,-89.2522964
n52,Farm52,43.2522011,-89.2656021
n53,Farm53,43.2472,-89.300499
n54,Farm54,43.2389984,-89.2916031
n55,Farm55,43.2113991,-89.2805023
n56,Farm56,43.1817017,-89.5662003
n57,Farm57,43.1757011,-89.5598984
n58,Farm58,43.1832008,-89.5538025
n59,Farm59,43.1701012,-89.5677032
n60,Farm60,43.2052002,-89.5856018
n61,Farm61,43.2067986,-89.5863037
n62,Farm62,43.2117996,-89.5792007
n63,Farm63,43.1534996,-89.5519028
n64,Farm64,43.1405983,-89.5477982
n65,Farm65,43.1389008,-89.5539017
n66,Farm66,43.1297989,-89.5431976
n67,Farm67,43.1263008,-89.5513992
n68,Farm68,43.1394997,-89.5828018
n69,Farm69,43.1242981,-89.5355988
n70,Farm70,43.1228981,-89.5306015
n71,Farm71,43.1263008,-89.5169983
