#1.Supply reference no.,2.Node,3.Time,4.Product,5.Bid,6.Capacity,7. Emissions,8. Emissions coefficients
S0001,N01001,T0,Recyclables,0,32269.523005487546,,
S0002,N01003,T0,Recyclables,0,127183.24187420853,,
S0003,N01005,T0,Recyclables,0,13841.241029970452,,
S0004,N01007,T0,Recyclables,0,12233.389615871676,,
S0005,N01009,T0,Recyclables,0,32450.063317855635,,
S0006,N01011,T0,Recyclables,0,5683.452933727311,,
S0007,N01013,T0,Recyclables,0,10454.326720135077,,
S0008,N01015,T0,Recyclables,0,63897.551709582105,,
S0009,N01017,T0,Recyclables,0,19081.300126635713,,
S0010,N01019,T0,Recyclables,0,13702.95483326298,,
S0011,N01021,T0,Recyclables,0,24701.646264246516,,
S0012,N01023,T0,Recyclables,0,6949.978894048122,,
S0013,N01025,T0,Recyclables,0,12669.10088644998,,
S0014,N01027,T0,Recyclables,0,7812.0726044744615,,
S0015,N01029,T0,Recyclables,0,8262.051498522584,,
S0016,N01031,T0,Recyclables,0,29339.172646686366,,
S0017,N01033,T0,Recyclables,0,31403.588011819334,,
S0018,N01035,T0,Recyclables,0,6363.908822287885,,
S0019,N01037,T0,Recyclables,0,5699.915576192486,,
S0020,N01039,T0,Recyclables,0,20616.715913887718,,
S0021,N01041,T0,Recyclables,0,7240.270156184044,,
S0022,N01043,T0,Recyclables,0,48216.88476150274,,
S0023,N01045,T0,Recyclables,0,27067.87674124103,,
S0024,N01047,T0,Recyclables,0,21106.205149852256,,
S0025,N01049,T0,Recyclables,0,39295.23005487548,,
S0026,N01051,T0,Recyclables,0,48277.796538623894,,
S0027,N01053,T0,Recyclables,0,20170.578303081467,,
S0028,N01055,T0,Recyclables,0,56760.99620092867,,
S0029,N01057,T0,Recyclables,0,8956.226255804137,,
S0030,N01059,T0,Recyclables,0,17622.16124947235,,
S0031,N01061,T0,Recyclables,0,14629.252849303504,,
S0032,N01063,T0,Recyclables,0,4241.874208526804,,
S0033,N01065,T0,Recyclables,0,8113.338961587167,,
S0034,N01067,T0,Recyclables,0,9408.948923596456,,
S0035,N01069,T0,Recyclables,0,58827.60658505698,,
S0036,N01071,T0,Recyclables,0,28852.97593921486,,
S0037,N01073,T0,Recyclables,0,370256.3528915154,,
S0038,N01075,T0,Recyclables,0,7667.20135078092,,
S0039,N01077,T0,Recyclables,0,51343.689320388345,,
S0040,N01079,T0,Recyclables,0,18148.965808357956,,
S0041,N01081,T0,Recyclables,0,95615.57619248629,,
S0042,N01083,T0,Recyclables,0,56834.52933727311,,
S0043,N01085,T0,Recyclables,0,5658.210215280709,,
S0044,N01087,T0,Recyclables,0,10718.27775432672,,
S0045,N01089,T0,Recyclables,0,213000.80202617138,,
S0046,N01091,T0,Recyclables,0,10603.588011819333,,
S0047,N01093,T0,Recyclables,0,16101.013085690165,,
S0048,N01095,T0,Recyclables,0,53565.04854368932,,
S0049,N01097,T0,Recyclables,0,227628.40861122837,,
S0050,N01099,T0,Recyclables,0,10849.978894048121,,
S0051,N01101,T0,Recyclables,0,125639.59476572393,,
S0052,N01103,T0,Recyclables,0,67727.85985647952,,
S0053,N01105,T0,Recyclables,0,4670.451667370198,,
S0054,N01107,T0,Recyclables,0,10493.8370620515,,
S0055,N01109,T0,Recyclables,0,18113.84550443225,,
S0056,N01111,T0,Recyclables,0,12054.495567750106,,
S0057,N01113,T0,Recyclables,0,32476.952300548754,,
S0058,N01115,T0,Recyclables,0,49993.203883495145,,
S0059,N01117,T0,Recyclables,0,122385.47910510763,,
S0060,N01119,T0,Recyclables,0,6774.377374419587,,
S0061,N01121,T0,Recyclables,0,45079.65386238919,,
S0062,N01123,T0,Recyclables,0,22669.60742929506,,
S0063,N01125,T0,Recyclables,0,124587.08315745041,,
S0064,N01127,T0,Recyclables,0,35856.732798649224,,
S0065,N01129,T0,Recyclables,0,8444.23807513719,,
S0066,N01131,T0,Recyclables,0,5816.80033769523,,
S0067,N01133,T0,Recyclables,0,12917.686787674123,,
S0068,N04001,T0,Recyclables,0,36229.337273111014,,
S0069,N04003,T0,Recyclables,0,68839.6369776277,,
S0070,N04005,T0,Recyclables,0,79624.86281131279,,
S0071,N04007,T0,Recyclables,0,29233.262980160405,,
S0072,N04009,T0,Recyclables,0,21145.16673701984,,
S0073,N04011,T0,Recyclables,0,5247.741663149008,,
S0074,N04012,T0,Recyclables,0,9085.73237653018,,
S0075,N04013,T0,Recyclables,0,2.425807682566484e6,,
S0076,N04015,T0,Recyclables,0,117031.27902068384,,
S0077,N04017,T0,Recyclables,0,58561.46053186998,,
S0078,N04019,T0,Recyclables,0,572588.8138455044,,
S0079,N04021,T0,Recyclables,0,233365.63951034192,,
S0080,N04023,T0,Recyclables,0,26158.590122414524,,
S0081,N04025,T0,Recyclables,0,129620.81046855212,,
S0082,N04027,T0,Recyclables,0,111880.66694807936,,
S0083,N05001,T0,Recyclables,0,9410.595187842973,,
S0084,N05003,T0,Recyclables,0,10460.363022372308,,
S0085,N05005,T0,Recyclables,0,22843.01392992824,,
S0086,N05007,T0,Recyclables,0,156029.0840016885,,
S0087,N05009,T0,Recyclables,0,20508.6112283664,,
S0088,N05011,T0,Recyclables,0,5786.618826509075,,
S0089,N05013,T0,Recyclables,0,2600.5487547488387,,
S0090,N05015,T0,Recyclables,0,15507.809202195018,,
S0091,N05017,T0,Recyclables,0,5601.688476150274,,
S0092,N05019,T0,Recyclables,0,11768.594343604896,,
S0093,N05021,T0,Recyclables,0,7985.47910510764,,
S0094,N05023,T0,Recyclables,0,13560.278598564797,,
S0095,N05025,T0,Recyclables,0,4143.098353735753,,
S0096,N05027,T0,Recyclables,0,12512.157028281976,,
S0097,N05029,T0,Recyclables,0,11367.454622203462,,
S0098,N05031,T0,Recyclables,0,61038.53946813002,,
S0099,N05033,T0,Recyclables,0,32998.269311945965,,
S0100,N05035,T0,Recyclables,0,26429.67496834107,,
S0101,N05037,T0,Recyclables,0,9237.188687209793,,
S0102,N05039,T0,Recyclables,0,3557.028281975517,,
S0103,N05041,T0,Recyclables,0,6253.060363022372,,
S0104,N05043,T0,Recyclables,0,9520.894892359645,,
S0105,N05045,T0,Recyclables,0,67770.11397214014,,
S0106,N05047,T0,Recyclables,0,9382.059940903335,,
S0107,N05049,T0,Recyclables,0,6626.21359223301,,
S0108,N05051,T0,Recyclables,0,54974.25073870832,,
S0109,N05053,T0,Recyclables,0,9854.537779653861,,
S0110,N05055,T0,Recyclables,0,25097.847192908397,,
S0111,N05057,T0,Recyclables,0,11010.764035457998,,
S0112,N05059,T0,Recyclables,0,18130.856901646264,,
S0113,N05061,T0,Recyclables,0,7015.829463908823,,
S0114,N05063,T0,Recyclables,0,20818.657661460533,,
S0115,N05065,T0,Recyclables,0,7450.443224989447,,
S0116,N05067,T0,Recyclables,0,9194.385816800337,,
S0117,N05069,T0,Recyclables,0,36909.24440692275,,
S0118,N05071,T0,Recyclables,0,14129.886027859857,,
S0119,N05073,T0,Recyclables,0,3461.544955677501,,
S0120,N05075,T0,Recyclables,0,8898.607007176022,,
S0121,N05077,T0,Recyclables,0,4719.290840016884,,
S0122,N05079,T0,Recyclables,0,7101.435204727733,,
S0123,N05081,T0,Recyclables,0,6599.324609539891,,
S0124,N05083,T0,Recyclables,0,11595.736597720557,,
S0125,N05085,T0,Recyclables,0,40616.082735331365,,
S0126,N05087,T0,Recyclables,0,9065.977205571971,,
S0127,N05089,T0,Recyclables,0,9233.347403967919,,
S0128,N05091,T0,Recyclables,0,23376.952300548754,,
S0129,N05093,T0,Recyclables,0,22326.08695652174,,
S0130,N05095,T0,Recyclables,0,3730.9835373575347,,
S0131,N05097,T0,Recyclables,0,4655.635289151541,,
S0132,N05099,T0,Recyclables,0,4560.151962853525,,
S0133,N05101,T0,Recyclables,0,3964.7530603630225,,
S0134,N05103,T0,Recyclables,0,12429.295061207262,,
S0135,N05105,T0,Recyclables,0,5497.973828619671,,
S0136,N05107,T0,Recyclables,0,9091.768678767414,,
S0137,N05109,T0,Recyclables,0,5581.384550443225,,
S0138,N05111,T0,Recyclables,0,12602.1528070916,,
S0139,N05113,T0,Recyclables,0,10547.615027437738,,
S0140,N05115,T0,Recyclables,0,34780.6247361756,,
S0141,N05117,T0,Recyclables,0,4544.786829886028,,
S0142,N05119,T0,Recyclables,0,219021.73913043478,,
S0143,N05121,T0,Recyclables,0,10190.924440692275,,
S0144,N05123,T0,Recyclables,0,12670.747150696496,,
S0145,N05125,T0,Recyclables,0,67725.11608273533,,
S0146,N05127,T0,Recyclables,0,5397.551709582102,,
S0147,N05129,T0,Recyclables,0,4295.652173913044,,
S0148,N05131,T0,Recyclables,0,70130.30814689743,,
S0149,N05133,T0,Recyclables,0,8691.726466863656,,
S0150,N05135,T0,Recyclables,0,9477.54326720135,,
S0151,N05137,T0,Recyclables,0,6782.059940903335,,
S0152,N05139,T0,Recyclables,0,21431.06796116505,,
S0153,N05141,T0,Recyclables,0,8668.13001266357,,
S0154,N05143,T0,Recyclables,0,134922.8788518362,,
S0155,N05145,T0,Recyclables,0,42156.43731532292,,
S0156,N05147,T0,Recyclables,0,3440.143520472773,,
S0157,N05149,T0,Recyclables,0,11119.417475728156,,
S0158,N06001,T0,Recyclables,0,923199.1979738286,,
S0159,N06003,T0,Recyclables,0,660.7007176023639,,
S0160,N06005,T0,Recyclables,0,22210.299704516674,,
S0161,N06007,T0,Recyclables,0,116134.06500633179,,
S0162,N06009,T0,Recyclables,0,24854.200084423806,,
S0163,N06011,T0,Recyclables,0,11984.254959898692,,
S0164,N06013,T0,Recyclables,0,639807.97804981,,
S0165,N06015,T0,Recyclables,0,15224.102997045167,,
S0166,N06017,T0,Recyclables,0,104913.67665681723,,
S0167,N06019,T0,Recyclables,0,553503.6724356269,,
S0168,N06021,T0,Recyclables,0,15868.341072182355,,
S0169,N06023,T0,Recyclables,0,74884.71929084002,,
S0170,N06025,T0,Recyclables,0,98612.325875897,,
S0171,N06027,T0,Recyclables,0,10435.120303925707,,
S0172,N06029,T0,Recyclables,0,498947.02406078513,,
S0173,N06031,T0,Recyclables,0,83677.41663149008,,
S0174,N06033,T0,Recyclables,0,37404.76994512452,,
S0175,N06035,T0,Recyclables,0,17960.74292950612,,
S0176,N06037,T0,Recyclables,0,5.495234993668214e6,,
S0177,N06039,T0,Recyclables,0,85745.67327986492,,
S0178,N06041,T0,Recyclables,0,143949.89447024063,,
S0179,N06043,T0,Recyclables,0,9400.717602363866,,
S0180,N06045,T0,Recyclables,0,50266.48374841706,,
S0181,N06047,T0,Recyclables,0,154310.93288307302,,
S0182,N06049,T0,Recyclables,0,4774.166314900803,,
S0183,N06051,T0,Recyclables,0,7240.818910932882,,
S0184,N06053,T0,Recyclables,0,240922.54115660617,,
S0185,N06055,T0,Recyclables,0,75738.58168003378,,
S0186,N06057,T0,Recyclables,0,56105.23427606585,,
S0187,N06059,T0,Recyclables,0,1.7488753482482058e6,,
S0188,N06061,T0,Recyclables,0,222102.4482904179,,
S0189,N06063,T0,Recyclables,0,10859.856479527227,,
S0190,N06065,T0,Recyclables,0,1.3269905023216547e6,,
S0191,N06067,T0,Recyclables,0,869806.4584212748,,
S0192,N06069,T0,Recyclables,0,35234.99366821443,,
S0193,N06071,T0,Recyclables,0,1.1971929928239763e6,,
S0194,N06073,T0,Recyclables,0,1.8101410721823554e6,,
S0195,N06075,T0,Recyclables,0,479592.4440692275,,
S0196,N06077,T0,Recyclables,0,427607.809202195,,
S0197,N06079,T0,Recyclables,0,154981.51118615447,,
S0198,N06081,T0,Recyclables,0,419491.1777121148,,
S0199,N06083,T0,Recyclables,0,245967.79231743352,,
S0200,N06085,T0,Recyclables,0,1.0625313212325876e6,,
S0201,N06087,T0,Recyclables,0,148636.26002532715,,
S0202,N06089,T0,Recyclables,0,99958.42127479949,,
S0203,N06091,T0,Recyclables,0,1775.7703672435625,,
S0204,N06093,T0,Recyclables,0,24186.914309835374,,
S0205,N06095,T0,Recyclables,0,248855.33980582524,,
S0206,N06097,T0,Recyclables,0,268265.89278176444,,
S0207,N06099,T0,Recyclables,0,303394.42802870413,,
S0208,N06101,T0,Recyclables,0,54674.081891093294,,
S0209,N06103,T0,Recyclables,0,36123.9763613339,,
S0210,N06105,T0,Recyclables,0,8841.536513296749,,
S0211,N06107,T0,Recyclables,0,259625.20050654284,,
S0212,N06109,T0,Recyclables,0,30521.73913043478,,
S0213,N06111,T0,Recyclables,0,463062.853524694,,
S0214,N06113,T0,Recyclables,0,118752.17391304349,,
S0215,N06115,T0,Recyclables,0,44764.66863655551,,
S0216,N08001,T0,Recyclables,0,285117.60236386664,,
S0217,N08003,T0,Recyclables,0,8986.40776699029,,
S0218,N08005,T0,Recyclables,0,359472.77332207677,,
S0219,N08007,T0,Recyclables,0,7330.814689742508,,
