WARNING: Base.String is deprecated, use AbstractString instead.
  likely near /home/cao27/SINGO/Plasmo.jl/src/Plasmo.jl:16
WARNING: Base.String is deprecated, use AbstractString instead.
  likely near /home/cao27/SINGO/Plasmo.jl/src/Plasmo.jl:16
WARNING: Base.String is deprecated, use AbstractString instead.
  likely near /home/cao27/SINGO/Plasmo.jl/src/Plasmo.jl:55
WARNING: Base.String is deprecated, use AbstractString instead.
  likely near /home/cao27/SINGO/Plasmo.jl/src/Plasmo.jl:66
WARNING: Base.String is deprecated, use AbstractString instead.
  likely near /home/cao27/SINGO/Param/param.jl:152
WARNING: Base.String is deprecated, use AbstractString instead.
  likely near /home/cao27/SINGO/Param/param.jl:152
WARNING: Base.String is deprecated, use AbstractString instead.
  likely near /home/cao27/SINGO/Param/param.jl:152
WARNING: Base.String is deprecated, use AbstractString instead.
  likely near /home/cao27/SINGO/Param/param.jl:152
WARNING: Base.String is deprecated, use AbstractString instead.
  likely near /home/cao27/SINGO/Param/param.jl:156
WARNING: Base.String is deprecated, use AbstractString instead.
  likely near /home/cao27/SINGO/Param/param.jl:156
presolving:
(round 1, fast)       93 del vars, 93 del conss, 0 add conss, 95 chg bounds, 0 chg sides, 0 chg coeffs, 471 upgd conss, 0 impls, 0 clqs
(round 2, fast)       93 del vars, 93 del conss, 0 add conss, 162 chg bounds, 0 chg sides, 0 chg coeffs, 471 upgd conss, 0 impls, 0 clqs
(round 3, medium)     93 del vars, 93 del conss, 0 add conss, 162 chg bounds, 0 chg sides, 0 chg coeffs, 472 upgd conss, 0 impls, 0 clqs
presolving (4 rounds: 4 fast, 2 medium, 1 exhaustive):
 93 deleted vars, 93 deleted constraints, 0 added constraints, 163 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 989 variables (0 bin, 0 int, 0 impl, 989 cont) and 987 constraints
      1 constraints of type <linear>
    470 constraints of type <abspower>
    516 constraints of type <quadratic>
Presolving Time: 0.02

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************


  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |  9523 |     - |6318k| 3.077708e-01 | 3.923297e+01 |  Large 
      1 |     0 |  9524 |     - |6319k| 3.077708e-01 | 3.923297e+01 |  Large 
      1 |     0 |  9525 |     - |6320k| 3.077708e-01 | 3.923297e+01 |  Large 
      1 |     0 |  9526 |     - |6321k| 3.077708e-01 | 3.923297e+01 |  Large 
      1 |     0 |  9527 |     - |6317k| 3.077708e-01 | 3.923297e+01 |  Large 
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |  9528 |     - |6318k| 3.077708e-01 | 3.923297e+01 |  Large 
      1 |     0 |  9534 |     - |6318k| 3.216369e-01 | 3.923297e+01 |  Large 
      1 |     0 |  9538 |     - |6321k| 3.234341e-01 | 3.923297e+01 |  Large 
      1 |     0 |  9539 |     - |6322k| 3.234341e-01 | 3.923297e+01 |  Large 
      1 |     0 |  9541 |     - |6324k| 3.246317e-01 | 3.923297e+01 |  Large 
      1 |     0 |  9619 |     - |6337k| 3.441897e-01 | 3.923297e+01 |  Large 
      1 |     0 |  9633 |     - |6345k| 3.457442e-01 | 3.923297e+01 |  Large 
      1 |     0 |  9638 |     - |6347k| 3.457442e-01 | 3.923297e+01 |  Large 
      1 |     0 |  9647 |     - |6348k| 3.458631e-01 | 3.923297e+01 |  Large 
      1 |     0 |  9659 |     - |6354k| 3.458631e-01 | 3.923297e+01 |  Large 
      1 |     0 |  9662 |     - |6354k| 3.459201e-01 | 3.923297e+01 |  Large 
      1 |     0 |  9711 |     - |6370k| 3.460388e-01 | 3.923297e+01 |  Large 
      1 |     0 |  9750 |     - |6391k| 3.460498e-01 | 3.923297e+01 |  Large 
      1 |     0 |  9751 |     - |6392k| 3.460498e-01 | 3.923297e+01 |  Large 
      1 |     0 |  9768 |     - |6399k| 3.460524e-01 | 3.923297e+01 |  Large 
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |  9769 |     - |6400k| 3.460524e-01 | 3.923297e+01 |  Large 
      1 |     0 |  9770 |     - |6400k| 3.460533e-01 | 3.923297e+01 |  Large 
      1 |     0 |  9771 |     - |6377k| 3.460533e-01 | 3.923297e+01 |  Large 
      1 |     2 |  9771 |     - |6377k| 3.460533e-01 | 3.923297e+01 |  Large 
    100 |    89 | 91032 | 875.6 |  17M| 7.488426e+00 | 3.923297e+01 | 423.91%
    200 |   169 |119275 | 577.5 |  21M| 7.491139e+00 | 3.923297e+01 | 423.73%
    300 |   229 |159634 | 519.3 |  27M| 7.510289e+00 | 3.923297e+01 | 422.39%
    400 |   281 |213468 | 524.1 |  34M| 7.522026e+00 | 3.923297e+01 | 421.57%
    500 |   335 |274608 | 541.6 |  43M| 7.567728e+00 | 3.923297e+01 | 418.42%
    600 |   369 |325904 | 536.8 |  51M| 7.690560e+00 | 3.923297e+01 | 410.14%
    700 |   393 |362053 | 511.7 |  57M| 7.774088e+00 | 3.923297e+01 | 404.66%
    800 |   393 |408857 | 506.3 |  64M| 7.903997e+00 | 3.923297e+01 | 396.37%
    900 |   397 |457564 | 504.1 |  70M| 8.015579e+00 | 3.923297e+01 | 389.46%
   1000 |   415 |515088 | 511.3 |  77M| 8.150418e+00 | 3.923297e+01 | 381.36%
   1100 |   419 |561930 | 507.4 |  81M| 8.320606e+00 | 3.923297e+01 | 371.52%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   1200 |   423 |596967 | 494.3 |  87M| 8.423940e+00 | 3.923297e+01 | 365.73%
   1300 |   425 |621193 | 474.9 |  90M| 8.533847e+00 | 3.923297e+01 | 359.73%
   1400 |   415 |636209 | 451.7 |  91M| 8.650543e+00 | 3.923297e+01 | 353.53%
   1500 |   417 |659573 | 437.1 |  96M| 8.729993e+00 | 3.923297e+01 | 349.40%
   1600 |   415 |732486 | 455.4 |  99M| 8.775035e+00 | 3.923297e+01 | 347.10%
   1700 |   415 |775162 | 453.7 | 103M| 1.206928e+01 | 3.923297e+01 | 225.06%
   1800 |   407 |790994 | 437.3 | 103M| 1.369499e+01 | 3.923297e+01 | 186.48%
   1900 |   393 |816037 | 427.4 | 102M| 1.371315e+01 | 3.923297e+01 | 186.10%
   2000 |   379 |838905 | 417.5 | 100M| 1.373958e+01 | 3.923297e+01 | 185.55%
   2100 |   371 |930975 | 441.5 | 104M| 1.374637e+01 | 3.923297e+01 | 185.41%
   2200 |   357 |  1032k| 467.6 | 107M| 1.394250e+01 | 3.923297e+01 | 181.39%
   2300 |   337 |  1109k| 480.5 | 103M| 1.410992e+01 | 3.923297e+01 | 178.05%
   2400 |   311 |  1224k| 508.5 | 101M| 1.433485e+01 | 3.923297e+01 | 173.69%
   2500 |   289 |  1327k| 529.6 |  99M| 1.536203e+01 | 3.923297e+01 | 155.39%
   2600 |   303 |  1405k| 539.3 | 102M| 2.389363e+01 | 3.923297e+01 |  64.20%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   2700 |   275 |  1462k| 540.4 | 102M| 2.476269e+01 | 3.923297e+01 |  58.44%
   2800 |   243 |  1513k| 539.0 |  98M| 2.523738e+01 | 3.923297e+01 |  55.46%
   2900 |   217 |  1556k| 535.3 |  93M| 2.665158e+01 | 3.923297e+01 |  47.21%
   3000 |   179 |  1590k| 528.9 |  83M| 2.833657e+01 | 3.923297e+01 |  38.45%
   3100 |   145 |  1622k| 522.1 |  76M| 3.043597e+01 | 3.923297e+01 |  28.90%
   3200 |   119 |  1660k| 517.7 |  65M| 3.104341e+01 | 3.923297e+01 |  26.38%
   3300 |   105 |  1720k| 520.2 |  59M| 3.251100e+01 | 3.923297e+01 |  20.68%
   3400 |    99 |  1774k| 520.8 |  55M| 3.445989e+01 | 3.923297e+01 |  13.85%
   3500 |   115 |  1832k| 522.4 |  55M| 3.793450e+01 | 3.923297e+01 |   3.42%
   3600 |   149 |  1868k| 517.9 |  56M| 3.841859e+01 | 3.923297e+01 |   2.12%
