WARNING: Method definition getData(JuMP.Model) in module Main at /home/cao27/SINGO/Plasmo.jl/src/NetParPipsNlp.jl:65 overwritten at /home/cao27/SINGO/Plasmo.jl/src/NetIpopt.jl:21.
WARNING: Method definition findnode(Any, Any) in module Main at /home/cao27/SINGO/Param/../preprocess.jl:312 overwritten at /home/cao27/SINGO/Param/../preprocessex.jl:369.
presolving:
(round 1, fast)       93 del vars, 93 del conss, 0 add conss, 91 chg bounds, 0 chg sides, 0 chg coeffs, 470 upgd conss, 0 impls, 0 clqs
(round 2, fast)       93 del vars, 93 del conss, 0 add conss, 149 chg bounds, 0 chg sides, 0 chg coeffs, 470 upgd conss, 0 impls, 0 clqs
(round 3, fast)       93 del vars, 93 del conss, 0 add conss, 161 chg bounds, 0 chg sides, 0 chg coeffs, 470 upgd conss, 0 impls, 0 clqs
presolving (4 rounds: 4 fast, 1 medium, 1 exhaustive):
 93 deleted vars, 93 deleted constraints, 0 added constraints, 161 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 989 variables (0 bin, 0 int, 0 impl, 989 cont) and 987 constraints
    470 constraints of type <abspower>
    517 constraints of type <quadratic>
Presolving Time: 0.01

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************


  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |   650 |     - |6421k| 1.177225e+00 |      --      |    Inf 
q     1 |     0 |   650 |     - |6786k| 1.177225e+00 | 7.260865e+01 |6067.78%
      1 |     0 |   977 |     - |7178k| 1.177225e+00 | 7.260865e+01 |6067.78%
      1 |     0 |   977 |     - |7163k| 1.177225e+00 | 7.260865e+01 |6067.78%
      1 |     0 |  1528 |     - |7498k| 1.177225e+00 | 7.260865e+01 |6067.78%
      1 |     0 |  2012 |     - |7711k| 1.177225e+00 | 7.260865e+01 |6067.78%
      1 |     0 |  2331 |     - |7879k| 1.177225e+00 | 7.260865e+01 |6067.78%
      1 |     0 |  2468 |     - |7945k| 1.177225e+00 | 7.260865e+01 |6067.78%
      1 |     0 |  2599 |     - |8033k| 1.177225e+00 | 7.260865e+01 |6067.78%
      1 |     0 | 28590 |     - |8022k| 1.177225e+00 | 7.260865e+01 |6067.78%
      1 |     0 | 28707 |     - |8084k| 1.177225e+00 | 7.260865e+01 |6067.78%
      1 |     0 | 29021 |     - |8230k| 1.177225e+00 | 7.260865e+01 |6067.78%
      1 |     0 | 29356 |     - |8258k| 1.177504e+00 | 7.260865e+01 |6066.32%
      1 |     0 | 29653 |     - |6798k| 1.177506e+00 | 7.260865e+01 |6066.31%
      1 |     0 | 29869 |     - |6895k| 1.178448e+00 | 7.260865e+01 |6061.38%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 | 30080 |     - |6959k| 1.178448e+00 | 7.260865e+01 |6061.38%
      1 |     0 | 30251 |     - |7033k| 1.178514e+00 | 7.260865e+01 |6061.03%
      1 |     0 | 30495 |     - |7151k| 1.178514e+00 | 7.260865e+01 |6061.03%
      1 |     0 | 30813 |     - |7203k| 1.178874e+00 | 7.260865e+01 |6059.15%
      1 |     0 | 31115 |     - |6656k| 1.178875e+00 | 7.260865e+01 |6059.15%
      1 |     0 | 31353 |     - |6689k| 1.178915e+00 | 7.260865e+01 |6058.94%
      1 |     0 | 31683 |     - |6849k| 1.178915e+00 | 7.260865e+01 |6058.94%
      1 |     0 | 31870 |     - |6881k| 1.178937e+00 | 7.260865e+01 |6058.82%
      1 |     0 | 32161 |     - |7025k| 1.178937e+00 | 7.260865e+01 |6058.82%
      1 |     0 | 32298 |     - |7044k| 1.178954e+00 | 7.260865e+01 |6058.74%
      1 |     0 | 32458 |     - |6965k| 1.178954e+00 | 7.260865e+01 |6058.74%
      1 |     0 | 32542 |     - |6979k| 1.178962e+00 | 7.260865e+01 |6058.70%
      1 |     0 | 32662 |     - |7039k| 1.178962e+00 | 7.260865e+01 |6058.70%
      1 |     0 | 32751 |     - |7054k| 1.178967e+00 | 7.260865e+01 |6058.67%
      1 |     0 | 32898 |     - |7127k| 1.178967e+00 | 7.260865e+01 |6058.67%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 | 32934 |     - |7140k| 1.178968e+00 | 7.260865e+01 |6058.66%
      1 |     0 | 32998 |     - |7006k| 1.178968e+00 | 7.260865e+01 |6058.66%
      1 |     0 | 33018 |     - |7014k| 1.178969e+00 | 7.260865e+01 |6058.66%
      1 |     0 | 33044 |     - |7027k| 1.178969e+00 | 7.260865e+01 |6058.66%
      1 |     0 | 33067 |     - |7034k| 1.178969e+00 | 7.260865e+01 |6058.65%
      1 |     0 | 33099 |     - |7050k| 1.178969e+00 | 7.260865e+01 |6058.65%
      1 |     0 | 33114 |     - |7054k| 1.178970e+00 | 7.260865e+01 |6058.65%
      1 |     0 | 33134 |     - |7007k| 1.178970e+00 | 7.260865e+01 |6058.65%
