#SUPS,Manure (kg/day)
s1,417304.64
s2,368425.57
s3,238698.25
s4,211627.88
s5,211301.3
s6,208579.75
s7,200306.23
s8,191125.53
s9,190182.05
s10,188694.27
s11,171711.79
s12,167647.6
s13,166050.96
s14,154838.17
s15,153060.08
s16,145512.31
s17,142282.74
s18,140105.5
s19,134988.98
s20,129255.58
s21,126969.47
s22,125554.27
s23,125191.39
s24,125082.53
s25,121744.09
s26,109587.83
s27,106684.84
s28,105959.09
s29,105378.49
s30,104144.72
s31,102257.78
s32,99499.94
s33,99064.49
s34,98483.9
s35,97431.56
s36,96887.25
s37,95036.6
s38,93403.66
s39,92387.62
s40,92169.89
s41,91661.87
s42,90863.55
s43,87597.69
s44,87162.24
s45,87017.09
s46,86654.22
s47,85638.17
s48,85166.43
s49,84912.42
s50,84331.82
s51,84295.54
s52,81283.69
s53,80993.39
s54,78344.41
s55,77981.54
s56,77509.8
s57,76929.2
s58,76203.46
s59,75731.72
s60,75296.27
s61,73663.34
s62,73300.47
s63,71740.11
s64,71594.96
s65,70578.92
s66,69091.13
s67,67385.63
s68,66950.18
s69,66768.74
s70,66514.73
s71,65934.13
s72,65788.98
s73,64990.66
s74,64845.51
s75,63865.75
s76,63793.18
s77,63502.88
s78,62269.11
s79,62123.96
s80,61761.09
s81,61688.51
s82,60962.76
s83,60237.02
s84,59620.13
s85,59547.56
s86,59511.27
s87,59366.12
s88,59148.4
s89,57842.05
s90,57261.45
s91,56245.41
s92,55156.79
s93,54902.78
s94,53923.02
s95,53669.01
s96,53560.14
s97,53487.57
s98,53414.99
s99,52435.24
s100,52398.95
