# TECHS,tech_alias,tech_cap (kg/day),tech_invcost ($),tech_refprod,operating_cost($/yr)
t1,Struvite_recovery (500AU),18143.68,364000,p1,5.86E+05
t2,Struvite_recovery (1500 AU),54431.04,704000,p1,1.13E+06
t3,Struvite_recovery (3000 AU),108862.08,1070000,p1,1.72E+06
