#SUPS,sup_node,sup_prod,sup_value,sup_price
s73,n1,p3,2216.28,0
s74,n2,p3,1742.73,0
s75,n3,p3,5011.93,0
s76,n4,p3,1647.47,0
s77,n5,p3,28458.98,0
s78,n6,p3,1451.12,0
s79,n7,p3,1667.49,0
s80,n8,p3,5473.82,0
s81,n9,p3,6988.41,0
s82,n10,p3,3788.95,0
s83,n11,p3,6241.73,0
s84,n12,p3,1803.01,0
s85,n13,p3,57600.73,0
s86,n14,p3,9735.22,0
s87,n15,p3,3030.94,0
s88,n16,p3,4796.11,0
s89,n17,p3,4894.67,0
s90,n18,p3,11231.55,0
s91,n19,p3,491.04,0
s92,n20,p3,11217.03,0
s93,n21,p3,996.27,0
s94,n22,p3,5747.5,0
s95,n23,p3,4090.46,0
s96,n24,p3,2074.16,0
s97,n25,p3,2619.43,0
s98,n26,p3,637.34,0
s99,n27,p3,2260.94,0
s100,n28,p3,9301.49,0
s101,n29,p3,2884.64,0
s102,n30,p3,18528.07,0
s103,n31,p3,2240.26,0
s104,n32,p3,13003.32,0
s105,n33,p3,1851.19,0
s106,n34,p3,2114.53,0
s107,n35,p3,3077.8,0
s108,n36,p3,8778.66,0
s109,n37,p3,14945.48,0
s110,n38,p3,4497.24,0
s111,n39,p3,1658.25,0
s112,n40,p3,503.03,0
s113,n41,p3,105350.85,0
s114,n42,p3,5010.39,0
s115,n43,p3,4117.85,0
s116,n44,p3,3912.37,0
s117,n45,p3,20156.95,0
s118,n46,p3,9663.5,0
s119,n47,p3,801.9,0
s120,n48,p3,4497.79,0
s121,n49,p3,4778.51,0
s122,n50,p3,7744.88,0
s123,n51,p3,1500.95,0
s124,n52,p3,21458.8,0
s125,n53,p3,1924.45,0
s126,n54,p3,17759.28,0
s127,n55,p3,1553.64,0
s128,n56,p3,9626.43,0
s129,n57,p3,7000.62,0
s130,n58,p3,1801.36,0
s131,n59,p3,4543.44,0
s132,n60,p3,12712.59,0
s133,n61,p3,2250.05,0
s134,n62,p3,3250.5,0
s135,n63,p3,3355.66,0
s136,n64,p3,2352.57,0
s137,n65,p3,11308.44,0
s138,n66,p3,1710.72,0
s139,n67,p3,14704.14,0
s140,n68,p3,43613.68,0
s141,n69,p3,5713.95,0
s142,n70,p3,2643.63,0
s143,n71,p3,18650.06,0
s144,n72,p3,8077.85,0
