,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n1,-17.76165925535373,-24.188820052812098,-18.98935558019015,0.0,-0.0,-0.0,-0.0,797.4242058563158,-16.587002345169562,-24.593879989033482,-19.193929035781586,-16.41457675695612,-15.880251825190605,-11.3328544831668,97.42420585631584,97.42420585631584,97.42420585631584,-0.0,-2.3943244859431103,-1.818616250978464,
n2,-17.787438998111096,-24.307141905983467,-19.068436297289807,0.0,-0.0,-0.0,-0.0,797.4767111364057,-16.513087718417207,-24.603011800403117,-19.203728531018594,-16.39679332978495,-15.880726428679809,-11.33028879680696,97.47671113640574,97.47671113640574,97.47671113640574,-0.0,-2.4239236599818232,-1.8787278071346685,
n3,-17.51412526427663,-23.670116344086527,-19.34034628454853,0.0,-0.0,-0.0,-0.05647656139747602,796.7296543177149,-15.846407239686872,-23.64130543463707,-18.413000613336706,-16.65541593724174,-16.32123301938567,-11.889725819878894,96.72965431771486,96.72965431771486,96.72965431771486,-0.0,-2.314337330868034,-1.8177958245709869,
n4,-17.285332554777504,-24.53112651856006,-19.25918165986548,0.0,-0.0,-0.0,-0.0,797.5325822697752,-17.12037218226155,-25.107506390651718,-19.542936350992857,-16.55618516591013,-15.598368808378101,-11.04769119148922,97.5325822697752,97.5325822697752,97.5325822697752,-0.07667859555201664,-2.3406391652582323,-1.9191345040847474,
n5,-17.560059208279846,-24.450974802612382,-19.231900422762752,0.0,-0.0,-0.0,-0.0,797.6586233742238,-16.999107540410954,-25.158638822871815,-19.610222213067566,-16.409664284042215,-15.584508091452266,-11.034043067740445,97.65862337422374,97.65862337422374,97.65862337422374,-0.0,-2.438586385502057,-2.0777585617167555,
n6,-18.22130382735265,-24.713859001471956,-19.31724529384373,0.0,-0.07596078404591255,-0.0,-0.0,797.7028444423858,-16.540047520426487,-25.66823259117089,-20.085977837197863,-16.284847334835675,-15.251280295106058,-10.695516665201817,97.70284444238578,97.70284444238578,97.70284444238578,-0.0,-2.6326056377611216,-1.9412953674611455,
n7,-18.300218592146003,-24.44990251556425,-19.06587808497718,0.0,-0.0,-0.0,-0.0,797.573568966007,-16.718358490896176,-25.406124781920504,-19.822021351290157,-16.243499972255083,-15.346379479356559,-10.789245024331608,97.57356896600699,97.57356896600699,97.57356896600699,-0.0,-2.4984246275854867,-1.8861945745298212,
n8,-18.473420461351964,-24.935384958083592,-19.55742761830136,0.0,-0.05646980055861727,-0.0,-0.0,798.0864600854142,-16.413911113271354,-25.51856427522511,-19.949440528531554,-16.142592145721252,-15.353251931518962,-10.792662486243618,98.08646008541416,98.08646008541416,98.08646008541416,-0.05646980055861727,-2.488076540689082,-1.9030330610558106,
n9,-16.793944173018286,-24.054580687987688,-18.86085280462952,0.0,-0.0,-0.0,-0.0,798.4145609975778,-16.710562917200495,-24.08378087011789,-18.84227164095047,-15.40449719665548,-16.221191787333083,-11.530381009926293,98.41456099757787,98.41456099757787,98.41456099757787,-0.0,-2.4831179677658364,-1.8329404324406593,
n10,-16.604738067249336,-23.864167284719006,-18.662445705600824,0.0,-0.0,-0.0,-0.0,798.2389124875506,-16.28007521171228,-23.881094391933416,-18.66562938632895,-15.634090639582528,-16.33305850982726,-11.75997445285334,98.23891248755054,98.23891248755054,98.23891248755054,-0.0,-2.3928576501973127,-1.4710062656726801,
