  [linear] <lincons>: <_var4_>[C] -1.33333333333333<_var42_>[C] +1.33333333333333<_var43_>[C] == -1;
violation: right hand side is violated by 1
all 1 solutions given by solution candidate storage are infeasible

presolving:
(round 1, fast)       240 del vars, 240 del conss, 133 add conss, 3721 chg bounds, 0 chg sides, 0 chg coeffs, 193 upgd conss, 0 impls, 0 clqs
(round 2, fast)       367 del vars, 367 del conss, 133 add conss, 6238 chg bounds, 0 chg sides, 0 chg coeffs, 193 upgd conss, 0 impls, 0 clqs
(round 3, fast)       367 del vars, 367 del conss, 133 add conss, 6359 chg bounds, 0 chg sides, 0 chg coeffs, 193 upgd conss, 0 impls, 0 clqs
presolving (4 rounds: 4 fast, 1 medium, 1 exhaustive):
 367 deleted vars, 367 deleted constraints, 133 added constraints, 6390 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 4569 variables (0 bin, 0 int, 0 impl, 4569 cont) and 4566 constraints
   1146 constraints of type <linear>
    133 constraints of type <abspower>
   3287 constraints of type <quadratic>
Presolving Time: 0.04

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************


  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |  3672 |     - |  33M| 7.497843e+01 |      --      |    Inf 
      1 |     0 |  4790 |     - |  36M| 7.497852e+01 |      --      |    Inf 
      1 |     0 |  6833 |     - |  37M| 7.508335e+01 |      --      |    Inf 
      1 |     0 |  8250 |     - |  37M| 7.523393e+01 |      --      |    Inf 
      1 |     0 | 10670 |     - |  38M| 7.553584e+01 |      --      |    Inf 
      1 |     0 | 12443 |     - |  39M| 7.577220e+01 |      --      |    Inf 
      1 |     0 | 14089 |     - |  40M| 7.596218e+01 |      --      |    Inf 
      1 |     0 | 16143 |     - |  41M| 7.611136e+01 |      --      |    Inf 
      1 |     0 | 18010 |     - |  42M| 7.622932e+01 |      --      |    Inf 
      1 |     0 | 19927 |     - |  42M| 7.632266e+01 |      --      |    Inf 
      1 |     0 | 21221 |     - |  43M| 7.637559e+01 |      --      |    Inf 
      1 |     0 | 22293 |     - |  34M| 7.641014e+01 |      --      |    Inf 
      1 |     0 | 23185 |     - |  34M| 7.642995e+01 |      --      |    Inf 
      1 |     0 | 23958 |     - |  35M| 7.644361e+01 |      --      |    Inf 
      1 |     0 | 24745 |     - |  35M| 7.645219e+01 |      --      |    Inf 
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 | 25344 |     - |  35M| 7.645841e+01 |      --      |    Inf 
      1 |     0 | 25779 |     - |  35M| 7.646192e+01 |      --      |    Inf 
      1 |     0 | 26066 |     - |  32M| 7.646342e+01 |      --      |    Inf 
      1 |     0 | 26249 |     - |  32M| 7.646391e+01 |      --      |    Inf 
      1 |     0 | 26383 |     - |  32M| 7.646411e+01 |      --      |    Inf 
      1 |     0 | 26468 |     - |  32M| 7.646414e+01 |      --      |    Inf 
      1 |     0 | 26536 |     - |  32M| 7.646415e+01 |      --      |    Inf 
      1 |     0 | 26604 |     - |  32M| 7.646417e+01 |      --      |    Inf 
      1 |     0 | 26650 |     - |  30M| 7.646417e+01 |      --      |    Inf 
      1 |     0 | 36811 |     - |  30M| 7.646417e+01 |      --      |    Inf 
      1 |     0 | 36840 |     - |  30M| 7.646417e+01 |      --      |    Inf 
      1 |     0 | 36894 |     - |  30M| 7.646417e+01 |      --      |    Inf 
      1 |     0 | 36914 |     - |  30M| 7.646417e+01 |      --      |    Inf 
      1 |     0 | 38646 |     - |  31M| 7.646603e+01 |      --      |    Inf 
      1 |     0 | 38709 |     - |  30M| 7.646609e+01 |      --      |    Inf 
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
