#tp,site,,,tech
tp1,1,,,tA1
tp2,2,,,tA1
tp3,3,,,tA1
tp4,4,,,tA1
tp5,5,,,tA1
tp6,6,,,tA1
tp7,7,,,tA1
tp8,8,,,tA1
tp9,9,,,tA1
tp10,10,,,tA1
tp11,11,,,tA1
tp12,12,,,tA1
tp13,13,,,tA1
tp14,14,,,tA1
tp15,15,,,tA1
tp16,16,,,tA1
tp17,17,,,tA1
tp18,18,,,tA1
tp19,19,,,tA1
tp20,20,,,tA1
tp21,21,,,tA1
tp22,22,,,tA1
tp23,23,,,tA1
tp24,24,,,tA1
tp25,25,,,tA1
tp26,26,,,tA1
tp27,27,,,tA1
tp28,28,,,tA1
tp29,29,,,tA1
tp30,30,,,tA1
tp31,31,,,tA1
tp32,32,,,tA1
tp33,33,,,tA1
tp34,34,,,tA1
tp35,35,,,tA1
tp36,36,,,tA1
tp37,37,,,tA1
tp38,38,,,tA1
tp39,39,,,tA1
tp40,40,,,tA1
tp41,41,,,tA1
tp42,42,,,tA1
tp43,43,,,tA1
tp44,44,,,tA1
tp45,45,,,tA1
tp46,46,,,tA1
tp47,47,,,tA1
tp48,48,,,tA1
tp49,49,,,tA1
tp50,50,,,tA1
tp51,51,,,tA1
tp52,52,,,tA1
tp53,53,,,tA1
tp54,54,,,tA1
tp55,55,,,tA1
tp56,56,,,tA1
tp57,57,,,tA1
tp58,58,,,tA1
tp59,59,,,tA1
tp60,60,,,tA1
tp61,61,,,tA1
tp62,62,,,tA1
tp63,63,,,tA1
tp64,64,,,tA1
tp65,65,,,tA1
tp66,66,,,tA1
tp67,67,,,tA1
tp68,68,,,tA1
tp69,69,,,tA1
tp70,70,,,tA1
tp71,71,,,tA1
tp72,72,,,tA1
tp73,73,,,tA1
tp74,74,,,tA1
tp75,75,,,tA1
tp76,76,,,tA1
tp77,77,,,tA1
tp78,78,,,tA1
tp79,79,,,tA1
tp80,80,,,tA1
tp81,81,,,tA1
tp82,82,,,tA1
tp83,83,,,tA1
tp84,84,,,tA1
tp85,85,,,tA1
tp86,86,,,tA1
tp87,87,,,tA1
tp88,88,,,tA1
tp89,89,,,tA1
tp90,90,,,tA1
tp91,91,,,tA1
tp92,92,,,tA1
tp93,93,,,tA1
tp94,94,,,tA1
tp95,95,,,tA1
tp96,96,,,tA1
tp97,97,,,tA1
tp98,98,,,tA1
tp99,99,,,tA1
tp100,100,,,tA1
tp101,101,,,tA1
tp102,102,,,tA1
tp103,103,,,tA1
tp104,104,,,tA1
tp105,105,,,tA1
tp106,106,,,tA1
tp107,107,,,tA1
tp108,108,,,tA1
tp109,109,,,tA1
tp110,110,,,tA1
tp111,111,,,tA1
tp112,112,,,tA1
tp113,113,,,tA1
tp114,114,,,tA1
tp115,115,,,tA1
tp116,116,,,tA1
tp117,117,,,tA1
tp118,118,,,tA1
