#tp,location,provider,size,type
tp1,99,1,2,tA2
tp2,99,1,2,tA3
tp3,260,4,3,tA2
tp4,260,1,2,tA3
tp5,260,2,3,tA3
tp6,260,1,3,tA4
tp7,260,1,3,tA5
tp8,260,1,2,tA6
