#supply,node,prod,bid($/toe), Plastic (ton/yr)
s137,137,2,0,1891
s138,138,2,0,8706
s139,139,2,0,1211
s140,140,2,0,1971
s141,141,2,0,19372
s142,142,2,0,12641
s143,143,2,0,1932
s144,144,2,0,25879
s145,145,2,0,20940
s146,146,2,0,4764
s147,147,2,0,1275
s148,148,2,0,1205
s149,149,2,0,3206
s150,150,2,0,424
s151,151,2,0,2812
s152,152,2,0,1779
s153,153,2,0,2420
s154,154,2,0,34117
s155,155,2,0,1417
s156,156,2,0,807
s157,157,2,0,6563
s158,158,2,0,17989
s159,159,2,0,1262
s160,160,2,0,8507
s161,161,2,0,749
s162,162,2,0,2135
s163,163,2,0,6961
s164,164,2,0,855
s165,165,2,0,4242
s166,166,2,0,616
s167,167,2,0,1860
s168,168,2,0,1579
s169,169,2,0,27260
s170,170,2,0,4200
s171,171,2,0,2007
s172,172,2,0,1714
s173,173,2,0,4883
s174,174,2,0,6581
s175,175,2,0,669530
s176,176,2,0,2427
s177,177,2,0,1400
s178,178,2,0,2033
s179,179,2,0,13637
s180,180,2,0,2530
s181,181,2,0,119980
s182,182,2,0,2231
s183,183,2,0,831
s184,184,2,0,4421
s185,185,2,0,2774
s186,186,2,0,1685
s187,187,2,0,5001
s188,188,2,0,4464
s189,189,2,0,628
s190,190,2,0,1686
s191,191,2,0,6637
s192,192,2,0,1055
s193,193,2,0,2302
s194,194,2,0,497
s195,195,2,0,864
s196,196,2,0,6359
s197,197,2,0,3525
s198,198,2,0,7378
s199,199,2,0,1249
s200,200,2,0,4899
s201,201,2,0,2830
s202,202,2,0,2761
s203,203,2,0,1614
s204,204,2,0,69212
s205,205,2,0,14282
s206,206,2,0,16769
s207,207,2,0,6461
s208,208,2,0,90550
s209,209,2,0,14127
s210,210,2,0,2038
s211,211,2,0,4432
s212,212,2,0,4634
s213,213,2,0,3720
s214,214,2,0,13521
s215,215,2,0,5840
s216,216,2,0,34186
s217,217,2,0,4837
s218,218,2,0,1487
s219,219,2,0,1737
s220,220,2,0,1790
s221,221,2,0,3859
s222,222,2,0,40011
s223,223,2,0,22297
s224,224,2,0,1585
s225,225,2,0,2007
s226,226,2,0,4503
s227,227,2,0,3694
s228,228,2,0,4376
s229,229,2,0,1885
s230,230,2,0,6584
s231,231,2,0,23293
s232,232,2,0,2719
s233,233,2,0,2125
s234,234,2,0,2023
s235,235,2,0,543
s236,236,2,0,694
s237,237,2,0,746
s238,238,2,0,4132
s239,239,2,0,2017
s240,240,2,0,18444
s241,241,2,0,3054
s242,242,2,0,25307
s243,243,2,0,880
s244,244,2,0,644
s245,245,2,0,2812
s246,246,2,0,33759
s247,247,2,0,694
s248,248,2,0,5785
s249,249,2,0,17134
s250,250,2,0,2165
s251,251,2,0,9849
s252,252,2,0,1498
s253,253,2,0,2190
s254,254,2,0,1805
s255,255,2,0,2108
s256,256,2,0,1760
s257,257,2,0,7173
s258,258,2,0,89797
s259,259,2,0,8658
s260,260,2,0,36734
s261,261,2,0,5000
s262,262,2,0,921
s263,263,2,0,477
s264,264,2,0,1796
s265,265,2,0,1619
s266,266,2,0,724
s267,267,2,0,3333
s268,268,2,0,17211
s269,269,2,0,3428
s270,270,2,0,3232
s271,271,2,0,2745
s272,272,2,0,2608
s273,273,2,0,1902
s274,274,2,0,1267
s275,275,2,0,2637
s276,276,2,0,1702
s277,277,2,0,2399
s278,278,2,0,5568
s279,279,2,0,1475
s280,280,2,0,1563
s281,281,2,0,1217
s282,282,2,0,2107
s283,283,2,0,2291
s284,284,2,0,6098
s285,285,2,0,2214
s286,286,2,0,11323
s287,287,2,0,1160
s288,288,2,0,1037
s289,289,2,0,2234
s290,290,2,0,5120
s291,291,2,0,2227
s292,292,2,0,12608
s293,293,2,0,1227
s294,294,2,0,2574
s295,295,2,0,2052
s296,296,2,0,1321
s297,297,2,0,903
s298,298,2,0,1164
s299,299,2,0,1599
s300,300,2,0,1387
s301,301,2,0,1950
s302,302,2,0,1404
s303,303,2,0,2218
s304,304,2,0,1832
s305,305,2,0,2592
s306,306,2,0,1199
s307,307,2,0,1242
s308,308,2,0,897
s309,309,2,0,2105
s310,310,2,0,2522
s311,311,2,0,4806
s312,312,2,0,2359
s313,313,2,0,19315
s314,314,2,0,2673
s315,315,2,0,1324
s316,316,2,0,1947
s317,317,2,0,4450
s318,318,2,0,29102
s319,319,2,0,1453
s320,320,2,0,1116
s321,321,2,0,1531
s322,322,2,0,2082
s323,323,2,0,2881
s324,324,2,0,4312
s325,325,2,0,5195
s326,326,2,0,1954
s327,327,2,0,1379
s328,328,2,0,1135
s329,329,2,0,1015
s330,330,2,0,1307
s331,331,2,0,5576
s332,332,2,0,1799
s333,333,2,0,787
s334,334,2,0,1985
s335,335,2,0,1170
s336,336,2,0,3259
s337,337,2,0,884
s338,338,2,0,62350
s339,339,2,0,12141
s340,340,2,0,2390
s341,341,2,0,645
s342,342,2,0,1274
s343,343,2,0,22418
s344,344,2,0,1509
s345,345,2,0,4528
s346,346,2,0,12602
s347,347,2,0,2214
s348,348,2,0,802
s349,349,2,0,1607
s350,350,2,0,930
s351,351,2,0,4568
s352,352,2,0,6510
s353,353,2,0,2873
s354,354,2,0,836
s355,355,2,0,4751
s356,356,2,0,1369
s357,357,2,0,2634
s358,358,2,0,13336
s359,359,2,0,968
s360,360,2,0,1656
