1.17E+07,Ethanol,Dehyd.
5.33E+06,Ethylene,Ox. & Hyd.
3.41E+07,Ethylene,HT Dcmp.
6.93E+06,Ethylene,Acid Cat.
1.93E+07,Benzene,Acid Cat.
2.62E+07,Ethylben,Dehydrog.
0,Ethanol,Ox. Dehyd.
5.61E+08,Sugarcane,Bioref.
7.59E+07,Sugar Beets,Ferment.
2.04E+08,Pet Naphtha,CR Eth.
6.73E+07,Pet Naphtha,CR Prop.
0,Pet Naphtha,CR Xyl.
0,Pet Naphtha,CR Ben.
853947.4614,Natural Gas,Meth. Eth. Proc.
910974.9472,Benzene,Hydrog.
972010.2687,C.-hexane,Ox. Cobalt
1.05E+06,C.-hexanone,Ox. Acid
626797.4367,"1,3-But.",Hydcyan
1.95E+07,p-Xylene,Amoco Proc.
8.67E+07,Corn Stover,B-to-A Xyl.
8.97E+07,Corn Stover,B-to-A Ben.
6.40E+07,Ethylene,LDPE Poly.
5.20E+07,Ethylene,HDPE Poly.
6.80E+07,Propylene,PP Poly.
3.80E+07,Chloroethene,PVC Poly.
2.50E+07,Styrene,PS Poly.
2.90E+07,Ter. Acid,PET Poly.
1.09E+07,Eth. Glycol,PET Poly.
1.14E+06,Hex. Meth. Diam.,N Poly.
1.44E+06,Ad. Acid,N Poly.
7.14E+06,Dehyd.,Ethylene
1.09E+07,Ox. & Hyd.,Eth. Glycol
3.80E+07,HT Dcmp.,Chloroethene
2.62E+07,Acid Cat.,Ethylben
2.50E+07,Dehydrog.,Styrene
0,Ox. Dehyd.,"1,3-But."
1.79E+07,Bioref.,Propylene
1.17E+07,Ferment.,Ethanol
1.55E+08,CR Eth.,Ethylene
5.01E+07,CR Prop.,Propylene
0,CR Xyl.,p-Xylene
0,CR Ben.,Benzene
626797.4367,Meth. Eth. Proc.,"1,3-But."
972010.2687,Hydrog.,C.-hexane
1.05E+06,Ox. Cobalt,C.-hexanone
1.44E+06,Ox. Acid,Ad. Acid
1.14E+06,Hydcyan,Hex. Meth. Diam.
2.90E+07,Amoco Proc.,Ter. Acid
1.95E+07,B-to-A Xyl.,p-Xylene
2.02E+07,B-to-A Ben.,Benzene
6.40E+07,LDPE Poly.,LDPE
5.20E+07,HDPE Poly.,HDPE
6.80E+07,PP Poly.,PP
3.80E+07,PVC Poly.,PVC
2.50E+07,PS Poly.,PS
3.30E+07,PET Poly.,PET
2.23E+06,N Poly.,Nylon
