WARNING: Method definition midpoints(Base.Range{T} where T) in module Base at deprecated.jl:56 overwritten in module StatsBase at /home/cao27/.julia/v0.6/StatsBase/src/hist.jl:535.
WARNING: Method definition midpoints(AbstractArray{T, 1} where T) in module Base at deprecated.jl:56 overwritten in module StatsBase at /home/cao27/.julia/v0.6/StatsBase/src/hist.jl:533.

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

This is Ipopt version 3.12.4, running with linear solver ma27.

Number of nonzeros in equality constraint Jacobian...: 22106450
Number of nonzeros in inequality constraint Jacobian.:   552460
Number of nonzeros in Lagrangian Hessian.............:  5800140

Total number of variables............................:  5247722
                     variables with only lower bounds:        0
                variables with lower and upper bounds:  1104920
                     variables with only upper bounds:   552690
Total number of equality constraints.................:  4703040
Total number of inequality constraints...............:   276230
        inequality constraints with only lower bounds:   276230
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0 -2.6422909e+04 1.39e+01 1.04e+00  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1 -2.6423187e+04 1.39e+01 1.82e+00  -1.0 7.53e+02  -4.0 4.41e-03 2.43e-03f  1
   2 -2.6423559e+04 1.38e+01 2.75e+00  -1.0 2.21e+03  -4.5 2.61e-03 2.05e-03f  1
   3 -2.6424224e+04 1.38e+01 2.40e+00  -1.0 2.75e+03  -5.0 2.48e-03 3.80e-03f  1
   4 -2.6424730e+04 1.37e+01 3.28e+00  -1.0 2.26e+03  -5.4 2.28e-03 3.45e-03f  1
   5 -2.6425756e+04 1.36e+01 3.24e+00  -1.0 2.46e+03  -5.9 6.37e-03 8.21e-03f  1
   6 -2.6426731e+04 1.35e+01 3.21e+00  -1.0 2.49e+03  -6.4 6.83e-03 9.44e-03f  1
   7 -2.6427008e+04 1.34e+01 1.35e+01  -1.0 4.24e+03  -6.9 1.45e-02 4.05e-03f  1
   8 -2.6427526e+04 1.33e+01 2.43e+01  -1.0 4.15e+03  -7.3 1.82e-02 9.93e-03f  1
   9 -2.6427588e+04 1.32e+01 2.45e+01  -1.0 3.76e+03  -7.8 5.64e-03 5.37e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10 -2.6427621e+04 1.31e+01 2.55e+01  -1.0 3.50e+03  -8.3 1.12e-02 1.00e-02f  1
  11 -2.6427525e+04 1.30e+01 1.91e+01  -1.0 2.83e+03  -8.8 4.06e-03 1.07e-02f  1
  12 -2.6427472e+04 1.29e+01 2.37e+01  -1.0 2.40e+03  -9.2 8.61e-03 2.89e-03f  1
  13 -2.6426890e+04 1.27e+01 2.22e+01  -1.0 2.45e+03  -9.7 4.12e-03 1.75e-02f  1
  14 -2.6426871e+04 1.27e+01 2.07e+01  -1.0 2.57e+03 -10.2 1.00e-02 5.17e-04f  1
  15 -2.6426441e+04 1.26e+01 1.59e+01  -1.0 2.80e+03 -10.7 1.51e-03 9.44e-03f  1
  16 -2.6425452e+04 1.24e+01 1.82e+01  -1.0 1.50e+03 -11.2 3.17e-03 1.51e-02f  1
  17 -2.6424112e+04 1.28e+01 2.25e+01  -1.0 1.26e+03 -11.6 7.92e-03 1.56e-02f  1
  18 -2.6423864e+04 1.27e+01 1.61e+01  -1.0 1.22e+03 -12.1 1.92e-02 2.08e-03f  1
  19 -2.6422723e+04 1.27e+01 1.60e+01  -1.0 1.02e+03 -12.6 7.04e-03 7.48e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20 -2.6421922e+04 1.26e+01 1.59e+01  -1.0 1.02e+03 -13.1 5.32e-03 4.73e-03f  1
  21 -2.6421131e+04 1.26e+01 1.58e+01  -1.0 7.59e+02 -13.5 1.87e-03 3.99e-03f  1
  22 -2.6417863e+04 1.24e+01 1.50e+01  -1.0 8.62e+02 -14.0 5.35e-03 1.66e-02f  1
  23 -2.6414529e+04 1.25e+01 1.46e+01  -1.0 1.03e+03 -14.5 1.31e-02 1.55e-02f  1
  24 -2.6413749e+04 1.25e+01 1.49e+01  -1.0 1.08e+03 -15.0 8.02e-03 3.18e-03f  1
  25 -2.6409087e+04 1.31e+01 1.56e+01  -1.0 1.15e+03 -15.5 5.38e-03 1.81e-02f  1
  26 -2.6408024e+04 1.30e+01 1.39e+01  -1.0 1.11e+03 -15.9 8.68e-03 3.61e-03f  1
  27 -2.6405315e+04 1.32e+01 1.57e+01  -1.0 1.29e+03 -16.4 1.94e-02 9.09e-03f  1
  28 -2.6390525e+04 2.34e+01 3.30e+01  -1.0 1.56e+03 -16.9 3.54e-03 4.60e-02f  1
  29 -2.6388608e+04 2.34e+01 2.73e+01  -1.0 1.82e+03 -17.4 1.49e-02 5.31e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30 -2.6385091e+04 2.36e+01 2.57e+01  -1.0 2.07e+03 -17.8 1.17e-02 9.22e-03f  1
  31 -2.6374606e+04 2.65e+01 3.44e+01  -1.0 2.03e+03 -18.3 9.07e-03 2.65e-02f  1
  32 -2.6369275e+04 2.71e+01 3.55e+01  -1.0 2.40e+03 -18.8 9.63e-03 1.22e-02f  1
  33 -2.6366847e+04 2.72e+01 3.44e+01  -1.0 2.61e+03 -19.3 6.90e-03 5.41e-03f  1
  34 -2.6355992e+04 3.11e+01 4.09e+01  -1.0 2.79e+03 -19.7 1.24e-02 2.37e-02f  1
  35 -2.6351619e+04 3.17e+01 3.92e+01  -1.0 3.35e+03 -20.0 1.07e-02 8.97e-03f  1
  36 -2.6348931e+04 3.19e+01 3.08e+01  -1.0 3.47e+03 -20.0 1.49e-02 5.23e-03f  1
  37 -2.6344859e+04 3.25e+01 3.44e+01  -1.0 4.19e+03 -20.0 3.61e-03 7.32e-03f  1
  38 -2.6342619e+04 3.27e+01 3.06e+01  -1.0 4.92e+03 -20.0 6.69e-03 3.82e-03f  1
  39 -2.6339731e+04 3.30e+01 3.19e+01  -1.0 4.73e+03 -20.0 3.57e-03 4.75e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40 -2.6332158e+04 3.40e+01 7.06e+01  -1.0 3.97e+03 -20.0 3.12e-03 1.21e-02f  1
  41 -2.6330235e+04 3.39e+01 6.63e+01  -1.0 4.04e+03 -20.0 3.84e-03 2.83e-03f  1
  42 -2.6313211e+04 3.35e+01 1.62e+02  -1.0 3.92e+03 -20.0 4.86e-03 2.42e-02f  1
  43 -2.6310084e+04 3.33e+01 1.34e+02  -1.0 3.62e+03 -20.0 1.23e-02 4.34e-03f  1
  44 -2.6298457e+04 3.28e+01 1.90e+02  -1.0 1.57e+03 -20.0 1.90e-03 1.53e-02f  1
  45 -2.6296528e+04 3.27e+01 1.92e+02  -1.0 1.45e+03 -20.0 2.14e-03 2.51e-03f  1
  46 -2.6284487e+04 3.22e+01 2.22e+02  -1.0 1.27e+03 -20.0 9.36e-03 1.58e-02f  1
  47 -2.6273264e+04 3.18e+01 1.38e+02  -1.0 1.64e+03 -20.0 3.27e-02 1.46e-02f  1
  48 -2.6235700e+04 3.05e+01 2.47e+02  -1.0 1.62e+03 -20.0 1.51e-02 4.74e-02f  1
  49 -2.6227370e+04 3.02e+01 2.46e+02  -1.0 1.21e+03 -20.0 2.58e-02 1.04e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50 -2.6222622e+04 3.00e+01 5.70e+02  -1.0 1.04e+03 -20.0 2.05e-02 5.78e-03f  1
  51 -2.6169883e+04 2.87e+01 2.13e+02  -1.0 9.16e+02 -20.0 7.77e-04 6.33e-02f  1
  52 -2.6151298e+04 2.89e+01 1.64e+02  -1.0 9.15e+02 -20.0 4.65e-02 2.27e-02f  1
  53 -2.6137583e+04 2.86e+01 1.62e+02  -1.0 8.98e+02 -20.0 1.85e-02 1.63e-02f  1
  54 -2.6050258e+04 3.03e+01 2.38e+02  -1.0 7.66e+02 -20.0 4.69e-02 1.03e-01f  1
  55 -2.6028780e+04 3.01e+01 1.79e+02  -1.0 4.98e+02 -20.0 6.03e-02 2.55e-02f  1
  56 -2.5977018e+04 3.00e+01 2.18e+02  -1.0 4.41e+02 -20.0 1.88e-02 5.92e-02f  1
  57 -2.5965535e+04 2.97e+01 1.97e+02  -1.0 1.44e+03 -20.0 3.32e-02 1.33e-02f  1
  58 -2.5882821e+04 2.86e+01 2.40e+02  -1.0 4.24e+02 -20.0 1.06e-02 9.36e-02f  1
  59 -2.5849291e+04 2.76e+01 2.35e+02  -1.0 4.03e+02 -20.0 2.97e-02 3.91e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60 -2.5827982e+04 2.70e+01 2.17e+02  -1.0 5.52e+02 -20.0 6.84e-02 2.46e-02f  1
  61 -2.5773632e+04 2.55e+01 2.10e+02  -1.0 7.37e+02 -20.0 8.70e-03 6.00e-02f  1
  62 -2.5607532e+04 3.21e+01 2.54e+02  -1.0 5.00e+02 -20.0 3.76e-02 1.86e-01f  1
  63 -2.5516754e+04 2.90e+01 2.28e+02  -1.0 3.03e+02 -20.0 1.51e-01 1.05e-01f  1
  64 -2.5435494e+04 2.68e+01 2.09e+02  -1.0 2.22e+02 -20.0 5.21e-02 8.46e-02f  1
  65 -2.5403670e+04 2.60e+01 2.02e+02  -1.0 3.87e+02 -20.0 6.36e-02 3.23e-02f  1
  66 -2.5228661e+04 2.25e+01 1.68e+02  -1.0 2.18e+02 -20.0 1.24e-01 1.70e-01f  1
  67 -2.5140840e+04 2.09e+01 1.55e+02  -1.0 2.37e+02 -20.0 6.85e-02 7.86e-02f  1
  68 -2.4994005e+04 1.87e+01 1.35e+02  -1.0 1.40e+02 -20.0 6.96e-02 1.25e-01f  1
  69 -2.4312926e+04 1.67e+01 6.32e+02  -1.0 1.32e+02 -20.0 7.20e-02 5.56e-01f  1
