#SUPS,sup_node,sup_prod,sup_value,sup_price
s145,n73,p1,49453.17738,0
s146,n74,p1,208660.5033,0
s147,n75,p1,98906.35475,0
s148,n76,p1,32639.09707,0
s149,n77,p1,22253.92982,0
s150,n78,p1,78965.55742,0
s151,n79,p1,33101.72357,0
s152,n80,p1,55036.60063,0
s153,n81,p1,21440.34529,0
s154,n82,p1,47857.91359,0
s155,n83,p1,29528.33269,0
s156,n84,p1,67160.6054,0
s157,n85,p1,153783.429,0
s158,n86,p1,26289.9472,0
s159,n87,p1,53553.00531,0
s160,n88,p1,25093.49936,0
s161,n89,p1,27917.11626,0
s162,n90,p1,22923.94061,0
s163,n91,p1,21328.67682,0
s164,n92,p1,44715.24393,0
s165,n93,p1,37488.69898,0
s166,n94,p1,40743.0371,0
s167,n95,p1,58849.28108,0
s168,n96,p1,12315.43643,0
s169,n97,p1,52244.889,0
s170,n98,p1,166864.5921,0
s171,n99,p1,26720.66842,0
s172,n100,p1,20594.85548,0
s173,n101,p1,41795.9112,0
s174,n102,p1,20419.37647,0
s175,n103,p1,26784.47897,0
s176,n104,p1,71754.96511,0
s177,n105,p1,40455.88962,0
s178,n106,p1,202981.3642,0
s179,n107,p1,31777.65462,0
s180,n108,p1,41157.80569,0
s181,n109,p1,43072.12223,0
s182,n110,p1,71866.63357,0
s183,n111,p1,21217.00836,0
s184,n112,p1,50825.10423,0
s185,n113,p1,18473.15465,0
s186,n114,p1,42418.06408,0
s187,n115,p1,53856.10543,0
s188,n116,p1,57748.54907,0
s189,n117,p1,21280.81891,0
s190,n118,p1,46422.17618,0
s191,n119,p1,18249.81772,0
s192,n120,p1,40408.03171,0
s193,n121,p1,21232.961,0
s194,n122,p1,29161.42201,0
s195,n123,p1,101538.54,0
s196,n124,p1,54478.2583,0
s197,n125,p1,34218.40822,0
s198,n126,p1,27390.67921,0
s199,n127,p1,47443.14501,0
s200,n128,p1,23147.27754,0
s201,n129,p1,35781.76673,0
s202,n130,p1,29273.09048,0
s203,n131,p1,34792.70318,0
s204,n132,p1,23833.24097,0
s205,n133,p1,130189.4776,0
s206,n134,p1,62295.05086,0
s207,n135,p1,34904.37165,0
s208,n136,p1,32623.14443,0
s209,n137,p1,70989.23849,0
s210,n138,p1,47060.2817,0
s211,n139,p1,44635.48074,0
s212,n140,p1,41062.08986,0
s213,n141,p1,67192.51068,0
s214,n142,p1,89813.35117,0
s215,n143,p1,64560.32543,0
s216,n144,p1,30070.72237,0
s217,n145,p1,26800.43161,0
s218,n146,p1,20148.18162,0
s219,n147,p1,17515.99637,0
s220,n148,p1,35510.57188,0
s221,n149,p1,52468.22593,0
s222,n150,p1,47570.76611,0
s223,n151,p1,17484.0911,0
s224,n152,p1,28363.79012,0
s225,n153,p1,69266.3536,0
s226,n154,p1,25891.13125,0
s227,n155,p1,44571.67019,0
s228,n156,p1,39562.5419,0
s229,n157,p1,45656.44957,0
s230,n158,p1,209856.9511,0
s231,n159,p1,39897.5473,0
s232,n160,p1,29384.75894,0
s233,n161,p1,47841.96095,0
s234,n162,p1,42019.24813,0
s235,n163,p1,28555.22178,0
s236,n164,p1,32032.89683,0
s237,n165,p1,27422.58449,0
s238,n166,p1,30708.82789,0
s239,n167,p1,22413.4562,0
s240,n168,p1,23785.38305,0
s241,n169,p1,31187.40702,0
s242,n170,p1,25524.22058,0
s243,n171,p1,41062.08986,0
s244,n172,p1,28044.73736,0
s245,n173,p1,24742.54133,0
s246,n174,p1,23035.60907,0
s247,n175,p1,20243.89745,0
s248,n176,p1,26928.05271,0
s249,n177,p1,21663.68222,0
s250,n178,p1,12363.29434,0
s251,n179,p1,47762.19776,0
s252,n180,p1,26624.95259,0
s253,n181,p1,29193.32729,0
s254,n182,p1,45704.30748,0
s255,n183,p1,83607.77504,0
s256,n184,p1,26624.95259,0
s257,n185,p1,46374.31827,0
s258,n186,p1,83623.72768,0
s259,n187,p1,73812.85539,0
s260,n188,p1,137862.6964,0
s261,n189,p1,62023.85601,0
s262,n190,p1,21695.58749,0
s263,n191,p1,37616.32008,0
s264,n192,p1,138947.4758,0
s265,n193,p1,133044.9998,0
s266,n194,p1,39801.83147,0
s267,n195,p1,25619.93641,0
s268,n196,p1,34138.64503,0
s269,n197,p1,32000.99155,0
s270,n198,p1,75743.12458,0
s271,n199,p1,38142.75713,0
s272,n200,p1,66650.12099,0
s273,n201,p1,59822.39199,0
s274,n202,p1,25524.22058,0
s275,n203,p1,92126.48366,0
s276,n204,p1,49453.17738,0
s277,n205,p1,15505.964,0
s278,n206,p1,22094.40344,0
s279,n207,p1,14596.66365,0
s280,n208,p1,21679.63486,0
s281,n209,p1,29576.1906,0
s282,n210,p1,30708.82789,0
s283,n211,p1,79348.42073,0
s284,n212,p1,25045.64145,0
s285,n213,p1,24710.63605,0
s286,n214,p1,22812.27214,0
s287,n215,p1,159287.0891,0
s288,n216,p1,25923.03653,0
s289,n217,p1,31330.98076,0
s290,n218,p1,80528.91593,0
s291,n219,p1,26880.1948,0
s292,n220,p1,38557.52572,0
s293,n221,p1,26242.08929,0
s294,n222,p1,26672.81051,0
s295,n223,p1,24263.96219,0
s296,n224,p1,44332.38062,0
s297,n225,p1,21137.24517,0
s298,n226,p1,47347.42918,0
s299,n227,p1,54462.30567,0
s300,n228,p1,48097.20316,0
s301,n229,p1,67080.84222,0
s302,n230,p1,46581.70256,0
s303,n231,p1,17276.70681,0
s304,n232,p1,35558.4298,0
s305,n233,p1,142393.2456,0
s306,n234,p1,154341.7713,0
s307,n235,p1,38605.38363,0
s308,n236,p1,32447.66541,0
s309,n237,p1,39450.87344,0
s310,n238,p1,33037.91302,0
s311,n239,p1,16702.41184,0
s312,n240,p1,29432.61686,0
s313,n241,p1,20307.708,0
s314,n242,p1,34074.83448,0
s315,n243,p1,109195.8062,0
s316,n244,p1,54079.44236,0
s317,n245,p1,27964.97417,0
s318,n246,p1,171171.8043,0
s319,n247,p1,31107.64383,0
s320,n248,p1,37712.03591,0
s321,n249,p1,18457.20201,0
s322,n250,p1,22716.55632,0
s323,n251,p1,26258.04192,0
s324,n252,p1,35462.71397,0
s325,n253,p1,23721.5725,0
s326,n254,p1,29129.51674,0
s327,n255,p1,172655.3996,0
s328,n256,p1,75775.02985,0
s329,n257,p1,29911.19599,0
s330,n258,p1,27310.91602,0
s331,n259,p1,31905.27573,0
s332,n260,p1,73701.18693,0
s333,n261,p1,23769.43042,0
s334,n262,p1,29512.38005,0
s335,n263,p1,17914.81232,0
s336,n264,p1,20770.3345,0
s337,n265,p1,27677.82669,0
s338,n266,p1,48240.7769,0
s339,n267,p1,49931.75651,0
s340,n268,p1,30820.49635,0
s341,n269,p1,89015.71928,0
s342,n270,p1,51319.63601,0
s343,n271,p1,33037.91302,0
s344,n272,p1,47219.80808,0
s345,n273,p1,103851.6725,0
s346,n274,p1,33261.24995,0
s347,n275,p1,52165.12581,0
s348,n276,p1,28571.17441,0
s349,n277,p1,21966.78234,0
s350,n278,p1,36372.01433,0
s351,n279,p1,51239.87282,0
s352,n280,p1,32958.14983,0
s353,n281,p1,31905.27573,0
s354,n282,p1,40599.46336,0
s355,n283,p1,23849.19361,0
s356,n284,p1,48703.4034,0
s357,n285,p1,27438.53713,0
s358,n286,p1,19797.22359,0
s359,n287,p1,58594.03887,0
s360,n288,p1,23960.86207,0
s361,n289,p1,22604.88785,0
s362,n290,p1,16750.26976,0
s363,n291,p1,33564.35006,0
s364,n292,p1,29193.32729,0
s365,n293,p1,16590.74338,0
s366,n294,p1,35016.04011,0
