PlaSMO gas model output
boostloc	dp
n2	13.181404276726798
n3	5.372874697416459
n4	2.630976127645602e-7
n5	9.836232692901145e-8
n6	5.754510425531247e-8
n7	3.900310953301234e-8
n8	2.838780332247659e-8
n9	2.1493464578078422e-8
n10	1.6640533830241575e-8
n11	1.3026126419485372e-8
