n2	13.181404276726798	13.181404276726806	13.181404276726818	13.181404276726765	13.181404276726786	13.181404276726818	13.181404276726775	13.181404276726811	13.181404276726795	13.181404276726795	13.18140427672682	13.181404276726798	13.181404276726765	13.181404276726806	13.181404276726775	13.181404276726765	13.18140427672679	13.1814042767268	13.181404276726825	13.181404276726823	13.181404276726822	13.181404276726788	13.1814042767268	13.181404276726807	
n3	5.372874697416459	5.372874697416448	5.372874697416434	5.372874697416475	5.372874697416418	5.372874697416414	5.372874697416488	5.372874697416402	5.372874697416447	5.372874697416436	5.372874697416447	5.37287469741642	5.372874697416472	5.372874697416419	5.372874697416444	5.372874697416463	5.372874697416429	5.372874697416436	5.372874697416392	5.372874697416429	5.3728746974164	5.3728746974164245	5.372874697416448	5.372874697416409	
n4	2.630976127645602e-7	2.6309763480402883e-7	2.630976305526019e-7	2.6309763370381435e-7	2.6309763273522455e-7	2.630976331039541e-7	2.6309763343282564e-7	2.630976334622321e-7	2.6309763276372213e-7	2.630976340204793e-7	2.63097614944668e-7	2.6309763333959865e-7	2.6309763227155363e-7	2.630976337701777e-7	2.6309763425965177e-7	2.6309763288614295e-7	2.6309763387061377e-7	2.630976341945827e-7	2.6309763293362e-7	2.6309761528208865e-7	2.630976328685238e-7	2.6309763647518926e-7	2.630976361492408e-7	2.6309763268704193e-7	
n5	9.836232692901145e-8	9.836233609510099e-8	9.83623360507821e-8	9.836233566507718e-8	9.836232721069861e-8	9.836232420594833e-8	9.836232018193028e-8	9.836233600998773e-8	9.83623242173278e-8	9.836233563342991e-8	9.836232694754072e-8	9.836232439636727e-8	9.836232706038541e-8	9.836233626195504e-8	9.836232433895665e-8	9.836233568210974e-8	9.836232469750823e-8	9.836232403537961e-8	9.836232703991813e-8	9.836232706462736e-8	9.836233617520828e-8	9.836232463463637e-8	9.836232469596918e-8	9.836232781825459e-8	
n6	5.754510425531247e-8	5.754508843468625e-8	5.754510428335138e-8	5.7545105416045974e-8	5.754510600345549e-8	5.7545105539304515e-8	5.754510505969625e-8	5.754510434511257e-8	5.754510540889977e-8	5.754510549282231e-8	5.754510433248776e-8	5.7545105088593837e-8	5.7545105449827766e-8	5.7545104282989906e-8	5.754510548500314e-8	5.754510553402475e-8	5.7545104348021284e-8	5.75451050244169e-8	5.754510536440407e-8	5.7545104220582e-8	5.754510497944898e-8	5.7545105251573564e-8	5.754510515981152e-8	5.754510432791844e-8	
n7	3.900310953301234e-8	3.900310680968844e-8	3.9003108813845366e-8	3.900310957351269e-8	3.900310956253334e-8	3.900310960129833e-8	3.9003109591711297e-8	3.900310709575391e-8	3.90031066563939e-8	3.900310956288031e-8	3.900310894140493e-8	3.9003108841946e-8	3.9003109567997445e-8	3.90031099484604e-8	3.900310955272332e-8	3.900310963996126e-8	3.9003109950480784e-8	3.9003106702352423e-8	3.900310987814777e-8	3.9003108842175865e-8	3.900310669305645e-8	3.90031095772192e-8	3.900310989007484e-8	3.900310900456521e-8	
n8	2.838780332247659e-8	2.8387803596038797e-8	2.8387803688088197e-8	2.8387803612629843e-8	2.838780368721194e-8	2.8387803667748077e-8	2.8387803669185598e-8	2.8387798906033567e-8	2.8387803629119986e-8	2.838780266087599e-8	2.8387803785714673e-8	2.838780367346682e-8	2.8387803617810932e-8	2.8387798878254804e-8	2.838780360929804e-8	2.83878036131207e-8	2.8387798881005756e-8	2.8387803688148018e-8	2.8387802577008398e-8	2.8387803736068378e-8	2.8387803595264397e-8	2.8387802566982916e-8	2.838779870152371e-8	2.8387802643393017e-8	
n9	2.1493464578078422e-8	2.1493465268898377e-8	2.1493465354285968e-8	2.149346527551995e-8	2.1493465284948804e-8	2.149346530260436e-8	2.149346530221049e-8	2.1493479154927603e-8	2.149346528403856e-8	2.14934616637811e-8	2.1493465348770513e-8	2.149346529962651e-8	2.1493465260592583e-8	2.149347916223898e-8	2.1493465269891523e-8	2.1493465284221203e-8	2.1493479160340567e-8	2.149346529706635e-8	2.1493464337204063e-8	2.149346535580671e-8	2.1493465300076495e-8	2.1493464316554776e-8	2.149346426703744e-8	2.1493464347086396e-8	
n10	1.6640533830241575e-8	1.6640533560722467e-8	1.664053100464353e-8	1.6640533576472727e-8	1.664053359692836e-8	1.6640533585600354e-8	1.664053356259642e-8	1.664053181018224e-8	1.664053357114685e-8	1.664053357556635e-8	1.664053103310029e-8	1.6640530991102914e-8	1.6640531799245826e-8	1.6640531779036202e-8	1.6640533563664848e-8	1.6640533562600286e-8	1.664053177233829e-8	1.6640530963553538e-8	1.6640531778039562e-8	1.6640531004961644e-8	1.6640533563431808e-8	1.664053177906442e-8	1.664053177359931e-8	1.664053179384255e-8	
n11	1.3026126419485372e-8	1.3026126534588573e-8	1.3026126565454983e-8	1.3026126531244487e-8	1.3026140975715018e-8	1.3026126543665272e-8	1.3026126542795158e-8	1.3026126511282515e-8	1.3026126538618544e-8	1.3026126527330242e-8	1.302612657328432e-8	1.3026126570376721e-8	1.3026126532490208e-8	1.3026126514479005e-8	1.3026140969503779e-8	1.3026140968925838e-8	1.3026126510533949e-8	1.3026126543406292e-8	1.3026126496625668e-8	1.302612657190445e-8	1.3026126543226403e-8	1.3026126491065426e-8	1.3026126483859505e-8	1.302612651944606e-8	
