PlaSMO gas model output
boostloc	dp
n2	13.181404276726779
n3	5.372874697416437
n4	2.630976359061593e-7
n5	9.836233628059146e-8
n6	5.754510552788058e-8
n7	3.900310985516872e-8
n8	2.838780260281675e-8
n9	2.1493464343918705e-8
n10	1.664053129210756e-8
n11	1.3026126475012087e-8
