# DEMS,dem_node,dem_prod,dem_cap,dem_price
d1,n1,p1,60000,0
d2,n2,p1,60000,0
d3,n3,p1,60000,0
d4,n4,p1,60000,0
d5,n5,p1,60000,0
d6,n6,p1,60000,0
d7,n7,p1,60000,0
d8,n8,p1,60000,0
d9,n9,p1,60000,0
d10,n10,p1,60000,0
d11,n11,p1,60000,0
d12,n12,p1,60000,0
d13,n13,p1,60000,0
d14,n14,p1,60000,0
d15,n15,p1,60000,0
d16,n16,p1,60000,0
d17,n17,p1,60000,0
d18,n18,p1,60000,0
d19,n19,p1,60000,0
d20,n20,p1,60000,0
d21,n21,p1,60000,0
d22,n22,p1,60000,0
d23,n23,p1,60000,0
d24,n24,p1,60000,0
d25,n25,p1,60000,0
d26,n26,p1,60000,0
d27,n27,p1,60000,0
d28,n28,p1,60000,0
d29,n29,p1,60000,0
d30,n30,p1,60000,0
d31,n31,p1,60000,0
d32,n32,p1,60000,0
d33,n33,p1,60000,0
d34,n34,p1,60000,0
d35,n35,p1,60000,0
d36,n36,p1,60000,0
d37,n37,p1,60000,0
d38,n38,p1,60000,0
d39,n39,p1,60000,0
d40,n40,p1,60000,0
d41,n41,p1,60000,0
d42,n42,p1,60000,0
d43,n43,p1,60000,0
d44,n44,p1,60000,0
d45,n45,p1,60000,0
d46,n46,p1,60000,0
d47,n47,p1,60000,0
d48,n48,p1,60000,0
d49,n49,p1,60000,0
d50,n50,p1,60000,0
d51,n51,p1,60000,0
d52,n52,p1,60000,0
d53,n53,p1,60000,0
d54,n54,p1,60000,0
d55,n55,p1,60000,0
d56,n56,p1,60000,0
d57,n57,p1,60000,0
d58,n58,p1,60000,0
d59,n59,p1,60000,0
d60,n60,p1,60000,0
d61,n61,p1,60000,0
d62,n62,p1,60000,0
d63,n63,p1,60000,0
d64,n64,p1,60000,0
d65,n65,p1,60000,0
d66,n66,p1,60000,0
d67,n67,p1,60000,0
d68,n68,p1,60000,0
d69,n69,p1,60000,0
d70,n70,p1,60000,0
d71,n71,p1,60000,0
d72,n72,p1,60000,0
d73,n73,p1,60000,0
d74,n74,p1,60000,0
d75,n75,p1,60000,0
d76,n76,p1,60000,0
d77,n77,p1,60000,0
d78,n78,p1,60000,0
d79,n79,p1,60000,0
d80,n80,p1,60000,0
d81,n81,p1,60000,0
d82,n82,p1,60000,0
d83,n83,p1,60000,0
d84,n84,p1,60000,0
d85,n85,p1,60000,0
d86,n86,p1,60000,0
d87,n87,p1,60000,0
d88,n88,p1,60000,0
d89,n89,p1,60000,0
d90,n90,p1,60000,0
d91,n91,p1,60000,0
d92,n92,p1,60000,0
d93,n93,p1,60000,0
d94,n94,p1,60000,0
d95,n95,p1,60000,0
d96,n96,p1,60000,0
d97,n97,p1,60000,0
d98,n98,p1,60000,0
d99,n99,p1,60000,0
d100,n100,p1,60000,0
d101,n1,p2,60000,0.04
d102,n2,p2,60000,0.04
d103,n3,p2,60000,0.04
d104,n4,p2,60000,0.04
d105,n5,p2,60000,0.04
d106,n6,p2,60000,0.04
d107,n7,p2,60000,0.04
d108,n8,p2,60000,0.04
d109,n9,p2,60000,0.04
d110,n10,p2,60000,0.04
d111,n11,p2,60000,0.04
d112,n12,p2,60000,0.04
