#1. Node ID,2. Node Name,3. Node longitude,4. Node latitude
N01001,Autauga County,-86.487813,32.500194
N01003,Baldwin County,-87.761478,30.537396
N01005,Barbour County,-85.301306,31.843981
N01007,Bibb County,-87.136826,33.032236
N01009,Blount County,-86.592667,33.954604
N01011,Bullock County,-85.702354,32.115838
N01013,Butler County,-86.6524,31.776019
N01015,Calhoun County,-85.817974,33.727215
N01017,Chambers County,-85.25964,32.85644
N01019,Cherokee County,-85.629887,34.180501
N01021,Chilton County,-86.688861,32.879146
N01023,Choctaw County,-88.262482,32.016121
N01025,Clarke County,-87.815868,31.683493
N01027,Clay County,-85.817245,33.274342
N01029,Cleburne County,-85.495748,33.625217
N01031,Coffee County,-85.899556,31.353217
N01033,Colbert County,-87.681892,34.724339
N01035,Conecuh County,-86.997537,31.41643
N01037,Coosa County,-86.156212,32.976884
N01039,Covington County,-86.409203,31.284146
N01041,Crenshaw County,-86.296787,31.747324
N01043,Cullman County,-86.83269,34.162652
N01045,Dale County,-85.63771,31.383858
N01047,Dallas County,-87.035342,32.411818
N01049,DeKalb County,-85.817465,34.452725
N01051,Elmore County,-86.225332,32.558527
N01053,Escambia County,-87.280078,31.085439
N01055,Etowah County,-86.025892,34.012182
N01057,Fayette County,-87.76749,33.726912
N01059,Franklin County,-87.793592,34.463509
N01061,Geneva County,-85.781426,31.094511
N01063,Greene County,-87.924522,32.833838
N01065,Hale County,-87.627964,32.783251
N01067,Henry County,-85.271132,31.469275
N01069,Houston County,-85.39632,31.204793
N01071,Jackson County,-85.943552,34.727289
N01073,Jefferson County,-86.811606,33.517206
N01075,Lamar County,-88.108771,33.761275
N01077,Lauderdale County,-87.608858,34.865524
N01079,Lawrence County,-87.27158,34.540863
N01081,Lee County,-85.359778,32.592265
N01083,Limestone County,-86.922366,34.803982
N01085,Lowndes County,-86.615186,32.164241
N01087,Macon County,-85.711764,32.429073
N01089,Madison County,-86.61533,34.742996
N01091,Marengo County,-87.803475,32.342372
N01093,Marion County,-87.876476,34.110448
N01095,Marshall County,-86.291329,34.311249
N01097,Mobile County,-88.175178,30.684049
N01099,Monroe County,-87.364576,31.4988
N01101,Montgomery County,-86.233787,32.346473
N01103,Morgan County,-86.931981,34.513887
N01105,Perry County,-87.369738,32.584881
N01107,Pickens County,-88.074381,33.284667
N01109,Pike County,-85.946994,31.786041
N01111,Randolph County,-85.427378,33.264692
N01113,Russell County,-85.054594,32.414904
N01115,St. Clair County,-86.374875,33.660943
N01117,Shelby County,-86.73899,33.290336
N01119,Sumter County,-88.230925,32.571003
N01121,Talladega County,-86.165876,33.376936
N01123,Tallapoosa County,-85.864016,32.851728
N01125,Tuscaloosa County,-87.518474,33.214817
N01127,Walker County,-87.250515,33.834217
N01129,Washington County,-88.195263,31.413666
N01131,Wilcox County,-87.376912,32.007448
N01133,Winston County,-87.415624,34.164369
N04001,Apache County,-109.419015,35.543654
N04003,Cochise County,-110.072835,31.603486
N04005,Coconino County,-111.601825,35.476113
N04007,Gila County,-111.015003,33.844439
N04009,Graham County,-109.808107,32.867145
N04011,Greenlee County,-109.259546,32.985155
N04012,La Paz County,-114.183775,33.954185
N04013,Maricopa County,-112.044016,33.490147
N04015,Mohave County,-114.262415,35.034511
N04017,Navajo County,-110.205157,34.862151
N04019,Pima County,-110.95803,32.216427
N04021,Pinal County,-111.602135,33.069323
N04023,Santa Cruz County,-110.945948,31.439234
N04025,Yavapai County,-112.273841,34.628734
N04027,Yuma County,-114.605444,32.641391
N05001,Arkansas County,-91.460834,34.403488
N05003,Ashley County,-91.877908,33.17959
N05005,Baxter County,-92.383935,36.331791
N05007,Benton County,-94.230342,36.335056
N05009,Boone County,-93.098769,36.266608
N05011,Bradley County,-92.101277,33.574422
N05013,Calhoun County,-92.500683,33.585989
N05015,Carroll County,-93.574712,36.375744
N05017,Chicot County,-91.318357,33.325951
N05019,Clark County,-93.123962,34.099325
N05021,Clay County,-90.366417,36.370287
N05023,Cleburne County,-92.037753,35.507218
N05025,Cleveland County,-92.136375,33.912967
N05027,Columbia County,-93.247178,33.258766
N05029,Conway County,-92.705923,35.21299
N05031,Craighead County,-90.669235,35.835762
N05033,Crawford County,-94.285922,35.494096
N05035,Crittenden County,-90.213521,35.176704
N05037,Cross County,-90.777424,35.251667
N05039,Dallas County,-92.525216,33.864882
N05041,Desha County,-91.415165,33.768029
N05043,Drew County,-91.784085,33.627329
N05045,Faulkner County,-92.406071,35.105697
N05047,Franklin County,-93.891039,35.442155
N05049,Fulton County,-91.766807,36.375654
N05051,Garland County,-93.080729,34.505767
N05053,Grant County,-92.412583,34.311672
N05055,Greene County,-90.522562,36.071536
