,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n1,-16.387507524621995,-22.3569455482507,-17.50250848592869,0.0,-0.0,-0.0,-0.0,797.4242058563158,-14.956199859624029,-22.3509519239837,-17.45375175101683,-16.425903594145748,-15.883436899137953,-11.332971875426134,97.42420585631584,97.42420585631584,97.42420585631584,-0.0,-0.0,-0.0,
n2,-16.423558977560347,-22.468835167166905,-17.55879795592165,0.0,-0.0,0.05532463435231932,-0.0,797.4767111364057,-14.95456762907674,-22.24134478563154,-17.332122120801134,-16.428417592649282,-15.880726428679809,-11.330311106107912,97.47671113640574,97.47671113640574,97.47671113640574,-0.0,-0.0,-0.0,
n3,-16.358538573941885,-22.87457062448066,-18.110235533439095,0.0,-0.0,-0.0,-0.0,796.7296543177149,-14.517422288124862,-21.651886764057927,-16.842729124798538,-16.80452818222398,-16.352144701921006,-11.814448314684736,96.72965431771486,96.72965431771486,96.72965431771486,-0.0,-0.0,-0.0,
n4,-15.816274513716001,-22.58976784621746,-17.67239577546477,0.0,-0.0,-0.0,-0.0,797.5325822697752,-15.469814016654,-22.513572140948295,-17.744783967525635,-16.55618516591013,-15.598082895502131,-11.047713933497821,97.5325822697752,97.5325822697752,97.5325822697752,-0.0,-0.0,-0.0,
n5,-16.091001167218344,-22.53717212576933,-17.645114538362044,0.0,-0.0,-0.0,-0.0,797.6586233742238,-15.224387578939051,-22.59038706974795,-17.60384082083843,-16.409674837109208,-15.584549589379497,-11.034043067740445,97.65862337422374,97.65862337422374,97.65862337422374,-0.0,-0.0,-0.0,
n6,-16.752245786291148,-22.327323466976864,-17.332065459184115,0.0,-0.0,-0.0,-0.0,797.7028444423858,-14.891494894602019,-22.737075662543837,-17.722058662543837,-16.25109729919749,-15.234759399663686,-10.702156039178394,97.70284444238578,97.70284444238578,97.70284444238578,-0.0,-0.0,-0.0,
n7,-16.8311605510845,-22.207437680097318,-17.16022656237156,0.0,-0.0,-0.0,-0.0,797.573568966007,-14.922592806986922,-22.54650435256903,-17.581075260897116,-16.260539768981598,-15.329858583914186,-10.775726875155163,97.57356896600699,97.57356896600699,97.57356896600699,-0.0,-0.0,-0.0,
n8,-17.00436242029046,-22.606421882219852,-17.619332177124946,0.0,-0.0,-0.11283402755926322,-0.0,798.0864600854142,-14.77298220340796,-22.697384706650897,-17.686696851607298,-16.10201069394442,-15.339897620308973,-10.80130962291,98.08646008541416,98.08646008541416,98.08646008541416,-0.0,-0.0,-0.0,
n9,-15.47220002414637,-22.119634318817894,-17.318517693510312,0.0,-0.0,-0.0,-0.0,798.4145609975778,-15.225519074965256,-21.877330740595355,-17.057443081196002,-15.40449719665548,-16.173831530320545,-11.580257121313775,98.41456099757787,98.41456099757787,98.41456099757787,-0.0,-0.0,-0.0,
n10,-15.30904221633934,-21.88991410016594,-17.15634613732781,0.0,-0.0,-0.0,-0.0,798.2389124875506,-14.79503136947704,-21.66142044189465,-16.946210047014162,-15.63420642376209,-16.33305920613177,-11.677142703995818,98.23891248755054,98.23891248755054,98.23891248755054,-0.0,-0.0,-0.0,
n11,-15.671140714664435,-21.983450982693654,-17.197871124312098,0.0,-0.0,-0.0,-0.0,798.4758393010561,-15.02659357119103,-21.68294380376647,-16.95186031446363,-15.510598898265116,-16.24040245005392,-11.5175381589092,98.47583930105608,98.47583930105608,98.47583930105608,-0.0,-0.0,-0.0,
n12,-15.706041916394629,-21.87021819913411,-17.054173433705277,0.0,-0.0,-0.0,-0.0,798.507057728507,-14.836719529694143,-21.495950450209296,-16.817404572672668,-15.584356394021604,-16.293410182355082,-11.49394404075954,98.50705772850701,98.50705772850701,98.50705772850701,-0.0,-0.0,-0.0,
n13,-15.460190965276293,-21.908962532447287,-17.175811717503287,0.0,-0.0,-0.0,-0.0,798.109719232489,-14.6263073783649,-21.66906105595342,-16.89261355175412,-15.732071474046553,-16.35238401371763,-11.8085072293662,98.109719232489,98.109719232489,98.109719232489,-0.0,-0.0,-0.0,
n14,-16.640679353132068,-22.33543493582008,-17.4726427144825,0.0,-0.0,-0.0,-0.0,797.6098025931095,-14.831779321050982,-22.23796427797175,-17.30370339353889,-16.255374057178127,-15.917818662391568,-11.367353638679749,97.60980259310956,97.60980259310956,97.60980259310956,-0.0,-0.0,-0.0,
n15,-15.82147372405363,-21.694691066648776,-16.90480592881545,0.0,-0.0,-0.0,-0.0,797.891535919738,-14.354999998498775,-21.910617878192728,-17.156744242851214,-15.948810047867171,-16.41676739066455,-11.855717708898135,97.89153591973803,97.89153591973803,97.89153591973803,-0.0,-0.0,-0.0,
n16,-14.775498654036523,-20.984842085774797,-16.590801954525833,0.0,-0.012756264562522268,-0.0,-0.0,797.3531861961138,-14.28093521363817,-21.054067845641963,-16.448008555202346,-16.7141512925368,-17.247910062023387,-12.676667615130818,97.35318619611384,97.35318619611384,97.35318619611384,-0.0,-0.0,-0.0,
n17,-16.593173800199345,-21.95781604155107,-17.280199851483555,0.0,-0.0,-0.0,-0.0,796.9217768383465,-14.351035119918956,-21.996392140798324,-17.197437924624136,-16.685931747425347,-16.841312264228527,-12.328655914151925,96.92177683834655,96.92177683834655,96.92177683834655,-0.0,-0.0,-0.0,
n18,-16.743054997498604,-22.062466759391757,-17.311456795852916,0.0,-0.0,-0.0,-0.0,796.7424447599332,-14.279683377791201,-21.863341338884265,-17.114919286590794,-16.65938912293936,-17.017998714956565,-12.500631210675278,96.74244475993319,96.74244475993319,96.74244475993319,-0.0,-0.065299652240005,-0.0,
