Market player,Profit (million $ /year),If involved?
s1,108072.32379914014,Yes
s2,108025.72592626211,Yes
s3,108109.7672687143,Yes
s4,435242.6566903622,Yes
s5,216911.1390666519,Yes
s6,322802.6572076364,Yes
s7,322496.656210867,Yes
s8,107275.01540600261,Yes
s9,4.575615880834953e6,Yes
s10,164199.42178766578,Yes
s11,217996.51024589813,Yes
s12,108953.14399346712,Yes
s13,109270.9156901237,Yes
s14,215490.17918052277,Yes
s15,326411.8319869775,Yes
s16,440623.6260828358,Yes
s17,107806.49232263795,Yes
s18,139896.5947335361,Yes
s19,877107.1291772431,Yes
s20,441415.77139946807,Yes
s21,216468.6730606279,Yes
s22,220195.60549193795,Yes
s23,54991.856575074184,Yes
s24,442713.43412657076,Yes
s25,329460.25769655866,Yes
s26,219370.81252051724,Yes
s27,109890.4902062242,Yes
s28,220143.21101407343,Yes
s29,330364.6603549254,Yes
s30,448065.91489081725,Yes
s31,167193.23260751748,Yes
s32,132106.55742167024,Yes
s33,331978.9691086532,Yes
s34,333182.44155497104,Yes
s35,546075.5661371215,Yes
s36,152301.89804790006,Yes
s37,108541.69946256424,Yes
s38,2.8479332895058235e6,Yes
s39,43512.53262903291,Yes
s40,53860.32830350059,Yes
s41,216598.64416466322,Yes
s42,108415.32515064656,Yes
s43,55104.232106272124,Yes
s44,109699.58596558264,Yes
s45,109947.74196554282,Yes
s46,33039.39420996877,Yes
s47,219691.83895494166,Yes
s48,55145.24730310574,Yes
s49,33061.33029473763,Yes
s50,221000.8326320891,Yes
s51,110368.87453114035,Yes
s52,33152.48333218221,Yes
s53,33289.33935007693,Yes
s54,110957.06508640847,Yes
s55,221037.2612133692,Yes
s56,74187.3038370317,Yes
s57,893123.9945190033,Yes
s58,148301.03521413088,Yes
s59,595202.1120795351,Yes
s60,147121.0576286734,Yes
s61,29415.688053811955,Yes
s62,368326.55641059764,Yes
s63,103476.77892703266,Yes
s64,741954.8621318596,Yes
s65,370221.6685818969,Yes
s66,3.033860411705196e6,Yes
s67,5.794938054304419e6,Yes
s68,1.1863315252272072e6,Yes
s69,295719.17394255503,Yes
s70,148064.28141236902,Yes
s71,446189.93018921115,Yes
s72,820351.3476825346,Yes
s73,1.2674363044467173e6,Yes
s74,296832.0723827716,Yes
s75,295748.60512408183,Yes
s76,148354.9054240747,Yes
s77,744130.2455757952,Yes
s78,222526.65921760886,Yes
s79,74575.54146375212,Yes
s80,485768.5470821687,Yes
s81,223268.0268861461,Yes
s82,37145.02079496569,Yes
s83,484185.2489099714,Yes
s84,297866.3494665072,Yes
s85,671032.5065912461,Yes
s86,746082.0003937107,Yes
s87,111297.8050756482,Yes
s88,74110.00211933441,Yes
s89,295943.9623921845,Yes
s90,297303.17157985433,Yes
s91,74262.34307086606,Yes
s92,296481.05235232733,Yes
s93,447920.6968699552,Yes
s94,598380.5080170031,Yes
s95,599340.3331558566,Yes
s96,448858.35703382874,Yes
s97,440869.32050071255,Yes
s98,443487.58010733116,Yes
s99,747322.335967375,Yes
s100,2.2452505001898017e6,Yes
s101,523554.72443770396,Yes
s102,3.278223594048162e6,Yes
s103,301162.6261342482,Yes
s104,453919.0671949982,Yes
s105,151810.42554526235,Yes
s106,761316.7477308924,Yes
s107,226597.31212345956,Yes
s108,301556.5951394348,Yes
s109,1.0578791430163404e6,Yes
s110,52738.444640543246,Yes
s111,225672.8162248547,Yes
s112,449820.40270116937,Yes
s113,674187.3240666207,Yes
s114,448514.7812216034,Yes
s115,149381.3103944988,Yes
s116,59614.95159371078,Yes
s117,148819.94271758525,Yes
s118,148845.2064421856,Yes
s119,74266.42352094871,Yes
s120,149047.28951617284,Yes
s121,518441.07586941816,Yes
s122,297705.48930894275,Yes
s123,896924.9845214422,Yes
s124,148939.3956050778,Yes
s125,104502.6895146355,Yes
s126,75226.16574704547,Yes
s127,1.4688383697216676e6,Yes
s128,150404.18496760138,Yes
s129,150153.4258449576,Yes
s130,150080.5439669559,Yes
s131,150169.5645011349,Yes
s132,224569.31109691405,Yes
s133,299149.1691346306,Yes
s134,75039.23940565303,Yes
s135,74954.88170513928,Yes
s136,150010.40878993348,Yes
s137,447233.43602540926,Yes
s138,74510.47529739517,Yes
s139,75388.30731430193,Yes
s140,376374.2318580697,Yes
s141,4.521697254901146e6,Yes
s142,151727.2042063006,Yes
s143,300579.51435422397,Yes
s144,750466.5104355449,Yes
s145,263688.0239363802,Yes
s146,105797.87815746809,Yes
s147,591521.5763265252,Yes
s148,296697.6923367649,Yes
s149,74483.72901704349,Yes
s150,595322.5601100404,Yes
s151,297922.9865180906,Yes
s152,300575.8800013053,Yes
s153,527881.3835416721,Yes
s154,605734.0790484352,Yes
