Market player,Profit (million $ /year),If involved?
s155,37865.29021816138,Yes
s156,75307.31016520633,Yes
s157,226459.76265824633,Yes
s158,622642.0463171927,Yes
s159,222903.5525311039,Yes
s160,1.439407217077119e6,Yes
s161,223423.59644277274,Yes
s162,370993.480332981,Yes
s163,150863.46711430044,Yes
s164,603372.769180406,Yes
s165,75401.26106975123,Yes
s166,300927.61531856365,Yes
s167,450639.38378947077,Yes
s168,299812.7293394168,Yes
s169,447559.62246660184,Yes
s170,299299.49588578066,Yes
s171,187377.42765716556,Yes
s172,375424.38469500095,Yes
s173,75302.46816168925,Yes
s174,149599.83968388214,Yes
s175,148431.42924134244,Yes
s176,148623.83065606817,Yes
s177,147884.25845953042,Yes
s178,148952.80420672247,Yes
s179,447651.68742136424,Yes
s180,223033.54596365217,Yes
s181,895248.0562646949,Yes
s182,146999.54413962457,Yes
s183,149461.19204889348,Yes
s184,300832.8477655966,Yes
s185,74893.42228451137,Yes
s186,44589.85269279802,Yes
s187,150035.1854274842,Yes
s188,37116.52877455344,Yes
s189,297494.9481959294,Yes
s190,445541.4233395546,Yes
s191,74494.4903190469,Yes
s192,74532.40756044662,Yes
s193,29569.986311402023,Yes
s194,74037.25142193817,Yes
s195,149397.3048469329,Yes
s196,150822.64500902122,Yes
s197,151435.35348352898,Yes
s198,74963.67575136204,Yes
s199,444448.1930460988,Yes
s200,298921.2538957818,Yes
s201,595775.3009531406,Yes
s202,37352.800199881676,Yes
s203,304017.7043409798,Yes
s204,25369.6211895511,Yes
s205,305360.9890896596,Yes
s206,50715.56867795161,Yes
s207,203552.32859599264,Yes
s208,50289.46650052285,Yes
s209,10055.150669024837,Yes
s210,125892.24774945909,Yes
s211,35403.04048045405,Yes
s212,253951.19728884997,Yes
s213,126732.41382078598,Yes
s214,1.0386734115936301e6,Yes
s215,1.983922365998109e6,Yes
s216,406163.3095542635,Yes
s217,101262.90865992845,Yes
s218,50666.27866489411,Yes
s219,152641.4467751115,Yes
s220,280330.5135324251,Yes
s221,433154.83564836986,Yes
s222,101442.93802564465,Yes
s223,101219.87139302603,Yes
s224,50746.613492662684,Yes
s225,254491.07683864466,Yes
s226,76089.16542375695,Yes
s227,25466.07236682077,Yes
s228,165860.10234057985,Yes
s229,76250.6522872473,Yes
s230,12687.102939653258,Yes
s231,165260.74430627294,Yes
s232,101668.73597876808,Yes
s233,229378.431062788,Yes
s234,254918.953547399,Yes
s235,38055.67601594866,Yes
s236,25341.9625200829,Yes
s237,101219.37517887042,Yes
s238,101604.09612634988,Yes
s239,25380.607497489327,Yes
s240,101392.19688350194,Yes
s241,152956.658156612,Yes
s242,204313.18829969232,Yes
s243,204498.3156061997,Yes
s244,153165.58326595018,Yes
s245,150391.20136016322,Yes
s246,151551.9789844635,Yes
s247,255118.82123934396,Yes
s248,766055.2153130189,Yes
s249,178468.7192641203,Yes
s250,1.118094854404703e6,Yes
s251,102422.80007430057,Yes
s252,154159.78151516375,Yes
s253,51548.790510977116,Yes
s254,258472.6487946705,Yes
s255,76963.33723694338,Yes
s256,102613.41321408143,Yes
s257,359929.1985357672,Yes
s258,17946.42001471672,Yes
s259,76800.90067854444,Yes
s260,153182.27925230138,Yes
s261,230053.0145890237,Yes
s262,153065.10337725186,Yes
s263,50981.92446480136,Yes
s264,20348.502481009826,Yes
s265,50764.315846729645,Yes
s266,50817.60044088141,Yes
s267,25358.54560878571,Yes
s268,50889.52724503968,Yes
s269,177075.80451925826,Yes
s270,101640.0521116145,Yes
s271,306145.6386269404,Yes
s272,50815.191164348085,Yes
s273,35598.16751493809,Yes
s274,25614.3380241565,Yes
s275,500100.0167844391,Yes
s276,51213.183757418854,Yes
s277,51071.446585872814,Yes
s278,51053.49848811904,Yes
s279,51076.63958942395,Yes
s280,76340.28986211546,Yes
s281,101680.6485050528,Yes
s282,25501.23219927567,Yes
s283,25527.04581240632,Yes
s284,50969.59151821026,Yes
s285,152580.08409761367,Yes
s286,25446.7709434312,Yes
s287,25635.986326095477,Yes
s288,127997.38766054234,Yes
s289,1.5355930955751727e6,Yes
s290,51532.98175161065,Yes
s291,102140.89672677706,Yes
s292,255036.170733013,Yes
s293,89670.9121543521,Yes
s294,35940.78498866872,Yes
s295,202393.4563779103,Yes
s296,101447.12652073013,Yes
s297,25437.231468201993,Yes
s298,203378.2447039217,Yes
s299,101770.93468883236,Yes
s300,102139.7272856904,Yes
s301,179309.00279558264,Yes
s302,205710.04778189008,Yes
s303,12859.101536858783,Yes
s304,25585.79269125378,Yes
s305,76919.07736464766,Yes
s306,212907.9453348446,Yes
s307,76188.72581446404,Yes
s308,489345.61305368063,Yes
s309,76247.30724715187,Yes
s310,126663.72988453873,Yes
s311,51373.91265870076,Yes
s312,205397.14650352558,Yes
s313,25677.28837793436,Yes
s314,102530.74228365737,Yes
s315,153538.79370421387,Yes
s316,102239.06346197428,Yes
s317,152817.0859401486,Yes
s318,102089.21512866834,Yes
s319,63883.0992745647,Yes
s320,127973.24491532394,Yes
s321,25655.017576397306,Yes
s322,51042.71471739017,Yes
s323,50711.1103079826,Yes
s324,50773.02012370301,Yes
s325,50627.19198480281,Yes
s326,50898.97237267336,Yes
s327,152777.30808902596,Yes
s328,76161.37317399563,Yes
s329,305765.9625666429,Yes
s330,50250.36659200462,Yes
s331,50940.18300505016,Yes
s332,102200.47344376965,Yes
s333,25448.827147289252,Yes
s334,15161.188756993393,Yes
s335,51167.718194120556,Yes
s336,12686.896567545538,Yes
s337,101604.54769746347,Yes
s338,152152.47731228822,Yes
s339,25426.162429230273,Yes
s340,25438.363220113475,Yes
s341,10114.083032329267,Yes
s342,25298.130286923788,Yes
s343,50889.19568897357,Yes
s344,51275.4234233638,Yes
s345,51428.101989757626,Yes
s346,25471.432901986147,Yes
s347,152030.07587806066,Yes
s348,102041.54570817943,Yes
s349,203475.0334517135,Yes
s350,12750.49130680129,Yes
s351,103225.27819383111,Yes
d1,0.0,No
d2,0.0,No
d3,0.0,No
d4,0.0,No
d5,0.0,No
d6,0.0,No
d7,0.0,No
d8,0.0,No
d9,0.0,No
d10,0.0,No
d11,0.0,No
d12,0.0,No
d13,0.0,No
d14,0.0,No
d15,0.0,No
d16,0.0,No
d17,0.0,No
d18,0.0,No
d19,0.0,No
d20,0.0,No
d21,0.0,No
d22,0.0,No
d23,0.0,No
d24,0.0,No
d25,0.0,No
d26,0.0,No
d27,0.0,No
d28,0.0,No
d29,0.0,No
d30,0.0,No
d31,0.0,No
d32,0.0,No
d33,0.0,No
d34,0.0,No
d35,0.0,No
d36,0.0,No
d37,0.0,No
d38,0.0,No
d39,0.0,No
d40,0.0,No
d41,0.0,No
d42,0.0,No
d43,0.0,No
d44,0.0,No
d45,0.0,No
d46,0.0,No
d47,0.0,No
d48,0.0,No
d49,0.0,No
d50,0.0,No
d51,0.0,No
d52,0.0,No
d53,0.0,No
d54,0.0,No
d55,0.0,No
d56,0.0,No
d57,0.0,No
d58,3931.998046208497,Yes
d59,0.0,No
d60,0.0,No
d61,7442.797682276195,Yes
d62,0.0,No
d63,0.0,No
d64,0.0,No
d65,0.0,No
d66,0.0,No
d67,5678.3744674160525,Yes
d68,0.0,No
d69,0.0,No
d70,0.0,No
d71,0.0,No
d72,0.0,No
d73,0.0,No
d74,0.0,No
d75,0.0,No
d76,0.0,No
d77,8167.688599948949,Yes
d78,0.0,No
d79,0.0,No
d80,0.0,No
d81,0.0,No
d82,0.0,No
d83,0.0,No
d84,0.0,No
d85,0.0,No
d86,0.0,No
d87,0.0,No
d88,0.0,No
d89,0.0,No
d90,0.0,No
d91,0.0,No
d92,0.0,No
d93,0.0,No
d94,0.0,No
d95,0.0,No
d96,0.0,No
d97,0.0,No
d98,0.0,No
d99,0.0,No
d100,0.0,No
d101,0.0,No
d102,24448.928542698777,Yes
d103,0.0,No
d104,0.0,No
d105,0.0,No
d106,0.0,No
d107,0.0,No
d108,0.0,No
d109,0.0,No
d110,0.0,No
d111,0.0,No
d112,0.0,No
d113,0.0,No
d114,0.0,No
d115,12007.095596503952,Yes
d116,0.0,No
d117,0.0,No
d118,0.0,No
d119,0.0,No
d120,0.0,No
d121,0.0,No
d122,0.0,No
d123,0.0,No
d124,0.0,No
d125,0.0,No
d126,0.0,No
d127,0.0,No
d128,0.0,No
d129,0.0,No
d130,0.0,No
d131,0.0,No
d132,0.0,No
d133,0.0,No
d134,0.0,No
d135,0.0,No
d136,0.0,No
d137,0.0,No
d138,0.0,No
d139,0.0,No
d140,0.0,No
d141,0.0,No
d142,0.0,No
d143,0.0,No
d144,0.0,No
d145,0.0,No
d146,0.0,No
d147,0.0,No
d148,0.0,No
d149,0.0,No
d150,0.0,No
d151,0.0,No
d152,9374.395259018724,Yes
d153,0.0,No
d154,0.0,No
d155,0.0,No
d156,0.0,No
d157,0.0,No
d158,0.0,No
d159,0.0,No
d160,0.0,No
d161,0.0,No
d162,0.0,No
d163,0.0,No
d164,0.0,No
d165,0.0,No
d166,0.0,No
d167,0.0,No
d168,0.0,No
d169,0.0,No
d170,0.0,No
d171,0.0,No
d172,0.0,No
d173,0.0,No
d174,0.0,No
d175,0.0,No
d176,0.0,No
d177,0.0,No
d178,0.0,No
d179,0.0,No
d180,0.0,No
d181,0.0,No
d182,0.0,No
d183,0.0,No
d184,0.0,No
d185,0.0,No
d186,0.0,No
d187,0.0,No
d188,0.0,No
d189,0.0,No
d190,0.0,No
d191,0.0,No
d192,0.0,No
d193,0.0,No
d194,0.0,No
d195,0.0,No
d196,0.0,No
d197,0.0,No
d198,0.0,No
d199,0.0,No
d200,0.0,No
d201,0.0,No
d202,0.0,No
d203,0.0,No
d204,0.0,No
d205,0.0,No
d206,2622.1637874078606,Yes
d207,2961.603325379072,Yes
d208,0.0,No
d209,0.0,No
d210,0.0,No
d211,0.0,No
d212,0.0,No
d213,0.0,No
d214,0.0,No
d215,0.0,No
d216,0.0,No
d217,0.0,No
d218,0.0,No
d219,0.0,No
d220,0.0,No
d221,0.0,No
d222,0.0,No
d223,0.0,No
d224,0.0,No
d225,0.0,No
d226,0.0,No
d227,0.0,No
d228,0.0,No
d229,0.0,No
d230,0.0,No
d231,0.0,No
d232,0.0,No
d233,0.0,No
d234,0.0,No
d235,0.0,No
d236,0.0,No
d237,0.0,No
d238,0.0,No
d239,0.0,No
d240,0.0,No
d241,0.0,No
d242,0.0,No
d243,0.0,No
d244,0.0,No
d245,0.0,No
d246,0.0,No
d247,0.0,No
d248,0.0,No
d249,0.0,No
d250,0.0,No
d251,0.0,No
d252,0.0,No
d253,0.0,No
d254,0.0,No
d255,0.0,No
d256,0.0,No
d257,0.0,No
d258,0.0,No
d259,0.0,No
d260,0.0,No
d261,0.0,No
d262,0.0,No
d263,0.0,No
d264,0.0,No
d265,0.0,No
d266,0.0,No
d267,0.0,No
d268,0.0,No
d269,0.0,No
d270,0.0,No
d271,0.0,No
d272,0.0,No
d273,0.0,No
d274,0.0,No
d275,0.0,No
d276,0.0,No
d277,0.0,No
d278,0.0,No
d279,0.0,No
d280,0.0,No
d281,0.0,No
d282,0.0,No
d283,0.0,No
d284,0.0,No
d285,0.0,No
d286,0.0,No
d287,0.0,No
d288,0.0,No
d289,0.0,No
d290,0.0,No
d291,0.0,No
d292,0.0,No
d293,0.0,No
d294,0.0,No
d295,0.0,No
d296,0.0,No
d297,0.0,No
d298,0.0,No
d299,0.0,No
d300,0.0,No
d301,0.0,No
d302,0.0,No
d303,0.0,No
d304,0.0,No
d305,0.0,No
d306,0.0,No
d307,0.0,No
d308,0.0,No
d309,0.0,No
d310,0.0,No
d311,0.0,No
d312,0.0,No
d313,0.0,No
d314,0.0,No
d315,0.0,No
d316,0.0,No
d317,0.0,No
d318,0.0,No
d319,0.0,No
d320,0.0,No
d321,0.0,No
d322,0.0,No
d323,0.0,No
d324,0.0,No
d325,0.0,No
d326,0.0,No
d327,0.0,No
d328,0.0,No
d329,0.0,No
d330,0.0,No
d331,0.0,No
d332,0.0,No
d333,0.0,No
d334,0.0,No
d335,0.0,No
d336,0.0,No
d337,0.0,No
d338,0.0,No
d339,0.0,No
d340,0.0,No
d341,0.0,No
d342,0.0,No
d343,0.0,No
d344,0.0,No
d345,0.0,No
d346,0.0,No
d347,0.0,No
d348,0.0,No
d349,0.0,No
d350,0.0,No
d351,0.0,No
d352,0.0,No
d353,0.0,No
d354,0.0,No
d355,0.0,No
d356,0.0,No
d357,0.0,No
d358,0.0,No
d359,0.0,No
d360,0.0,No
d361,0.0,No
d362,0.0,No
d363,0.0,No
d364,0.0,No
d365,0.0,No
d366,0.0,No
d367,0.0,No
d368,0.0,No
d369,0.0,No
d370,0.0,No
d371,0.0,No
d372,0.0,No
d373,0.0,No
d374,0.0,No
d375,0.0,No
d376,0.0,No
d377,0.0,No
d378,0.0,No
d379,0.0,No
d380,0.0,No
d381,0.0,No
d382,0.0,No
d383,0.0,No
d384,0.0,No
d385,0.0,No
d386,0.0,No
d387,0.0,No
d388,0.0,No
d389,0.0,No
d390,0.0,No
d391,0.0,No
d392,0.0,No
d393,0.0,No
d394,0.0,No
d395,0.0,No
d396,0.0,No
d397,0.0,No
d398,0.0,No
d399,0.0,No
d400,0.0,No
d401,0.0,No
d402,0.0,No
d403,0.0,No
d404,0.0,No
d405,0.0,No
d406,0.0,No
d407,0.0,No
d408,0.0,No
d409,0.0,No
d410,0.0,No
d411,0.0,No
d412,0.0,No
d413,0.0,No
d414,0.0,No
d415,0.0,No
d416,0.0,No
d417,0.0,No
d418,0.0,No
d419,0.0,No
d420,0.0,No
d421,0.0,No
d422,0.0,No
d423,0.0,No
d424,0.0,No
d425,0.0,No
d426,0.0,No
d427,0.0,No
d428,0.0,No
d429,0.0,No
d430,0.0,No
d431,0.0,No
d432,0.0,No
d433,0.0,No
d434,0.0,No
d435,0.0,No
d436,0.0,No
d437,0.0,No
d438,0.0,No
d439,0.0,No
d440,0.0,No
d441,0.0,No
d442,0.0,No
d443,0.0,No
d444,0.0,No
d445,0.0,No
d446,0.0,No
d447,0.0,No
d448,0.0,No
d449,0.0,No
d450,0.0,No
d451,0.0,No
d452,0.0,No
d453,0.0,No
d454,0.0,No
d455,0.0,No
d456,0.0,No
d457,0.0,No
d458,0.0,No
d459,0.0,No
d460,0.0,No
d461,0.0,No
d462,0.0,No
d463,0.0,No
d464,0.0,No
d465,0.0,No
d466,0.0,No
d467,0.0,No
d468,0.0,No
d469,0.0,No
d470,0.0,No
d471,0.0,No
d472,0.0,No
d473,0.0,No
d474,0.0,No
d475,0.0,No
d476,0.0,No
d477,0.0,No
d478,0.0,No
d479,0.0,No
d480,0.0,No
d481,0.0,No
d482,0.0,No
d483,0.0,No
d484,0.0,No
d485,0.0,No
d486,0.0,No
d487,0.0,No
d488,0.0,No
d489,0.0,No
d490,0.0,No
d491,0.0,No
d492,0.0,No
d493,0.0,No
d494,0.0,No
d495,0.0,No
d496,0.0,No
d497,0.0,No
d498,0.0,No
d499,0.0,No
d500,0.0,No
d501,0.0,No
d502,0.0,No
d503,0.0,No
d504,0.0,No
d505,0.0,No
d506,0.0,No
d507,0.0,No
d508,0.0,No
d509,0.0,No
d510,0.0,No
d511,0.0,No
d512,0.0,No
d513,0.0,No
d514,0.0,No
d515,0.0,No
d516,0.0,No
d517,0.0,No
d518,0.0,No
d519,0.0,No
d520,0.0,No
d521,0.0,No
d522,0.0,No
d523,0.0,No
d524,0.0,No
d525,0.0,No
d526,0.0,No
d527,0.0,No
d528,0.0,No
d529,0.0,No
d530,0.0,No
d531,0.0,No
d532,0.0,No
d533,0.0,No
d534,15440.156619348096,Yes
d535,0.0,No
d536,4433.426539683523,Yes
d537,0.0,No
d538,0.0,No
d539,0.0,No
d540,0.0,No
d541,0.0,No
d542,0.0,No
d543,0.0,No
d544,0.0,No
d545,0.0,No
d546,0.0,No
d547,0.0,No
d548,0.0,No
d549,0.0,No
d550,0.0,No
d551,0.0,No
d552,0.0,No
d553,0.0,No
d554,0.0,No
d555,0.0,No
d556,0.0,No
d557,0.0,No
d558,0.0,No
d559,0.0,No
d560,0.0,No
d561,0.0,No
d562,0.0,No
d563,0.0,No
d564,0.0,No
d565,0.0,No
d566,0.0,No
d567,0.0,No
d568,0.0,No
d569,0.0,No
d570,0.0,No
d571,0.0,No
d572,0.0,No
d573,0.0,No
d574,0.0,No
d575,0.0,No
d576,0.0,No
d577,0.0,No
d578,0.0,No
d579,0.0,No
d580,0.0,No
d581,0.0,No
d582,0.0,No
d583,0.0,No
d584,17971.233304134592,Yes
d585,0.0,No
d586,0.0,No
d587,0.0,No
d588,0.0,No
d589,0.0,No
d590,0.0,No
d591,0.0,No
d592,0.0,No
d593,0.0,No
d594,0.0,No
d595,0.0,No
d596,0.0,No
d597,0.0,No
d598,0.0,No
d599,0.0,No
d600,0.0,No
d601,0.0,No
d602,0.0,No
d603,0.0,No
d604,0.0,No
d605,0.0,No
d606,0.0,No
d607,0.0,No
d608,0.0,No
d609,0.0,No
d610,0.0,No
d611,0.0,No
d612,0.0,No
d613,0.0,No
d614,0.0,No
d615,0.0,No
d616,0.0,No
d617,0.0,No
d618,0.0,No
d619,0.0,No
d620,0.0,No
d621,0.0,No
d622,0.0,No
d623,21748.171255343746,Yes
d624,0.0,No
d625,0.0,No
d626,0.0,No
d627,0.0,No
d628,0.0,No
d629,0.0,No
d630,0.0,No
d631,0.0,No
d632,0.0,No
d633,0.0,No
d634,0.0,No
d635,0.0,No
d636,0.0,No
d637,0.0,No
d638,0.0,No
d639,0.0,No
d640,0.0,No
d641,0.0,No
d642,0.0,No
d643,0.0,No
d644,0.0,No
d645,0.0,No
d646,0.0,No
d647,0.0,No
d648,0.0,No
d649,0.0,No
d650,0.0,No
d651,0.0,No
d652,0.0,No
d653,0.0,No
d654,0.0,No
d655,0.0,No
d656,0.0,No
d657,0.0,No
d658,0.0,No
d659,0.0,No
d660,0.0,No
d661,0.0,No
d662,0.0,No
d663,0.0,No
d664,0.0,No
d665,0.0,No
d666,0.0,No
d667,0.0,No
d668,0.0,No
d669,0.0,No
d670,0.0,No
d671,0.0,No
d672,0.0,No
d673,0.0,No
d674,0.0,No
d675,0.0,No
d676,0.0,No
d677,0.0,No
d678,0.0,No
d679,0.0,No
d680,0.0,No
d681,0.0,No
d682,0.0,No
d683,0.0,No
d684,0.0,No
d685,0.0,No
d686,0.0,No
d687,0.0,No
d688,0.0,No
d689,0.0,No
d690,0.0,No
d691,0.0,No
d692,0.0,No
d693,0.0,No
d694,0.0,No
d695,0.0,No
d696,0.0,No
d697,0.0,No
d698,0.0,No
d699,0.0,No
d700,0.0,No
d701,0.0,No
d702,0.0,No
d703,0.0,No
d704,0.0,No
d705,0.0,No
d706,0.0,No
d707,0.0,No
d708,0.0,No
d709,0.0,No
d710,0.0,No
d711,0.0,No
d712,0.0,No
d713,0.0,No
d714,0.0,No
d715,0.0,No
d716,0.0,No
d717,0.0,No
d718,0.0,No
d719,0.0,No
d720,0.0,No
d721,0.0,No
d722,0.0,No
d723,0.0,No
d724,0.0,No
d725,0.0,No
d726,0.0,No
d727,0.0,No
d728,0.0,No
d729,0.0,No
d730,0.0,No
d731,0.0,No
d732,0.0,No
d733,0.0,No
d734,0.0,No
d735,0.0,No
d736,0.0,No
d737,0.0,No
d738,0.0,No
d739,0.0,No
d740,0.0,No
d741,0.0,No
d742,0.0,No
d743,0.0,No
d744,0.0,No
d745,0.0,No
d746,0.0,No
d747,0.0,No
d748,0.0,No
d749,0.0,No
d750,0.0,No
d751,0.0,No
d752,0.0,No
d753,0.0,No
d754,0.0,No
d755,0.0,No
d756,0.0,No
d757,0.0,No
d758,0.0,No
d759,0.0,No
d760,0.0,No
d761,0.0,No
d762,0.0,No
d763,0.0,No
d764,0.0,No
d765,0.0,No
d766,0.0,No
d767,0.0,No
d768,0.0,No
d769,0.0,No
d770,0.0,No
d771,0.0,No
d772,0.0,No
d773,0.0,No
d774,0.0,No
d775,0.0,No
d776,0.0,No
d777,0.0,No
d778,0.0,No
d779,0.0,No
d780,0.0,No
d781,0.0,No
d782,0.0,No
d783,0.0,No
d784,0.0,No
d785,0.0,No
d786,0.0,No
d787,0.0,No
d788,0.0,No
d789,0.0,No
d790,0.0,No
d791,0.0,No
d792,0.0,No
d793,0.0,No
d794,0.0,No
d795,0.0,No
d796,0.0,No
d797,0.0,No
d798,0.0,No
d799,0.0,No
d800,0.0,No
d801,0.0,No
d802,0.0,No
d803,0.0,No
d804,0.0,No
d805,0.0,No
d806,0.0,No
d807,0.0,No
d808,0.0,No
d809,0.0,No
d810,0.0,No
d811,0.0,No
d812,0.0,No
d813,0.0,No
d814,0.0,No
d815,0.0,No
d816,0.0,No
d817,0.0,No
d818,0.0,No
d819,0.0,No
d820,0.0,No
d821,0.0,No
d822,0.0,No
d823,0.0,No
d824,0.0,No
d825,0.0,No
d826,0.0,No
d827,0.0,No
d828,0.0,No
d829,0.0,No
d830,0.0,No
d831,0.0,No
d832,0.0,No
d833,0.0,No
d834,0.0,No
d835,0.0,No
d836,0.0,No
d837,0.0,No
d838,0.0,No
d839,0.0,No
d840,0.0,No
d841,0.0,No
d842,0.0,No
d843,0.0,No
d844,0.0,No
d845,0.0,No
d846,0.0,No
d847,0.0,No
d848,0.0,No
d849,0.0,No
d850,0.0,No
d851,0.0,No
d852,0.0,No
d853,0.0,No
d854,0.0,No
d855,0.0,No
d856,0.0,No
d857,0.0,No
d858,0.0,No
d859,0.0,No
d860,0.0,No
d861,0.0,No
d862,0.0,No
d863,0.0,No
d864,0.0,No
d865,0.0,No
d866,0.0,No
d867,0.0,No
d868,0.0,No
d869,0.0,No
d870,0.0,No
d871,0.0,No
d872,0.0,No
d873,0.0,No
d874,0.0,No
d875,0.0,No
d876,0.0,No
d877,0.0,No
d878,0.0,No
d879,0.0,No
d880,0.0,No
d881,0.0,No
d882,0.0,No
d883,0.0,No
d884,0.0,No
d885,0.0,No
d886,0.0,No
d887,0.0,No
d888,0.0,No
d889,0.0,No
d890,0.0,No
d891,0.0,No
d892,0.0,No
d893,0.0,No
d894,0.0,No
d895,0.0,No
d896,0.0,No
d897,0.0,No
d898,0.0,No
d899,0.0,No
d900,0.0,No
d901,0.0,No
d902,0.0,No
d903,0.0,No
d904,0.0,No
d905,0.0,No
d906,0.0,No
d907,0.0,No
d908,0.0,No
d909,0.0,No
d910,0.0,No
d911,0.0,No
d912,0.0,No
d913,0.0,No
d914,0.0,No
d915,0.0,No
d916,0.0,No
d917,0.0,No
d918,0.0,No
d919,0.0,No
d920,0.0,No
d921,0.0,No
d922,0.0,No
d923,0.0,No
d924,0.0,No
d925,0.0,No
d926,0.0,No
d927,0.0,No
d928,0.0,No
d929,0.0,No
d930,0.0,No
d931,0.0,No
d932,0.0,No
d933,0.0,No
d934,0.0,No
d935,0.0,No
d936,0.0,No
d937,0.0,No
d938,0.0,No
d939,0.0,No
d940,0.0,No
d941,0.0,No
d942,0.0,No
d943,0.0,No
d944,0.0,No
d945,0.0,No
d946,0.0,No
d947,0.0,No
d948,0.0,No
d949,0.0,No
d950,0.0,No
d951,0.0,No
d952,0.0,No
d953,0.0,No
