#TIME,N(kg),P(kg),Rnat(mH2O),DIN (P),DIN (NP),DON (P),DON (NP),DIP (P),DIP (NP),DOP (P),DOP (NP)
1,47111.07843662733,2546.706019714062,1.4912355604173981,5428.940278125,38328.76074537722,1047.143475,458.1773466021024,299.1838500000003,1595.1256037285923,2.991838500000003,106.52409598284272
2,43922.845652183285,2439.1562633254443,1.3893988398812793,5428.940278125,35711.28339965848,1047.143475,428.4007862831308,299.1838500000003,1537.8186750982863,2.991838500000003,99.60118459715248
3,70338.61076813428,2592.3093190982363,1.5374146335247612,5428.940278125,61041.20576777563,1047.143475,728.5673433088564,299.1838500000003,1618.612109547426,2.991838500000003,109.65548960594415
4,72650.98770694577,3157.1002549080476,1.578733225498359,5428.940278125,63111.24309193617,1047.143475,752.2764122346837,299.1838500000003,2130.1832699742436,2.991838500000003,146.20494584167216
5,82733.52164041589,3421.4635870606503,1.8486735888116164,5428.940278125,71676.75682818677,1047.143475,847.6595948832472,299.1838500000003,2268.177396206951,2.991838500000003,169.8579887802774
6,56696.45927750653,2688.411080604426,1.2198065521551205,5428.940278125,49224.3390013013,1047.143475,594.362625612989,299.1838500000003,1849.576488388403,2.991838500000003,114.43138815562924
7,74658.4301709992,3161.743018715834,1.5829833823373634,5428.940278125,65072.93410465409,1047.143475,775.555208987856,299.1838500000003,2132.753585494046,2.991838500000003,146.57884343883143
8,60263.85824932409,2737.7070416605675,1.318987481427999,5428.940278125,52227.72316665101,1047.143475,628.1671300001755,299.1838500000003,1849.7885312913565,2.991838500000003,117.43556423824381
9,82416.27966796949,3229.4282674857677,1.77979415639117,5428.940278125,71719.10377690445,1047.143475,849.7721871809341,299.1838500000003,2116.3293223546707,2.991838500000003,154.97628932747645
10,83379.95832220573,1489.2563479028008,1.7339209028566331,5428.940278125,72908.8349718064,1047.143475,864.997479732301,299.1838500000003,511.4084143865794,2.991838500000003,36.89600775867107
11,86298.53648243423,1537.2807335557163,1.8301619996729037,5428.940278125,75295.66701678706,1047.143475,890.9055323604135,299.1838500000003,521.7609921358145,2.991838500000003,38.8388726903121
12,93970.16700171531,1013.1732155598891,1.9315115896525297,5428.940278125,82355.13884327607,1047.143475,971.8113912333024,299.1838500000003,0.0,2.991838500000003,0.0
13,92209.29190852089,992.4945865815469,1.8737119562190558,5428.940278125,80912.63185833968,1047.143475,956.2409412521603,299.1838500000003,0.0,2.991838500000003,0.0
14,61748.14065492314,772.6501363171702,1.3237874740868045,5428.940278125,53669.17732203587,1047.143475,645.3869394252467,299.1838500000003,0.0,2.991838500000003,0.0
15,80423.99807288124,903.4369882437303,1.6362060157786695,5428.940278125,70494.11767142119,1047.143475,838.7781863703826,299.1838500000003,0.0,2.991838500000003,0.0
