#daily flow (m3),P (mg),N (mg)
2.0621905801320623e6,6.476006703290474e8,1.4201530293578436e10
2.5431221463719704e6,7.953303880806037e8,1.7441162613360508e10
1.9092393115614345e6,4.856974805151539e8,1.065108144428876e10
1.5560973061185484e6,3.5731308760654676e8,7.835681571110955e9
1.9210607107483805e6,5.533687701236737e8,1.2135076000521399e10
2.6067928106942493e6,8.300767896234163e8,1.8203132291144146e10
2.879117185993429e6,9.213226428446935e8,2.020410419876581e10
2.9689175106173707e6,7.83937227285105e8,1.719131679696462e10
2.9985296167452415e6,7.92112624194297e8,1.7370598802353718e10
2.9679765409505223e6,7.809145141343447e8,1.712503034244704e10
2.954601455267023e6,7.772218813413619e8,1.704405291472764e10
2.950190953875321e6,7.760042172113603e8,1.7017350202976534e10
1.975736618926649e6,4.047456958273423e8,8.875852857852829e9
1.518594625514945e6,2.7577366912932366e8,6.047566495447617e9
1.3095575634758798e6,6.145597298818739e7,1.0338336489145281e9
2.0144328727793773e6,3.441203028838151e8,5.788910842959551e9
2.6705833095403537e6,4.739696398222063e8,7.97328133274013e9
2.9001524219983225e6,5.1678810804217654e8,8.69358842558026e9
2.896033307695893e6,5.1228665591342574e8,8.61786343981565e9
1.9277554209616836e6,2.6075647748399302e8,4.386535717971498e9
2.523198965042558e6,4.4648000150182706e8,7.510841122126903e9
2.8515516973446854e6,5.002932523845839e8,8.416106254464273e9
2.9598276528829862e6,5.201929868000914e8,8.750866474551725e9
2.99553219069979e6,5.267550237403381e8,8.861255331230494e9
3.007305940599975e6,5.289188882375248e8,8.897656608764788e9
1.8717629334224164e6,1.7675765837528193e8,2.9734785090267773e9
1.3175688923618088e6,5.835046993483851e7,9.815918016659948e8
1.8667702451244206e6,3.045888791629733e8,5.123899550404475e9
2.2745849462575396e6,3.762356234361378e8,8.284176714484376e9
1.6003215532278824e6,1.7767783362453738e8,3.9122147938823886e9
1.398129175938486e6,1.6631148781341034e8,3.661943922566827e9
2.3214344708447866e6,3.994696401858007e8,8.795756927925192e9
2.7817187902302956e6,4.8556799638945377e8,1.0691521053351639e10
2.9367999025341e6,5.139593599175322e8,1.1316658754252232e10
2.3547104200092535e6,3.725831951366687e8,8.20375540511062e9
2.653470013040371e6,3.533697422842146e8,7.780702326639542e9
2.887909114601272e6,3.8927834567878133e8,8.571359025689246e9
2.8919960158540667e6,3.870305433859728e8,8.521865595899737e9
2.3073681996902567e6,2.791069236099812e8,6.1455400110820265e9
2.4142652784654056e6,3.111395205350574e8,6.850852525425113e9
2.789229820251906e6,3.7535271886755997e8,8.264736403645851e9
2.939276702245693e6,3.965273421419741e8,8.73097168319177e9
2.988755411953737e6,5.004176628626196e8,9.73757493725072e9
3.00507126391842e6,5.0327312915846217e8,9.793139157101597e9
2.325981160023159e6,3.476439555451361e8,6.764767353010813e9
2.717216960782779e6,4.5289523516332823e8,8.812840989462452e9
1.8395730865402184e6,2.2398495917316568e8,4.35849988245622e9
2.4043995536447624e6,3.946456081198095e8,7.679367592143769e9
2.725956207847854e6,4.5092181056810147e8,8.7744403267658e9
1.739129618267274e6,1.9221084205467427e8,3.7402106623348436e9
2.3678799490727508e6,4.0821393090759724e8,7.943392165463357e9
2.496920397232525e6,4.1901936680048776e8,8.15365401180743e9
2.4823801102378704e6,4.1452262169876355e8,8.066152319418574e9
2.768073154639982e6,4.8152235200590366e8,9.36989306052122e9
2.929000129810549e6,5.128345873026091e8,9.979194570604414e9
2.651261012022955e6,4.4545865982058716e8,8.668133448041533e9
2.8640802924391893e6,4.991378637488775e8,1.0331458808070961e10
1.9649497439185628e6,2.6744140915485343e8,5.535664799106385e9
2.3155414065347128e6,3.880573826761889e8,8.032247512090073e9
2.7632752420679647e6,4.807386541910614e8,9.950620788250288e9
2.930718050293091e6,5.1130076696356535e8,1.0583213969671612e10
2.9859331536713387e6,5.213787764886007e8,1.0791814734785341e10
3.004140610135946e6,5.247020505286754e8,1.0860601880274744e10
2.9698267940811673e6,4.494502048723187e8,9.302993451632044e9
2.995529401367588e6,4.55120765710094e8,9.42036616560353e9
3.0073050208037323e6,4.5699066150430113e8,9.459070405005724e9
3.0111880902015856e6,4.5760726899361706e8,9.471833321504925e9
3.0124685517543983e6,4.5781059839681596e8,9.476041957046698e9
3.0128907903549084e6,4.578776472843524e8,9.477429775663597e9
3.0130300256450037e6,4.5789975699032295e8,9.477887415792875e9
3.013075939178215e6,5.590607558680366e8,9.784431579194078e9
3.0130910793954004e6,5.590636911337906e8,9.784482950903927e9
2.0289997996762274e6,2.9842884396426153e8,5.222968298843612e9
3.125157943754258e6,2.761797990982403e8,4.833575455741977e9
1.5186240998880486e6,1.9560084451869595e8,3.423318592724674e9
2.3948859781847605e6,4.392109677369132e8,7.686874132277372e9
1.6218514034138613e6,1.6322848848293704e8,2.856752080293672e9
1.680628124596034e6,2.8134224812521064e8,4.923926332199116e9
2.3891929732134333e6,4.643201859884512e8,8.126324452140667e9
2.2751568349585785e6,4.1556585833744407e8,7.273047991427173e9
2.6017420693740416e6,5.0858109269580734e8,8.900959067011475e9
2.8675515103435507e6,5.70184757237789e8,9.979118881328547e9
1.8645226718096149e6,1.8834620953176442e8,3.2963512123163557e9
1.2598642360406304e6,6.243303888640826e7,1.0926751535559726e9
2.0046463618400309e6,3.67694457184774e8,7.031588458378853e9
2.300019503696309e6,4.148439488113497e8,7.933249646524686e9
2.7449565923950677e6,5.240410698082211e8,1.0021475891675695e10
2.924677383953579e6,5.600493665416514e8,1.0710078939040735e10
2.7525220606217906e6,2.6288987773311833e8,5.027362784432447e9
2.4948647796676913e6,4.7393345496190554e8,9.06324516682909e9
2.086019596698993e6,3.4389631461184597e8,6.576485746393822e9
2.628188266809781e6,4.2121489527631986e8,8.055084155467315e9
2.7676567917107884e6,4.396640409521952e8,8.407895565230409e9
2.922262719758289e6,4.707867029180309e8,9.00306839527126e9
2.9831449661431606e6,4.810495563428219e8,9.199329612381557e9
2.8097113740722598e6,4.4337919543777126e8,8.478942155385405e9
3.318756513334022e6,2.8120376450793374e8,5.377587576668401e9
2.571964427169196e6,4.1005033421779233e8,7.841579172870968e9
2.864332296205431e6,4.9098862358865476e8,8.924200810593863e9
2.964042119271911e6,5.0888914637741834e8,9.249560406125698e9
1.828433433808378e6,2.0620323061281964e8,3.7479463868875675e9
2.4409462008724315e6,4.1497973885820097e8,7.542664623938467e9
1.6461364396506608e6,1.4652675749152553e8,2.6632678338288436e9
2.3313320131922583e6,3.953011234099264e8,7.184986446690136e9
2.7882826104631517e6,4.773357146691359e8,8.676045771978117e9
1.9865268794958817e6,3.304529005392835e8,6.006306258791104e9
2.5623794842873407e6,5.3003197557618636e8,9.63385210741768e9
2.864471669503809e6,5.958441736461178e8,1.0830053492023891e10
2.9640880783140445e6,6.175460750803992e8,1.1224506880690384e10
1.8717378374054935e6,2.051562524191035e8,3.728916529175703e9
1.1875345022367043e6,8.444198305180798e7,1.5348160372661448e9
3.061026656050586e6,2.767509746947826e8,5.030220974677772e9
2.4810937476654113e6,4.2693664530789006e8,8.232663794904565e9
2.83766729135027e6,4.916710533767444e8,9.48094412747874e9
2.9552492005716963e6,5.1301754816824234e8,9.892570809679672e9
2.9940224231537245e6,5.200566615775867e8,1.0028306766642431e10
2.3735798323481125e6,3.7289804600600934e8,7.190631856701843e9
2.73951297331266e6,4.738515550149074e8,9.137328884750956e9
2.922882323338119e6,5.071414794697617e8,9.779261965002106e9
2.98334928352219e6,5.243994705821733e8,1.0112049604960897e10
3.0032885660325685e6,5.280632415582369e8,1.0182698482256748e10
3.0098636441548746e6,5.292713883597738e8,1.0205995302853561e10
3.012031809047064e6,5.296697808094111e8,1.0213677545950607e10
3.0127467722630557e6,5.2980115271200305e8,1.021621080403005e10
1.9370255197931193e6,2.530702753434599e8,4.879980475520284e9
2.3978400051164473e6,4.112976795560837e8,7.93109598958816e9
2.8003137849592264e6,2.73473672617488e8,1.151655250718551e10
2.9429316950378157e6,2.880763574162484e8,1.2131502328940485e10
2.9899606641052207e6,2.928916657553169e8,1.2334285107971426e10
3.005468701842726e6,2.944795377610368e8,1.2401153743454819e10
3.010582554840932e6,2.950031464957242e8,1.2423204010409334e10
2.187777572397106e6,1.0418913199181996e8,4.387623853431021e9
2.397738976411837e6,2.3225393356858876e8,9.78070245425147e9
2.810180638679895e6,2.6698013103106064e8,1.1243095790413054e10
2.94618533939543e6,2.805249923008163e8,1.1813498434743174e10
2.991033569603319e6,2.8499147804111785e8,1.2001591559241947e10
3.0058224977962254e6,2.8646432405046475e8,1.2063616207681753e10
3.954668829224754e6,2.1352074905379912e8,8.991808587333862e9
2.2180708717384203e6,1.920645622722147e8,8.088243358151013e9
2.6981332843069206e6,2.5582120885674983e8,1.0773170068079266e10
2.9092371639524754e6,2.5612825868707272e8,1.092596952583555e10
2.978849723976593e6,2.6254225369973e8,1.119957898387186e10
3.0018048137705266e6,2.646573006309501e8,1.1289803070954952e10
3.009374369426359e6,2.6535474793367422e8,1.1319554914872927e10
3.011870468258518e6,2.6558473466961697e8,1.13293657341911e10
3.012693569331182e6,2.6566057394593656e8,1.1332600900924269e10
3.012964991026146e6,2.656855823265682e8,1.1333667713333302e10
2.9727366778096245e6,3.0417642764037204e8,1.2975617746797129e10
2.445383210820166e6,2.3144538741118675e8,9.873042758781933e9
2.773090664887129e6,2.8381737025189453e8,1.2107137081127928e10
2.933954735053734e6,3.0108729350106496e8,1.2843840856420795e10
2.0345629910724605e6,1.680018703844739e8,7.166656758271947e9
2.5782196323038726e6,2.628965532371696e8,1.1214692763073446e10
2.8696950375273777e6,2.941885494673866e8,1.254955287951076e10
2.7004552585864514e6,1.8771246482852396e8,1.1175845033179535e10
2.8869024535535495e6,2.069642184025164e8,1.2322037507698713e10
2.9714847415287243e6,2.1331258041978115e8,1.2700000208174067e10
2.9195554967873823e6,2.0791275746295604e8,1.2378510718239498e10
2.9756521335357665e6,2.136253659185173e8,1.2718622531767199e10
2.9604325764540187e6,2.1173193019272628e8,1.2605892968117514e10
2.8360218805372776e6,2.001408540567982e8,1.1915794573313242e10
2.9415063935392327e6,2.0186990736436182e8,1.2018737293910353e10
2.989490663808262e6,2.0531452935560775e8,1.2223819900476803e10
3.005313716894376e6,2.0645041068345743e8,1.2291446915591257e10
3.010531447779149e6,2.0682497323175344e8,1.2313747262021704e10
3.012252020631792e6,2.0694848710520667e8,1.2321100912779112e10
3.0128193881343775e6,2.0698921642265937e8,1.2323525815891294e10
3.0130064804057074e6,2.0700264711877295e8,1.2324325439819254e10
3.0130681750178095e6,2.280608316634228e8,1.3222017225717953e10
2.933267841935316e6,2.2016666449732652e8,1.276434628989122e10
2.980173847922469e6,2.254592995282164e8,1.307119122699616e10
3.0022414502635007e6,2.2720457239763108e8,1.3172374879509695e10
1.9824918606932322e6,1.156874727058234e8,6.707077869353832e9
2.5445486359229963e6,1.9100676354418415e8,1.1073776673484287e10
2.858591858085241e6,2.1584367636294743e8,1.2513717441603539e10
2.962149181094378e6,2.005090317031097e8,1.1624678607693344e10
2.9962977262372435e6,2.0292616633908474e8,1.1764814007361216e10
3.007558379771823e6,2.0372322857316446e8,1.1811024356205885e10
3.011271636588338e6,2.039860638308868e8,1.1826262449831095e10
3.0124961015932383e6,2.0407273507153565e8,1.183128728740831e10
3.0128998750520404e6,2.0410131534657446e8,1.1832944252728144e10
3.0130330213693143e6,2.0411073983519584e8,1.183349064532869e10
3.013076927033288e6,2.2430171266913307e8,1.2178276662264334e10
3.013091405145551e6,2.2430283883068445e8,1.2178337806277796e10
3.0130961793754734e6,2.2430321018808782e8,1.2178357968822008e10
2.094795389565234e6,1.2796464092976317e8,6.9477347349939575e9
1.636107723530639e6,8.995091879579563e7,4.883811015460071e9
1.525224594910467e6,8.36613009597599e7,4.542321397767571e9
1.3898363695091023e6,6.768130093360768e7,3.6747004640454106e9
1.4308151597532483e6,7.56014693140904e7,4.1047194799568734e9
2.3857308779334114e6,1.738571250476317e8,9.439429344256233e9
2.806220908155243e6,2.0625741889322224e8,1.1198576600400042e10
1.8802787621614274e6,1.0252306119596998e8,5.566405127492355e9
2.1336065321622663e6,1.4671880100821614e8,7.965976402817046e9
2.649763266938032e6,1.934306635771227e8,1.0502158489901472e10
2.205516515009331e6,1.4377738427057868e8,7.806274604807131e9
1.7591907775204782e6,8.702148176351184e7,5.0714746411023245e9
2.453696564190487e6,1.537890534856592e8,8.962583364774168e9
2.8253328769415477e6,1.7915024359387198e8,1.0440593505437002e10
2.951181865737153e6,1.8751322286102346e8,1.0927974740712713e10
2.992681199151668e6,1.9027095709685317e8,1.1088691140393398e10
3.006365811879436e6,1.9118033375229216e8,1.1141688176915972e10
3.0108783813619018e6,1.914802052521318e8,1.1159164214742573e10
3.012366423715688e6,2.1934866978276497e8,1.278329435237518e10
2.3283867754487284e6,1.5131821897293922e8,8.81858702824116e9
1.98504914407436e6,1.2367257320877455e8,7.207442416720113e9
1.6457553356749262e6,8.948176038357008e7,5.214855796867744e9
2.4500083635453777e6,1.7656174098607388e8,1.0289739657997923e10
2.827416730481555e6,2.052768000686862e8,1.1963207990230864e10
2.9518690268631303e6,2.1474573440253475e8,1.2515042541645172e10
