#1. Tech location reference ID,2. Node ID,3. Time ID,4. Tech ID
L001,N06037,T0,TA1
L002,N06037,T0,TA2
L003,N17031,T0,TA1
L004,N17031,T0,TA2
L005,N48201,T0,TA2
L006,N04013,T0,TA2
L007,N06073,T0,TA2
L008,N06059,T0,TA2
L009,N36047,T0,TA2
L010,N12086,T0,TA2
L011,N48113,T0,TA2
L012,N06065,T0,TA2
L013,N36081,T0,TA2
L014,N53033,T0,TA2
L015,N32003,T0,TA2
L016,N48439,T0,TA2
L017,N48029,T0,TA2
L018,N12011,T0,TA1
L019,N06085,T0,TA2
L020,N36061,T0,TA2
L021,N25017,T0,TA2
L022,N42101,T0,TA2
L023,N06067,T0,TA2
L024,N36103,T0,TA1
L025,N12099,T0,TA1
L026,N12057,T0,TA1
L027,N12095,T0,TA2
L028,N39049,T0,TA2
L029,N48453,T0,TA1
L030,N26125,T0,TA2
L031,N39035,T0,TA2
L032,N42003,T0,TA2
L033,N49035,T0,TA1
L034,N06013,T0,TA1
L035,N37183,T0,TA2
L036,N37119,T0,TA2
L037,N13121,T0,TA2
L038,N04019,T0,TA1
L039,N06019,T0,TA1
L040,N36119,T0,TA1
L041,N29189,T0,TA1
L042,N12031,T0,TA1
L043,N18097,T0,TA1
L044,N24033,T0,TA2
L045,N12103,T0,TA1
L046,N09001,T0,TA1
L047,N13135,T0,TA1
L048,N36029,T0,TA1
L049,N55079,T0,TA1
L050,N17043,T0,TA1
L051,N47157,T0,TA1
L052,N06029,T0,TA1
L053,N09003,T0,TA1
L054,N26099,T0,TA1
L055,N06075,T0,TA1
L056,N48215,T0,TA1
L057,N48141,T0,TA1
L058,N09009,T0,TA1
L059,N34013,T0,TA1
L060,N34023,T0,TA1
L061,N25027,T0,TA1
L062,N24005,T0,TA1
L063,N06111,T0,TA2
L064,N39061,T0,TA1
L065,N53061,T0,TA1
L066,N48157,T0,TA1
L067,N41051,T0,TA1
L068,N40109,T0,TA1
L069,N21111,T0,TA1
L070,N12071,T0,TA1
L071,N36055,T0,TA1
L072,N08041,T0,TA1
L073,N12105,T0,TA1
L074,N29095,T0,TA1
L075,N47037,T0,TA1
L076,N17097,T0,TA1
L077,N17197,T0,TA1
L078,N35001,T0,TA1
L079,N01073,T0,TA1
L080,N40143,T0,TA1
L081,N44007,T0,TA1
L082,N49049,T0,TA1
L083,N26081,T0,TA1
L084,N08005,T0,TA2
L085,N42017,T0,TA2
L086,N34029,T0,TA1
L087,N48339,T0,TA1
L088,N20091,T0,TA1
L089,N48491,T0,TA1
L090,N31055,T0,TA1
L091,N12101,T0,TA1
L092,N55025,T0,TA1
L093,N42071,T0,TA1
L094,N06099,T0,TA1
L095,N37081,T0,TA1
L096,N25023,T0,TA1
L097,N45045,T0,TA1
L098,N34031,T0,TA1
L099,N20173,T0,TA1
L100,N17089,T0,TA1
L101,N18089,T0,TA1
L102,N16001,T0,TA1
L103,N19153,T0,TA1
L104,N32031,T0,TA1
L105,N47093,T0,TA1
L106,N36067,T0,TA1
L107,N06107,T0,TA1
L108,N25013,T0,TA1
L109,N51810,T0,TA1
L110,N22033,T0,TA1
L111,N42133,T0,TA1
L112,N06095,T0,TA1
L113,N06083,T0,TA1
L114,N22051,T0,TA1
L115,N27037,T0,TA2
L116,N06053,T0,TA1
L117,N39095,T0,TA1
L118,N04021,T0,TA1
L119,N41005,T0,TA1
L120,N51107,T0,TA2
L121,N45079,T0,TA1
L122,N01097,T0,TA1
L123,N45019,T0,TA1
L124,N55133,T0,TA1
L125,N29183,T0,TA1
L126,N36071,T0,TA1
L127,N12081,T0,TA1
L128,N05119,T0,TA1
L129,N39017,T0,TA1
L130,N01089,T0,TA1
L131,N18003,T0,TA1
L132,N12083,T0,TA1
L133,N48039,T0,TA1
L134,N48027,T0,TA1
L135,N47065,T0,TA1
L136,N51041,T0,TA1
L137,N49011,T0,TA1
L138,N48355,T0,TA1
L139,N45051,T0,TA1
L140,N18057,T0,TA1
L141,N47149,T0,TA1
L142,N31109,T0,TA1
L143,N21067,T0,TA1
L144,N48303,T0,TA1
L145,N29077,T0,TA1
L146,N13051,T0,TA1
L147,N12073,T0,TA1
L148,N17201,T0,TA1
L149,N26065,T0,TA1
L150,N05007,T0,TA1
L151,N12109,T0,TA1
L152,N18141,T0,TA1
L153,N55009,T0,TA1
L154,N09011,T0,TA1
L155,N22103,T0,TA1
L156,N26077,T0,TA1
L157,N17163,T0,TA1
L158,N48245,T0,TA1
L159,N29047,T0,TA1
L160,N39165,T0,TA1
L161,N22055,T0,TA1
L162,N13151,T0,TA1
L163,N22017,T0,TA1
L164,N10005,T0,TA1
L165,N36091,T0,TA1
L166,N48423,T0,TA1
L167,N36065,T0,TA1
L168,N19113,T0,TA1
L169,N01101,T0,TA1
L170,N28049,T0,TA1
L171,N01125,T0,TA1
L172,N42069,T0,TA1
L173,N13245,T0,TA1
L174,N17019,T0,TA1
L175,N13139,T0,TA1
L176,N27137,T0,TA1
L177,N12113,T0,TA1
L178,N51700,T0,TA1
L179,N28033,T0,TA1
L180,N38017,T0,TA1
L181,N29019,T0,TA1
L182,N54039,T0,TA1
L183,N18163,T0,TA1
L184,N01081,T0,TA1
L185,N55139,T0,TA1
L186,N48329,T0,TA1
L187,N50007,T0,TA1
L188,N13153,T0,TA1
L189,N18081,T0,TA1
L190,N22073,T0,TA1
L191,N47163,T0,TA1
L192,N40017,T0,TA1
L193,N17161,T0,TA1
L194,N41043,T0,TA1
L195,N05131,T0,TA1
L196,N36013,T0,TA1
L197,N18019,T0,TA1
L198,N55063,T0,TA1
L199,N51003,T0,TA1
L200,N05031,T0,TA1
L201,N23001,T0,TA1
L202,N01069,T0,TA1
L203,N19155,T0,TA1
L204,N26111,T0,TA1
L205,N29031,T0,TA1
L206,N51019,T0,TA1
L207,N45073,T0,TA1
L208,N06037,T0,TB2
L209,N17031,T0,TB2
L210,N48201,T0,TB2
L211,N04013,T0,TB2
