,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n1,-17.76165925535373,-24.20077994402277,-18.953219686260795,0.0,-0.0,-0.0,-0.0,797.4242058563158,-16.56881694489204,-24.593879989033482,-19.109389804331975,-16.37543214155939,-15.881958254289481,-11.332971875426134,97.42420585631584,97.42420585631584,97.42420585631584,-0.0,-0.0,-0.0,
n2,-17.787438998111096,-24.307141905983467,-19.068436297289807,0.0,-0.0,-0.0,-0.0,797.4767111364057,-16.536805518288308,-24.603011800403117,-19.114103551526103,-16.32987772204094,-15.880776129819731,-11.330311106107912,97.47671113640574,97.47671113640574,97.47671113640574,-0.0,-0.0,-0.0,
n3,-17.51412526427663,-23.670116344086527,-19.34034628454853,0.0,-0.05647656139747602,-0.0,-0.0,796.7296543177149,-15.815812930108416,-23.64130543463707,-18.41064167352474,-16.679654867640085,-16.386802104106593,-11.860737159323287,96.72965431771486,96.72965431771486,96.72965431771486,-0.0,-0.0,-0.05647656139747602,
n4,-17.285332554777504,-24.47825603971511,-19.25918165986548,0.0,-0.0,-0.0,-0.0,797.5325822697752,-17.12037218226155,-25.110832883982958,-19.527217620522674,-16.55618516591013,-15.598082895502131,-11.047669975199527,97.5325822697752,97.5325822697752,97.5325822697752,-0.0,-0.0,-0.0,
n5,-17.560059208279846,-24.450974802612382,-19.231900422762752,0.0,-0.0,-0.0,-0.0,797.6586233742238,-16.874945744546604,-25.15864242264859,-19.610222213067566,-16.409664284042215,-15.584508091452266,-11.034084278973562,97.65862337422374,97.65862337422374,97.65862337422374,-0.0,-0.0,-0.0,
n6,-18.22130382735265,-24.70133681600327,-19.22043906029388,0.0,-0.0,-0.0,-0.0,797.7028444423858,-16.917429801273702,-25.66823259117089,-20.072381135866863,-16.16224489672705,-15.238868070407545,-10.702156039178394,97.70284444238578,97.70284444238578,97.70284444238578,-0.0,-0.0,-0.0,
n7,-18.300218592146003,-24.443110355047672,-19.2019189933242,0.0,-0.0,-0.0,-0.0,797.573568966007,-16.865476732313454,-25.405204801699096,-19.808505068297034,-16.25734408097755,-15.333600906560578,-10.802887772075751,97.57356896600699,97.57356896600699,97.57356896600699,-0.0,-0.0,-0.0,
n8,-18.473420461351964,-24.936351969718036,-19.534271441377772,0.0,-0.0,-0.0,-0.0,798.0864600854142,-16.922514451933438,-25.518483617078452,-19.95440272890603,-16.19942152238708,-15.354206864365299,-10.796270494463535,98.08646008541416,98.08646008541416,98.08646008541416,-0.0,-0.0,-0.0,
n9,-16.793944173018286,-24.054580687987688,-18.86204814646075,0.0,-0.0,-0.0,-0.0,798.4145609975778,-16.710562917200495,-24.084547492722276,-18.814457747542242,-15.40449719665548,-16.2429993356509,-11.565438414315247,98.41456099757787,98.41456099757787,98.41456099757787,-0.0,-0.0,-0.0,
n10,-16.604738067249336,-23.864167284719006,-18.655036574761816,0.0,-0.07210392552426748,-0.0,-0.0,798.2389124875506,-16.28007521171228,-23.86410635528822,-18.64371911469995,-15.63420642376209,-16.364513137597868,-11.735443275755376,98.23891248755054,98.23891248755054,98.23891248755054,-0.07210392552426748,-0.0,-0.0,
n11,-16.99288486353635,-23.988872776139136,-18.67330687776671,0.0,-0.0,-0.0,-0.0,798.4758393010561,-16.51163741342627,-23.923206667732295,-18.787194418497222,-15.50094486460308,-16.267867156434622,-11.566256404364557,98.47583930105608,98.47583930105608,98.47583930105608,-0.0,-0.0,-0.0,
n12,-17.00173776730463,-23.86639460882024,-18.666343555120307,0.0,-0.0,-0.0,-0.0,798.507057728507,-16.321763371929382,-23.733447772434925,-18.662535728598435,-15.59459213928763,-16.30180253954387,-11.524258050498801,98.50705772850701,98.50705772850701,98.50705772850701,-0.0,-0.0,-0.0,
n13,-16.75588681618629,-23.839319740624276,-18.688868038906755,0.0,-0.0,-0.0,-0.0,798.109719232489,-16.111351220600138,-23.833874677778212,-18.692141326008667,-15.729383174534052,-16.35111052739622,-11.726941194231848,98.109719232489,98.109719232489,98.109719232489,-0.0,-0.0,-0.0,
n14,-17.893832706219786,-24.373471312288324,-19.117134043254016,0.0,-0.0,-0.06310230885060361,-0.0,797.6098025931095,-16.447556450199922,-24.657308355289953,-19.24141844251463,-16.209065333033237,-15.913893736440322,-11.36723437905431,97.60980259310956,97.60980259310956,97.60980259310956,-0.06310230885060361,-0.06310230885060361,-0.0,
n15,-17.075679932866016,-23.59102690073386,-18.44910584676842,0.0,-0.0,-0.0,-0.0,797.891535919738,-16.001621918501577,-24.079515346429652,-18.854936106017114,-15.93508089067735,-16.409702309052744,-11.842591401865624,97.89153591973803,97.89153591973803,97.89153591973803,-0.0,-0.0,-0.0,
n16,-16.025617868574475,-22.87944531688967,-18.004727598720894,0.0,-0.0,-0.0,-0.0,797.3531861961138,-15.685504958239656,-23.14779535496263,-18.109381109393993,-16.7141512925368,-17.24774997717103,-12.671493955868897,97.35318619611384,97.35318619611384,97.35318619611384,-0.0,-0.0,-0.0,
n17,-17.74876049053409,-23.724741778681725,-18.59446508760547,0.0,-0.0,-0.0,-0.0,796.9217768383465,-15.859117943435656,-23.8757794629319,-18.673867828307834,-16.58355712244453,-16.841312264228527,-12.315443109062958,96.92177683834655,96.92177683834655,96.92177683834655,-0.0,-0.0,-0.0,
n18,-17.969611864512313,-23.739607357058592,-18.677600062127553,0.0,-0.0,-0.0,-0.0,796.7424447599332,-15.745452029846989,-23.72052280761667,-18.587019069767713,-16.533523620759254,-17.027978303884442,-12.467533691244745,96.74244475993319,96.74244475993319,96.74244475993319,-0.0,-0.0,-0.0,
n19,-16.47158147504222,-23.79206335919474,-18.65869317290786,0.0,-0.0,-0.0,-0.0,798.2244581457484,-16.312959918520203,-23.75432060981039,-18.720128074187475,-15.691127848066264,-16.43547786861202,-11.773898702701652,98.22445814574841,98.22445814574841,98.22445814574841,-0.0,-0.0,-0.0,
n20,-15.876489770404369,-22.80008403455446,-17.786777277928902,0.0,-0.0,-0.0,-0.0,797.7800282551148,-15.563139736552545,-22.882344444625843,-17.801352097050973,-16.34840505706451,-17.043640736621562,-12.262067450305942,97.7800282551147,97.7800282551147,97.7800282551147,-0.0,-0.0,-0.0,
