#supply,node,prod,bid($/tonne),cap
s252,n104,p3,-100,1845.744264
s253,n105,p3,-100,615.248088
s254,n106,p3,-100,3076.24044
s255,n107,p3,-100,922.872132
s256,n108,p3,-100,1230.496176
s257,n109,p3,-100,4306.736616
s258,n110,p3,-100,215.3368308
s259,n111,p3,-100,922.872132
s260,n112,p3,-100,1845.744264
s261,n113,p3,-100,2768.616396
s262,n114,p3,-100,1845.744264
s263,n115,p3,-100,615.248088
s264,n116,p3,-100,246.0992352
s265,n117,p3,-100,615.248088
s266,n118,p3,-100,615.248088
s267,n119,p3,-100,307.624044
s268,n120,p3,-100,615.248088
s269,n121,p3,-100,2153.368308
s270,n122,p3,-100,1230.496176
s271,n123,p3,-100,3691.488528
s272,n124,p3,-100,615.248088
s273,n125,p3,-100,430.6736616
s274,n126,p3,-100,307.624044
s275,n127,p3,-100,5998.668858
s276,n128,p3,-100,615.248088
s277,n129,p3,-100,615.248088
s278,n130,p3,-100,615.248088
s279,n131,p3,-100,615.248088
s280,n132,p3,-100,922.872132
s281,n133,p3,-100,1230.496176
s282,n134,p3,-100,307.624044
s283,n135,p3,-100,307.624044
s284,n136,p3,-100,615.248088
s285,n137,p3,-100,1845.744264
s286,n138,p3,-100,307.624044
s287,n139,p3,-100,307.624044
s288,n140,p3,-100,1538.12022
s289,n141,p3,-100,18297.47814
s290,n142,p3,-100,615.248088
s291,n143,p3,-100,1230.496176
s292,n144,p3,-100,3076.24044
s293,n145,p3,-100,1076.684154
s294,n146,p3,-100,430.6736616
s295,n147,p3,-100,2460.992352
s296,n148,p3,-100,1230.496176
s297,n149,p3,-100,307.624044
s298,n150,p3,-100,2460.992352
s299,n151,p3,-100,1230.496176
s300,n152,p3,-100,1230.496176
s301,n153,p3,-100,2153.368308
s302,n154,p3,-100,2460.992352
s303,n155,p3,-100,153.812022
s304,n156,p3,-100,307.624044
s305,n157,p3,-100,922.872132
s306,n158,p3,-100,2584.04197
s307,n159,p3,-100,922.872132
s308,n160,p3,-100,5844.856836
s309,n161,p3,-100,922.872132
s310,n162,p3,-100,1538.12022
s311,n163,p3,-100,615.248088
s312,n164,p3,-100,2460.992352
s313,n165,p3,-100,307.624044
s314,n166,p3,-100,1230.496176
s315,n167,p3,-100,1845.744264
s316,n168,p3,-100,1230.496176
s317,n169,p3,-100,1845.744264
s318,n170,p3,-100,1230.496176
s319,n171,p3,-100,769.06011
s320,n172,p3,-100,1538.12022
s321,n173,p3,-100,307.624044
s322,n174,p3,-100,615.248088
s323,n175,p3,-100,615.248088
s324,n176,p3,-100,615.248088
s325,n177,p3,-100,615.248088
s326,n178,p3,-100,615.248088
s327,n179,p3,-100,1845.744264
s328,n180,p3,-100,922.872132
s329,n181,p3,-100,3691.488528
s330,n182,p3,-100,615.248088
s331,n183,p3,-100,615.248088
s332,n184,p3,-100,1230.496176
s333,n185,p3,-100,307.624044
s334,n186,p3,-100,184.5744264
s335,n187,p3,-100,615.248088
s336,n188,p3,-100,153.812022
s337,n189,p3,-100,1230.496176
s338,n190,p3,-100,1845.744264
s339,n191,p3,-100,307.624044
s340,n192,p3,-100,307.624044
s341,n193,p3,-100,123.0496176
s342,n194,p3,-100,307.624044
s343,n195,p3,-100,615.248088
s344,n196,p3,-100,615.248088
s345,n197,p3,-100,615.248088
s346,n198,p3,-100,307.624044
s347,n199,p3,-100,1845.744264
s348,n200,p3,-100,1230.496176
s349,n201,p3,-100,2460.992352
s350,n202,p3,-100,153.812022
s351,n203,p3,-100,1230.496176
