node,Latitude,Longitude,P difference,Waste Demand,log P diff
n256,43.2861,-89.3931,7.010789649,2165.624201,0.845766937
n934,43.201,-89.3853,6.627428146,0,0.821345028
n821,43.2044,-89.2406,5.215793255,0,0.717320368
n464,43.2575,-89.4634,4.907425337,0,0.690853701
n676,43.2286,-89.3883,4.778662258,0,0.679306337
n294,43.2723,-89.3129,0.0001,6254.884346,-4
n952,43.1987,-89.4205,0.0001,6152.188678,-4
n1207,43.1531,-89.4744,0.0001,5516.992133,-4
n450,43.2548,-89.4102,0.0001,5260.614514,-4
n463,43.2474,-89.2699,0.0001,5169.877809,-4
n826,43.2035,-89.2718,0.0001,4934.914407,-4
n1248,43.1461,-89.5464,0.0001,4580.309323,-4
n1145,43.1701,-89.5003,0.0001,4328.492699,-4
n1199,43.1568,-89.4967,0.0001,4118.095641,-4
n398,43.2618,-89.2818,0.0001,4109.41866,-4
n232,43.2841,-89.3752,0.0001,4059.804467,-4
n732,43.2287,-89.5212,0.0001,4027.024824,-4
n984,43.1913,-89.3797,0.0001,3870.376332,-4
n278,43.2779,-89.4406,0.0001,3709.130066,-4
n1251,43.1479,-89.5578,0.0001,3697.227118,-4
n383,43.2572,-89.2632,0.0001,3626.680499,-4
n1139,43.166,-89.456,0.0001,3598.128306,-4
n1183,43.1579,-89.4817,0.0001,3329.94025,-4
n1290,43.1368,-89.5501,0.0001,3321.745622,-4
n272,43.275,-89.3309,0.0001,3313.049969,-4
n1027,43.1862,-89.4167,0.0001,3226.670003,-4
n358,43.2697,-89.4424,0.0001,3193.408289,-4
n436,43.2567,-89.3732,0.0001,3127.422946,-4
n660,43.225,-89.2681,0.0001,3093.975755,-4
n730,43.2274,-89.4666,0.0001,3061.493054,-4
n860,43.2158,-89.5243,0.0001,3040.894453,-4
n742,43.2185,-89.3732,0.0001,3016.143089,-4
n394,43.2571,-89.2738,0.0001,2987.145604,-4
n617,43.2312,-89.3757,0.0001,2983.085352,-4
n1240,43.1445,-89.4997,0.0001,2925.572733,-4
n566,43.2324,-89.2608,0.0001,2888.176645,-4
n982,43.1975,-89.4867,0.0001,2863.517792,-4
n1101,43.174,-89.4706,0.0001,2809.954526,-4
n1022,43.1834,-89.3838,0.0001,2801.666823,-4
n274,43.272,-89.2787,0.0001,2801.425788,-4
n868,43.2188,-89.554,0.0001,2764.437648,-4
n1226,43.1488,-89.5024,0.0001,2756.372592,-4
n633,43.2292,-89.3288,0.0001,2713.055211,-4
n1024,43.1856,-89.4054,0.0001,2566.462668,-4
n998,43.1952,-89.5136,0.0001,2558.174965,-4
n674,43.2247,-89.3771,0.0001,2525.098836,-4
n486,43.2417,-89.2849,0.0001,2496.175757,-4
n597,43.2396,-89.4924,0.0001,2471.424109,-4
n1138,43.1682,-89.4875,0.0001,2463.340379,-4
n412,43.2605,-89.4313,0.0001,2376.478342,-4
