node,Latitude,Longitude,P difference,Waste Demand
n256,43.2861,-89.3931,7.010789649407043,2165.6242006708735
n934,43.201,-89.3853,6.627428146,0.0
n821,43.2044,-89.2406,5.215793255,0.0
n464,43.2575,-89.4634,4.907425337,0.0
n676,43.2286,-89.3883,4.778662258,0.0
n294,43.2723,-89.3129,0.0001,6254.884346179238
n952,43.1987,-89.4205,0.0001,6152.188677685192
n1207,43.1531,-89.4744,0.0001,5516.992133125266
n450,43.2548,-89.4102,0.0001,5260.614513950775
n463,43.2474,-89.2699,0.0001,5169.877808824707
n826,43.2035,-89.2718,0.0001,4934.914406722936
n1248,43.1461,-89.5464,0.0001,4580.309322784668
n1145,43.1701,-89.5003,0.0001,4328.492699450999
n1199,43.1568,-89.4967,0.0001,4118.095641457406
n398,43.2618,-89.2818,0.0001,4109.4186597438875
n232,43.2841,-89.3752,0.0001,4059.804467345383
n732,43.2287,-89.5212,0.0001,4027.0248238352915
n984,43.1913,-89.3797,0.0001,3870.3763316529494
n278,43.2779,-89.4406,0.0001,3709.1300659247777
n1251,43.1479,-89.5578,0.0001,3697.2271182748
n383,43.2572,-89.2632,0.0001,3626.680499101622
n1139,43.166,-89.456,0.0001,3598.128305918268
n1183,43.1579,-89.4817,0.0001,3329.9402503382858
n1290,43.1368,-89.5501,0.0001,3321.745621967401
n272,43.275,-89.3309,0.0001,3313.049969222854
n1027,43.1862,-89.4167,0.0001,3226.6700033730176
n358,43.2697,-89.4424,0.0001,3193.408288698816
n436,43.2567,-89.3732,0.0001,3127.422946232523
n660,43.225,-89.2681,0.0001,3093.9757549587953
n730,43.2274,-89.4666,0.0001,3061.4930538147255
n860,43.2158,-89.5243,0.0001,3040.8944534202005
n742,43.2185,-89.3732,0.0001,3016.1430894479668
n394,43.2571,-89.2738,0.0001,2987.145604117969
n617,43.2312,-89.3757,0.0001,2983.085351784746
n1240,43.1445,-89.4997,0.0001,2925.5727331549265
n566,43.2324,-89.2608,0.0001,2888.176645067979
n982,43.1975,-89.4867,0.0001,2863.5177923402307
n1101,43.174,-89.4706,0.0001,2809.954525946643
n1022,43.1834,-89.3838,0.0001,2801.666823286684
n274,43.272,-89.2787,0.0001,2801.4257877046284
n868,43.2188,-89.554,0.0001,2764.4376483898104
n1226,43.1488,-89.5024,0.0001,2756.3725924594023
n633,43.2292,-89.3288,0.0001,2713.0552111810944
n1024,43.1856,-89.4054,0.0001,2566.4626677813812
n998,43.1952,-89.5136,0.0001,2558.1749651214222
n674,43.2247,-89.3771,0.0001,2525.0988359807807
n486,43.2417,-89.2849,0.0001,2496.1757565337452
n597,43.2396,-89.4924,0.0001,2471.4241090705304
n1138,43.1682,-89.4875,0.0001,2463.340379484178
n412,43.2605,-89.4313,0.0001,2376.4783424702305
