,Latitude,Longitude,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
n730,43.2274,-89.4666,-16.66543333,-23.23480327,-18.25512852,0,0,0,0,797.1419059,-15.71159654,-23.58247238,-18.42276948,-16.70090757,-17.1978051,-12.64028095,97.1419059,97.1419059,97.1419059,0,0,0
n731,43.2261,-89.5268,-17.62597109,-23.64757335,-18.58833106,0,-0.020487612,-0.066425811,-0.066425811,796.8442653,-15.85855094,-23.79142287,-18.58951124,-16.62687917,-16.89565932,-12.34548428,96.84426533,96.84426533,96.84426533,-0.066425811,-0.066425811,-0.066425811
n732,43.2287,-89.5212,-17.7462603,-23.77328424,-18.71829639,0,0,0,0,796.840776,-15.98584844,-23.75215917,-18.55533298,-16.71247862,-16.95567284,-12.40520781,96.84077599,96.84077599,96.84077599,0,0,0
n733,43.2148,-89.3262,-15.04581834,-24.33355356,-19.42545897,0,0,0,0,797.3116731,-13.84736338,-20.45524712,-15.77293636,-17.30106512,-17.05022909,-12.57142301,97.31167313,97.31167313,97.31167313,0,0,0
n734,43.2217,-89.4792,-16.90107108,-23.5386061,-18.53355797,0,0,0,0,797.184133,-15.82838777,-23.94032263,-18.76395476,-16.59524587,-17.03428304,-12.47283973,97.18413304,97.18413304,97.18413304,0,0,0
n735,43.2139,-89.2757,-15.76933603,-23.72339089,-18.5739413,0,0,0,0,797.0275858,-12.90843675,-19.241508,-15.04843987,-17.24176162,-17.01859582,-12.73437892,97.02758579,97.02758579,97.02758579,0,0,0
n736,43.223,-89.4937,-17.25379055,-23.57109521,-18.42130246,0,0,0,0,797.0909892,-15.68242623,-23.82188188,-18.64551402,-16.5721108,-16.97224188,-12.42177686,97.09098923,97.09098923,97.09098923,0,0,0
n737,43.2112,-89.2675,-15.82873562,-23.51770442,-18.37261916,0,0,0,0,797.007701,-12.79853282,-19.06601286,-14.93723908,-17.34070951,-16.99008053,-12.69334818,97.00770101,97.00770101,97.00770101,0,0,0
n738,43.2112,-89.2596,-15.71744772,-23.3523573,-18.22213656,0,0,0,0,796.9477287,-12.77823203,-18.95713539,-14.77880898,-17.23884328,-16.93322731,-12.66371042,96.94772867,96.94772867,96.94772867,0,0,0
n739,43.2113,-89.2792,-15.76710004,-23.79817278,-18.54570018,0,0,0,0,797.0907325,-12.8998074,-19.34890429,-15.05763053,-17.23715931,-16.95415533,-12.66993843,97.09073248,97.09073248,97.09073248,0,0,0
n740,43.2111,-89.2624,-15.70538763,-23.41183813,-18.28991376,0,0,0,0,796.9706672,-12.71045484,-18.94267462,-14.84658618,-17.27492392,-16.96937515,-12.62756259,96.97066718,96.97066718,96.97066718,0,0,0
n741,43.2177,-89.4041,-15.7578382,-22.68653926,-17.87103842,0,0,0,0,797.4406311,-14.97636949,-22.25231236,-17.38361579,-16.8189861,-17.39859393,-12.58817578,97.44063106,97.44063106,97.44063106,0,0,0
n742,43.2185,-89.3732,-15.63644566,-23.32518648,-18.44862397,0,0,0,0,797.4014326,-14.49704404,-21.54014817,-16.77474461,-17.14748655,-17.37088836,-12.51003919,97.40143258,97.40143258,97.40143258,0,0,0
n743,43.219,-89.4286,-16.12842039,-22.64837166,-17.95471602,0,0,0,0,797.393842,-15.3700858,-22.83728162,-17.84060815,-16.75670049,-17.32282231,-12.64824776,97.39384201,97.39384201,97.39384201,0,0,0
n744,43.2224,-89.508,-17.51679292,-23.7929138,-18.67146406,0,0,0,0,797.0199245,-15.85880437,-23.76963982,-18.56898929,-16.5752635,-16.88349586,-12.32875023,97.01992448,97.01992448,97.01992448,0,0,0
n745,43.2225,-89.5015,-17.38773916,-23.70702678,-18.56835508,0,0,0,0,797.0561964,-15.78289744,-23.65363292,-18.47836184,-16.5362318,-16.90613568,-12.34744575,97.05619644,97.05619644,97.05619644,0,0,0
n746,43.2191,-89.4383,-15.94898114,-22.82200969,-17.93049732,0,0,0,0,797.3721971,-15.59851708,-23.06854125,-18.0594091,-16.71642742,-17.26471746,-12.66395622,97.37219709,97.37219709,97.37219709,0,0,0
n747,43.2183,-89.3966,-15.63532201,-22.82513389,-18.01085534,0,0,0,0,797.4295891,-14.85369608,-22.0700487,-17.24122693,-16.90771206,-17.40326479,-12.57910964,97.42958907,97.42958907,97.42958907,0,0,0
n748,43.219,-89.4434,-16.0667435,-22.92344988,-17.98975444,0,0,0,0,797.3611471,-15.64045564,-23.19032944,-18.06218482,-16.69593805,-17.25446412,-12.67479296,97.36114711,97.36114711,97.36114711,0,0,0
n749,43.2157,-89.3694,-15.68666727,-23.39036585,-18.48535358,0,0,0,0,797.4430542,-14.36640653,-21.47960004,-16.74377108,-17.14770222,-17.3555054,-12.45847345,97.44305415,97.44305415,97.44305415,0,0,0
n750,43.215,-89.3636,-15.61263704,-23.51531736,-18.52126548,0,0,0,0,797.4421201,-14.36770498,-21.34798095,-16.67712986,-17.17361674,-17.33422854,-12.45464829,97.44212005,97.44212005,97.44212005,0,0,0
n751,43.2079,-89.2133,-15.10500568,-22.59806043,-17.65417026,0,0,0,0,796.597435,-12.36542193,-18.37306218,-14.3530502,-16.85483018,-17.10065606,-12.80303209,96.59743497,96.59743497,96.59743497,0,0,0
n752,43.2222,-89.5176,-17.70043296,-23.6463697,-18.51609301,0,0,0,0,796.9637063,-15.92040135,-23.95451905,-18.75245092,-16.65275699,-16.85820739,-12.30762817,96.96370631,96.96370631,96.96370631,0,0,0
n753,43.2199,-89.4745,-16.7784122,-23.50302188,-18.44934953,0,0,0,0,797.2351827,-15.79824633,-23.86707212,-18.68006864,-16.57466376,-17.03686953,-12.48647303,97.23518268,97.23518268,97.23518268,0,0,0
n754,43.2167,-89.3868,-15.70951194,-23.00277123,-18.14435832,0,0,0,0,797.4517738,-14.71715077,-21.86717469,-17.06712392,-16.99902553,-17.3700035,-12.56254642,97.45177384,97.45177384,97.45177384,0,0,0
n755,43.2079,-89.2233,-15.22065714,-22.77603527,-17.69253373,0,0,0,0,796.688243,-12.46282365,-18.51777808,-14.37653091,-16.94330049,-17.15358349,-12.75010466,96.68824305,96.68824305,96.68824305,0,0,0
n756,43.2079,-89.2188,-15.18775661,-22.70000324,-17.73381054,0,0,0,0,796.6476902,-12.42121299,-18.45595449,-14.41780771,-16.92575354,-17.09555528,-12.7676516,96.64769019,96.64769019,96.64769019,0,0,0
n757,43.2189,-89.4474,-16.16349654,-22.9806005,-18.0458603,0,0,0,0,797.3517385,-15.67182927,-23.285601,-18.15848673,-16.67001381,-17.21844833,-12.6614896,97.35173846,97.35173846,97.35173846,0,0,0
n758,43.2184,-89.4331,-16.07681326,-22.75896109,-17.95257432,0,0,0,0,797.3958163,-15.4707451,-22.94775995,-17.95119757,-16.72437146,-17.30689692,-12.64578126,97.39581626,97.39581626,97.39581626,0,0,0
n759,43.2249,-89.529,-17.56274044,-23.71399916,-18.63025739,0,-0.086913423,0,0,796.8476913,-15.79212513,-23.78836186,-18.58645023,-16.59152294,-16.87212495,-12.32153378,96.8476913,96.8476913,96.8476913,0,0,0
n760,43.2145,-89.3565,-15.51680038,-23.68776436,-18.69371248,0,0,0,0,797.4317631,-14.30891558,-21.18228192,-16.50468286,-17.17368349,-17.29353192,-12.48703722,97.43176311,97.43176311,97.43176311,0,0,0
n761,43.208,-89.2512,-15.56342915,-23.12352264,-18.06467449,0,0,0,0,796.9257052,-12.65023834,-18.80032897,-14.68684152,-17.21106677,-16.96669049,-12.54149107,96.92570523,96.92570523,96.92570523,0,0,0
n762,43.2248,-89.5783,-17.25581471,-23.32157319,-19.58751273,0,0,0,0,796.4741798,-15.49942687,-23.02945185,-17.95886799,-16.78124227,-16.53834149,-11.96141359,96.47417979,96.47417979,96.47417979,0,0,0
n763,43.2186,-89.4156,-15.87440494,-22.6331202,-17.81603927,0,0,0,0,797.4183044,-15.16111518,-22.52680073,-17.545251,-16.8051505,-17.36332905,-12.62379134,97.41830436,97.41830436,97.41830436,0,0,0
n764,43.2151,-89.3992,-15.74550919,-22.71118951,-17.89748031,0,0,0,0,797.4867614,-14.90043793,-22.15540465,-17.35535388,-16.84191761,-17.46905925,-12.52634296,97.48676142,97.48676142,97.48676142,0,0,0
n765,43.2233,-89.5388,-17.39324632,-23.77504354,-18.86032758,0,0,0,0,796.8032717,-15.68482661,-23.61012799,-18.44437472,-16.65091884,-16.81900338,-12.26955213,96.80327174,96.80327174,96.80327174,0,0,0
n766,43.22,-89.499,-17.28512519,-23.60441281,-18.58352941,0,0,0,0,797.1100826,-15.84465317,-23.72884662,-18.55247875,-16.52918704,-16.89064931,-12.34018429,97.11008259,97.11008259,97.11008259,0,0,0
n767,43.2129,-89.3167,-15.08170168,-24.48505272,-19.23258012,0,0,0,0,797.2958812,-13.61300855,-20.23247367,-15.75141875,-17.26323138,-17.0900386,-12.63533402,97.29588119,97.29588119,97.29588119,0,0,0
n768,43.2075,-89.2421,-15.44411545,-22.94625111,-17.92618554,0,0,0,0,796.8570692,-12.42958989,-18.65618495,-14.48212684,-17.11842043,-16.977616,-12.55929133,96.85706919,96.85706919,96.85706919,0,0,0
n769,43.2056,-89.2226,-15.16094777,-22.7067205,-17.61438272,0,0,0,0,796.7110748,-12.4248892,-18.46141646,-14.2983799,-16.9114555,-17.12173849,-12.78194965,96.71107478,96.71107478,96.71107478,0,0,0
n770,43.2229,-89.548,-17.25638593,-23.85652403,-19.01226388,0,0,0,0,796.7415705,-15.81909468,-23.50440256,-18.32098949,-16.69242532,-16.76279054,-12.20627936,96.74157053,96.74157053,96.74157053,0,0,0
n771,43.2158,-89.4305,-16.01969108,-22.67184913,-17.84585327,0,0,0,0,797.446407,-15.40773225,-22.89321534,-17.84447652,-16.69501548,-17.2611356,-12.59568866,97.44640704,97.44640704,97.44640704,0,0,0
n772,43.2229,-89.5568,-17.20947151,-23.69506584,-19.06539666,0,0,0,0,796.6742449,-15.76375012,-23.42217364,-18.29754017,-16.67080296,-16.71159805,-12.12951845,96.67424492,96.67424492,96.67424492,0,0,0
n773,43.2114,-89.3261,-15.10763086,-24.38267418,-19.33217149,0,0,0,0,797.3672116,-13.78876442,-20.46282437,-15.79481563,-17.24205937,-17.06689359,-12.51125679,97.36721165,97.36721165,97.36721165,0,0,0
n774,43.2197,-89.4937,-17.22091451,-23.57134187,-18.4987767,0,0,0,0,797.1441178,-15.79189476,-23.85735283,-18.6809302,-16.51372758,-16.91772377,-12.36840048,97.14411775,97.14411775,97.14411775,0,0,0
n775,43.2195,-89.4903,-17.13936803,-23.48888367,-18.4163185,0,0,0,0,797.1654143,-15.76393449,-23.93981102,-18.76331712,-16.5257227,-16.93386392,-12.3833989,97.16541432,97.16541432,97.16541432,0,0,0
n776,43.2183,-89.4591,-16.4045099,-23.13148058,-18.19063251,0,0,0,0,797.3239115,-15.85953978,-23.56449441,-18.40872465,-16.60457221,-17.12094812,-12.57272007,97.32391152,97.32391152,97.32391152,0,0,0
n777,43.2158,-89.4135,-15.97567582,-22.54112098,-17.72391344,0,0,0,0,797.4695521,-15.13141311,-22.48267048,-17.52879414,-16.77251976,-17.3285458,-12.57228937,97.46955206,97.46955206,97.46955206,0,0,0
n778,43.2139,-89.3939,-15.79261314,-22.8081142,-17.97821846,0,0,0,0,797.5063324,-14.87132614,-22.06174118,-17.26169041,-16.8949374,-17.39750045,-12.49383581,97.5063324,97.5063324,97.5063324,0,0,0
n779,43.2135,-89.3743,-15.80300246,-23.25615486,-18.34621695,0,0,0,0,797.4910048,-14.50554317,-21.61138519,-16.88290772,-17.07676982,-17.28129919,-12.42045002,97.49100479,97.49100479,97.49100479,0,0,0
n780,43.2198,-89.4873,-17.06616712,-23.56208458,-18.48951941,0,0,0,0,797.1760213,-15.8371354,-24.00795201,-18.83158414,-16.52040484,-16.95288599,-12.40453675,97.1760213,97.1760213,97.1760213,0,0,0
n781,43.2119,-89.3204,-15.0479653,-24.50360256,-19.25540997,0,-0.09540618,-0.09540618,-0.09540618,797.3310885,-13.67853924,-20.32404375,-15.65601257,-17.26207431,-17.14092189,-12.58445073,97.33108853,97.33108853,97.33108853,-0.09540618,-0.09540618,-0.09540618
n782,43.2231,-89.5734,-17.12463193,-23.44933123,-19.45779488,0,0,0,0,796.5379414,-15.58499011,-23.15657857,-18.09005077,-16.85120642,-16.58622357,-11.96829531,96.53794142,96.53794142,96.53794142,0,0,0
n783,43.22,-89.5329,-17.37563791,-23.63091942,-18.68796482,0,0,0,0,796.8939433,-15.8643989,-23.77540419,-18.57349256,-16.66039464,-16.78130754,-12.23084251,96.89394333,96.89394333,96.89394333,0,0,0
n784,43.2044,-89.213,-15.00569387,-22.51817922,-17.59176507,0,0,0,0,796.6377132,-12.3217047,-18.30810872,-14.30230696,-16.82865342,-17.16269838,-12.74098976,96.63771316,96.63771316,96.63771316,0,0,0
n785,43.216,-89.451,-16.27164446,-23.08923996,-18.14603092,0,0,0,0,797.3906487,-15.67727153,-23.38691898,-18.21214694,-16.60082759,-17.14926211,-12.59879709,97.39064868,97.39064868,97.39064868,0,0,0
n786,43.2128,-89.3988,-15.82241585,-22.68516753,-17.85662347,0,0,0,0,797.5273904,-14.97734458,-22.18479836,-17.38474759,-16.82963767,-17.42931463,-12.48532607,97.52739038,97.52739038,97.52739038,0,0,0
