,Latitude,Longitude,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
n1,43.1702003,-89.5497971,-17.76165926,-24.18882005,-18.98952596,0,0,0,0,797.4242059,-16.59342027,-24.58999376,-19.11593928,-16.45344004,-15.8834369,-11.33034218,97.42420586,97.42420586,97.42420586,0,0,0
n2,43.1697998,-89.5447998,-17.787439,-24.30714191,-19.09896272,0,0,0,0,797.4767111,-16.51308772,-24.60175621,-19.1304352,-16.40573282,-15.88072643,-11.33031058,97.47671114,97.47671114,97.47671114,0,0,0
n3,43.1987991,-89.5868988,-17.51412526,-23.67011634,-19.30694585,0,0,0,0,796.7296543,-15.85640987,-23.64130543,-18.38333147,-16.67485891,-16.37061467,-11.79845267,96.72965432,96.72965432,96.72965432,0,0,0
n4,43.153801,-89.5569992,-17.28533255,-24.50357052,-19.25918166,0,0,0,0,797.5325823,-17.12037218,-25.09606283,-19.52721762,-16.55618517,-15.59831782,-11.04771393,97.53258227,97.53258227,97.53258227,0,0,0
n5,43.1529999,-89.5457001,-17.56005921,-24.51699138,-19.23190042,0,0,0,0,797.6586234,-16.87494574,-25.15864242,-19.61519771,-16.40966428,-15.58454959,-11.03404307,97.65862337,97.65862337,97.65862337,0,0,0
n6,43.1259995,-89.5635986,-18.22130383,-24.70133682,-19.2419824,0,0,0,0,797.7028444,-16.72200279,-25.66899947,-20.07238114,-16.20792462,-15.25262106,-10.70215604,97.70284444,97.70284444,97.70284444,0,0,0
n7,43.1259995,-89.574501,-18.30021859,-24.55213075,-19.03036275,0,0,0,0,797.573569,-16.86678881,-25.40612478,-19.80850507,-16.16657725,-15.33182111,-10.77937525,97.57356897,97.57356897,97.57356897,0,0,0
n8,43.1226006,-89.5328979,-18.47342046,-24.94558606,-19.56940324,0,0,0,0,798.0864601,-16.41911883,-25.51848362,-19.95440273,-16.141465,-15.35420686,-10.80374184,98.08646009,98.08646009,98.08646009,0,0,0
n9,43.148201,-89.4681015,-16.79394417,-24.13260526,-18.8608528,0,0,0,0,798.414561,-16.71056292,-24.10460111,-18.7903316,-15.4044972,-16.2192739,-11.62322923,98.414561,98.414561,98.414561,0,0,0
n10,43.1609993,-89.4651031,-16.60473807,-23.86416728,-18.67635983,0,0,0,0,798.2389125,-16.28007521,-23.87340107,-18.61705055,-15.63420642,-16.34552025,-11.71792287,98.23891249,98.23891249,98.23891249,0,0,0
n11,43.1478004,-89.4598999,-16.99288486,-23.95186967,-18.67445517,0,0,0,0,798.4758393,-16.51163741,-23.92320667,-18.7191792,-15.50181526,-16.30357026,-11.5628642,98.4758393,98.4758393,98.4758393,0,0,0
n12,43.1488991,-89.4518967,-17.00173777,-23.87259288,-18.6230528,0,0,0,0,798.5070577,-16.32176337,-23.73344777,-18.72292206,-15.58078189,-16.31960623,-11.53410006,98.50705773,98.50705773,98.50705773,0,0,0
n13,43.1666985,-89.4717026,-16.75588682,-23.84990601,-18.68801519,0,0,0,0,798.1097192,-16.11135122,-23.86570038,-18.69214133,-15.71416148,-16.35828178,-11.76233623,98.10971923,98.10971923,98.10971923,0,0,0
n14,43.1696014,-89.5307007,-17.89383271,-24.37808592,-19.11901986,0,0,0,0,797.6098026,-16.55452456,-24.65965306,-19.24141844,-16.24739091,-15.91781866,-11.36715093,97.60980259,97.60980259,97.60980259,0,0,0
n15,43.1780014,-89.4785995,-17.07567993,-23.57617304,-18.44910585,0,0,0,0,797.8915359,-16.13932239,-24.07951641,-18.8557784,-15.93303765,-16.40865397,-11.83956276,97.89153592,97.89153592,97.89153592,0,0,0
n16,43.2196999,-89.441803,-16.02561787,-22.90899757,-17.94470512,0,0,0,0,797.3531862,-15.68550496,-23.14774862,-18.06281685,-16.71415129,-17.27082194,-12.67366209,97.3531862,97.3531862,97.3531862,0,0,0
n17,43.2248001,-89.5178986,-17.74876049,-23.72474178,-18.59446509,0,0,0,0,796.9217768,-15.83384862,-23.87577946,-18.67407884,-16.69891845,-16.88173036,-12.33594659,96.92177684,96.92177684,96.92177684,0,0,0
n18,43.2354012,-89.5203018,-17.96961186,-23.79552717,-18.62168025,0,0,0,0,796.7424448,-15.82914082,-23.72052281,-18.53248653,-16.62917429,-17.01799871,-12.48505554,96.74244476,96.74244476,96.74244476,0,0,0
n19,43.1635017,-89.4608002,-16.47158148,-23.91127649,-18.67333233,0,0,0,0,798.2244581,-16.31295992,-23.75832386,-18.60991658,-15.69112785,-16.41563086,-11.7563783,98.22445815,98.22445815,98.22445815,0,0,0
n20,43.1959991,-89.4356003,-15.87648977,-22.80704129,-17.79559906,0,0,0,0,797.7800283,-15.56313974,-22.88234444,-17.67511678,-16.34840506,-17.04363819,-12.26206745,97.78002826,97.78002826,97.78002826,0,0,0
n21,43.1968002,-89.5034027,-17.51636908,-23.64937359,-18.45234549,0,0,0,0,797.4439749,-15.94405163,-24.08650366,-18.83721394,-16.31290113,-16.49817334,-11.94770832,97.4439749,97.4439749,97.4439749,0,0,0
n22,43.2714996,-89.3850021,-16.04262823,-23.15292578,-18.34917903,0,0,0,0,796.4828447,-14.63706094,-21.70509627,-16.98525806,-17.44687444,-17.80901762,-13.13153497,96.48284475,96.48284475,96.48284475,0,0,0
n23,43.273201,-89.382103,-16.13089611,-23.22058635,-18.42430751,0,0,0,0,796.4503925,-14.54712533,-21.62612185,-16.90152662,-17.45648378,-17.77660026,-13.14114432,96.45039252,96.45039252,96.45039252,0,0,0
n24,43.2653999,-89.4016037,-15.59346868,-22.74498698,-17.94124023,0,0,0,0,796.5969947,-15.08455276,-22.11303507,-17.28854422,-17.64828994,-17.8953228,-13.25987421,96.5969947,96.5969947,96.5969947,0,0,0
n25,43.277401,-89.3796005,-16.25748988,-23.27460011,-18.4671218,0,0,0,0,796.3739214,-14.51945181,-21.53004504,-16.84354628,-17.42375654,-17.82622186,-13.08659988,96.37392143,96.37392143,96.37392143,0,0,0
n26,43.2748985,-89.3725967,-16.3616877,-23.45590231,-18.64314042,0,0,0,0,796.409891,-14.3700806,-21.39034661,-16.66512441,-17.41519097,-17.72572934,-13.06911933,96.40989099,96.40989099,96.40989099,0,0,0
n27,43.283699,-89.4039001,-16.20302006,-22.67654012,-17.96623257,0,0,0,0,796.2730934,-14.66242076,-21.93332458,-17.11474303,-17.40950021,-17.82330784,-13.20399866,96.27309339,96.27309339,96.27309339,0,0,0
n28,43.2056999,-89.3778992,-16.07599082,-23.13430916,-18.33559605,0,0,0,0,797.6339544,-14.52812531,-21.71728899,-16.91723813,-16.93958776,-17.14796911,-12.35008597,97.63395441,97.63395441,97.63395441,0,0,0
n29,43.2350006,-89.3892975,-16.03734751,-23.31353667,-18.51116518,0,0,0,0,797.1306828,-14.60010836,-21.80800538,-16.98299905,-17.14352499,-17.54983666,-12.80969302,97.13068278,97.13068278,97.13068278,0,0,0
n30,43.2285004,-89.3223038,-14.58168844,-24.51771855,-19.20528783,0,0,0,0,797.0672059,-13.96009354,-20.28866446,-15.61225042,-17.54853094,-17.13676362,-12.64489124,97.06720585,97.06720585,97.06720585,0,0,0
n31,43.2387009,-89.3114014,-15.01055293,-24.6235402,-19.28546423,0,0,0,0,796.8483714,-13.531526,-20.00347196,-15.47128451,-17.34593688,-17.08585466,-12.68409676,96.84837141,96.84837141,96.84837141,0,0,0
n32,43.1954994,-89.3641968,-16.07308047,-23.54453159,-18.71856519,0,0,0,0,797.7815336,-14.2102919,-21.3254343,-16.58851182,-16.83394895,-17.10383074,-12.21620575,97.78153362,97.78153362,97.78153362,0,0,0
n33,43.2100983,-89.2738037,-15.90352208,-23.66278183,-18.44053534,0,0,0,0,797.0700396,-12.83882711,-19.21248225,-14.93314019,-17.29334547,-16.94702992,-12.72921893,97.07003958,97.07003958,97.07003958,0,0,0
n34,43.2444992,-89.3010025,-15.32105925,-24.3325741,-19.03253326,0,0,0,0,796.7024862,-13.24478472,-19.75580004,-15.3255195,-17.27035636,-17.10240797,-12.66212364,96.70248624,96.70248624,96.70248624,0,0,0
n35,43.2033997,-89.5521011,-16.65895044,-23.62630872,-18.7093478,0,0,0,0,796.9814358,-16.37865304,-23.9219019,-18.71343118,-16.86333845,-16.45035469,-11.88003973,96.98143579,96.98143579,96.98143579,0,0,0
n36,43.1949997,-89.5595016,-16.99011532,-23.79438379,-18.8884281,0,0,0,0,797.0284249,-16.21982188,-24.00493353,-18.81203797,-16.72351727,-16.28642591,-11.70525816,97.02842495,97.02842495,97.02842495,0,0,0
n37,43.1955986,-89.5334015,-17.17995157,-23.81214301,-18.66493065,0,0,0,0,797.2409289,-16.13308756,-23.99511743,-18.68998205,-16.58570991,-16.35125375,-11.80170681,97.24092889,97.24092889,97.24092889,0,0,0
n38,43.2266006,-89.3581009,-15.23350539,-23.77000325,-18.63047607,0,0,0,0,797.2269783,-14.71218125,-21.14010924,-16.33026304,-17.38875851,-17.42639388,-12.63157734,97.22697827,97.22697827,97.22697827,0,0,0
n39,43.1903,-89.4852982,-17.09317452,-23.59674234,-18.37530341,0,0,0,0,797.6588372,-15.97168083,-23.82835911,-18.5649225,-16.14401237,-16.52402814,-11.97341433,97.65883721,97.65883721,97.65883721,0,0,0
n40,43.2108994,-89.5988007,-17.81516915,-23.21183125,-19.43175597,0,0,0,0,796.471193,-15.53994018,-23.18061842,-18.04560853,-16.60190557,-16.47600756,-11.80445201,96.47119304,96.47119304,96.47119304,0,0,0
n41,43.2613983,-89.4776001,-17.43406172,-23.41730825,-18.57473582,0,0,0,0,796.5251299,-15.22391871,-22.76911095,-17.73901956,-16.96302567,-17.53278413,-12.91166062,96.52512991,96.52512991,96.52512991,0,0,0
n42,43.2691994,-89.4738998,-17.34431344,-23.51080269,-18.70705593,0,0,0,0,796.4053334,-14.99566514,-22.49565971,-17.5103272,-17.07476919,-17.65379492,-13.03216219,96.40533342,96.40533342,96.40533342,0,0,0
n43,43.2001991,-89.3651962,-15.980498,-23.48101837,-18.6639633,0,0,0,0,797.7029228,-14.22525325,-21.38826938,-16.72630034,-16.91279108,-17.18514977,-12.27159606,97.70292283,97.70292283,97.70292283,0,0,0
n44,43.1855011,-89.3672028,-16.37420267,-23.42279563,-18.65899747,0,0,0,0,797.9626219,-14.35348323,-21.38830156,-16.67343265,-16.6529652,-17.02395477,-12.05923566,97.96262186,97.96262186,97.96262186,0,0,0
n45,43.2596016,-89.3796005,-16.158726,-23.22232419,-18.49561549,0,0,0,0,796.6878003,-14.53166435,-21.55303026,-16.85173838,-17.45227912,-17.68830028,-13.08121905,96.68780026,96.68780026,96.68780026,0,0,0
n46,43.2755013,-89.3908997,-16.0167015,-23.01340121,-18.23868564,0,0,0,0,796.4158062,-14.66131995,-21.80866526,-17.01545095,-17.46046173,-17.82260491,-13.14512226,96.41580618,96.41580618,96.41580618,0,0,0
n47,43.2813988,-89.3864975,-16.23750317,-23.10366299,-18.25421275,0,0,0,0,796.30905,-14.5109071,-21.6269463,-16.85837884,-17.39076787,-17.81810246,-13.12601335,96.30904996,96.30904996,96.30904996,0,0,0
n48,43.263401,-89.2769012,-16.17665704,-24.01583576,-18.81034845,0,0,0,0,796.2697584,-13.00733591,-19.3786559,-14.93452168,-17.30839036,-17.11729371,-12.68977309,96.26975839,96.26975839,96.26975839,0,0,0
n49,43.2681999,-89.2759018,-16.29552336,-24.1252279,-18.81649535,0,0,0,0,796.1875095,-13.05906065,-19.47025195,-15.02611773,-17.35724159,-17.15683034,-12.69255742,96.18750953,96.18750953,96.18750953,0,0,0
n50,43.2667999,-89.2598038,-16.06653048,-23.77516687,-18.59057772,0,0,0,0,796.1167438,-13.0133654,-19.28201304,-14.93602602,-17.32169366,-17.11399029,-12.61161137,96.11674381,96.11674381,96.11674381,0,0,0
n51,43.2683983,-89.2522964,-16.16830063,-23.68958402,-18.50171581,0,0,0,0,796.0456134,-12.92450349,-19.15146646,-14.86310611,-17.39050477,-17.04104734,-12.57272075,96.04561336,96.04561336,96.04561336,0,0,0
n52,43.2522011,-89.2656021,-16.0604483,-23.66331173,-18.59425438,0,0,0,0,796.3793632,-12.71777414,-19.05819197,-14.84538435,-17.25890267,-17.07404943,-12.58831887,96.37936325,96.37936325,96.37936325,0,0,0
n53,43.2472,-89.300499,-15.39560201,-24.28301238,-18.98899935,0,0,0,0,796.6559715,-13.33519871,-19.71540239,-15.3561359,-17.26955997,-17.10161158,-12.63950067,96.65597152,96.65597152,96.65597152,0,0,0
n54,43.2389984,-89.2916031,-15.40132673,-24.2190985,-18.93284391,0,0,0,0,796.7409526,-13.14653842,-19.6063632,-15.29194253,-17.2549759,-17.09450206,-12.65501377,96.74095259,96.74095259,96.74095259,0,0,0
n55,43.2113991,-89.2805023,-15.74053105,-23.8297713,-18.57735711,0,0,0,0,797.0983229,-12.93146433,-19.36156447,-15.02597361,-17.23656039,-16.94249089,-12.68682212,97.0983229,97.0983229,97.0983229,0,0,0
n56,43.1817017,-89.5662003,-17.38394448,-24.1708638,-18.93526343,0,0,0,0,797.1307921,-16.37082495,-24.39446306,-19.09172544,-16.61988394,-16.03955551,-11.45526366,97.13079215,97.13079215,97.13079215,0,0,0
n57,43.1757011,-89.5598984,-17.47418359,-23.92014249,-18.68454213,0,0,0,0,797.2621426,-16.39051708,-24.64518405,-19.32493614,-16.51483562,-15.98733895,-11.43687392,97.26214257,97.26214257,97.26214257,0,0,0
n58,43.1832008,-89.5538025,-17.31965208,-24.2093421,-18.97374173,0,0,0,0,797.2289783,-16.37053129,-24.35749318,-19.08702636,-16.51589435,-16.10351905,-11.53554767,97.22897833,97.22897833,97.22897833,0,0,0
n59,43.1701012,-89.5677032,-17.45737156,-23.9315818,-18.71250742,0,0,0,0,797.2487479,-16.61302344,-24.66765646,-19.36597631,-16.53461097,-15.90947652,-11.3590115,97.24874793,97.24874793,97.24874793,0,0,0
n60,43.2052002,-89.5856018,-17.4442453,-23.57839094,-19.52158855,0,0,0,0,796.6636424,-15.74685728,-23.48587081,-18.26405104,-16.61337494,-16.46727721,-11.81592138,96.66364242,96.66364242,96.66364242,0,0,0
n61,43.2067986,-89.5863037,-17.48380621,-23.53172311,-19.54387738,0,0,0,0,796.6373555,-15.80252972,-23.43193504,-18.31972348,-16.64306691,-16.4709723,-11.8350768,96.63735551,96.63735551,96.63735551,0,0,0
n62,43.2117996,-89.5792007,-17.3474631,-23.56291872,-19.41198626,0,0,0,0,796.6378973,-15.69432584,-23.36010194,-18.20196472,-16.68663465,-16.51064182,-11.88014557,96.63789728,96.63789728,96.63789728,0,0,0
n63,43.1534996,-89.5519028,-17.40904094,-24.60199307,-19.38291869,0,0,0,0,797.5890952,-17.02596402,-25.13380615,-19.63570358,-16.49019287,-15.58672312,-11.0336284,97.58909517,97.58909517,97.58909517,0,0,0
n64,43.1405983,-89.5477982,-17.77665896,-24.67748798,-19.23329996,0,0,0,0,797.7612304,-16.70347895,-25.5731503,-20.01854403,-16.29414441,-15.36368365,-10.81321862,97.76123039,97.76123039,97.76123039,0,0,0
n65,43.1389008,-89.5539017,-17.75068683,-24.83559319,-19.39140518,0,0,0,0,797.7095783,-16.72581276,-25.5437831,-19.94556917,-16.28955763,-15.33169028,-10.78122361,97.70957825,97.70957825,97.70957825,0,0,0
n66,43.1297989,-89.5431976,-18.14628565,-24.92132793,-19.46429061,0,0,0,0,797.9092882,-16.55514065,-25.86373731,-20.29469422,-16.12378487,-15.22915397,-10.67868895,97.90928819,97.90928819,97.90928819,0,0,0
n67,43.1263008,-89.5513992,-18.1730251,-24.99686312,-19.51596537,0,0,0,0,797.8434607,-16.5290137,-25.9637589,-20.36790744,-16.17766499,-15.10649681,-10.55603179,97.84346074,97.84346074,97.84346074,0,0,0
n68,43.1394997,-89.5828018,-17.86887012,-24.29995294,-19.28573132,0,0,0,0,797.3765669,-16.84134987,-25.12294079,-20.05142267,-16.22475347,-15.57437427,-11.02390925,97.37656695,97.37656695,97.37656695,0,0,0
n69,43.1242981,-89.5355988,-18.39264802,-25.02168191,-19.6205684,0,0,0,0,798.0416795,-16.42309144,-25.60469204,-20.04069968,-16.17167458,-15.31324318,-10.76081759,98.04167945,98.04167945,98.04167945,0,0,0
n70,43.1228981,-89.5306015,-18.41926664,-24.91462692,-19.5135134,0,0,0,0,798.110334,-16.42803597,-25.48258447,-19.94645259,-16.11464725,-15.38171703,-10.82457923,98.11033397,98.11033397,98.11033397,0,0,0
n71,43.1263008,-89.5169983,-18.07683817,-24.56646883,-19.16535532,0,0,0,0,798.2325131,-16.34878318,-25.42530992,-19.91909994,-15.98199987,-15.55069483,-11.00022981,98.23251309,98.23251309,98.23251309,0,0,0
n72,43.1293983,-89.4878998,-17.49634949,-24.01793168,-18.75322579,0,0,0,0,798.5009326,-16.32716637,-24.7623572,-19.40940782,-15.70871307,-15.92823472,-11.37776969,98.50093264,98.50093264,98.50093264,0,0,0
n73,43.1360016,-89.4901962,-17.40714942,-24.0094346,-18.75695132,0,0,0,0,798.3997092,-16.43179175,-24.75442887,-19.41521219,-15.69819506,-15.91513423,-11.36466921,98.39970918,98.39970918,98.39970918,0,0,0
n74,43.1399994,-89.5052032,-17.65857892,-24.35279338,-19.14366267,0,0,0,0,798.2093421,-16.47203106,-24.90344328,-19.4796044,-15.844407,-15.74793667,-11.19893027,98.20934207,98.20934207,98.20934207,0,0,0
n75,43.1408997,-89.5356979,-17.86317967,-24.81517246,-19.45740725,0,0,0,0,797.8887202,-16.60610444,-25.45317798,-19.88413489,-16.20312415,-15.43483181,-10.88436646,97.8887202,97.8887202,97.8887202,0,0,0
n76,43.1486015,-89.5262985,-17.79693307,-24.5638176,-19.20605238,0,0,0,0,797.9033672,-16.53932722,-25.1215568,-19.59373046,-16.14938976,-15.61705729,-11.06659123,97.90336719,97.90336719,97.90336719,0,0,0
n77,43.1553993,-89.5304031,-17.75892803,-24.31740988,-18.95964467,0,0,0,0,797.7851404,-16.53244675,-25.12847944,-19.67097338,-16.211762,-15.6882976,-11.13783257,97.7851404,97.7851404,97.7851404,0,0,0
n78,43.1519012,-89.5138016,-17.63723039,-24.49235029,-19.21723042,0,0,0,0,797.9850997,-16.63410309,-24.84348893,-19.37638002,-15.99763065,-15.76930241,-11.21855835,97.98509975,97.98509975,97.98509975,0,0,0
n79,43.1489983,-89.4925003,-17.23004738,-23.96836462,-18.75923391,0,0,0,0,798.212556,-16.24703235,-24.48115318,-19.05107286,-15.71974502,-15.95621315,-11.41303431,98.21255603,98.21255603,98.21255603,0,0,0
n80,43.1484985,-89.4857025,-17.10879749,-23.80301196,-18.59388125,0,0,0,0,798.276052,-16.33594425,-24.50693349,-19.21642553,-15.63174729,-16.04115343,-11.4906884,98.27605202,98.27605202,98.27605202,0,0,0
n81,43.1576004,-89.4906998,-17.19809535,-24.12826197,-18.91913126,0,0,0,0,798.109864,-16.20423515,-24.29577234,-18.99930395,-15.73801324,-16.06598944,-11.50210431,98.10986403,98.10986403,98.10986403,0,0,0
n82,43.1371994,-89.4744034,-17.18948609,-24.26699696,-19.05786625,0,0,0,0,798.5230686,-16.4016723,-24.37007852,-19.10208099,-15.61545289,-16.03856282,-11.46280827,98.52306864,98.52306864,98.52306864,0,0,0
n83,43.1633987,-89.4853973,-17.00519522,-24.01394683,-18.86349513,0,0,0,0,798.0670353,-16.14813036,-24.0818291,-18.78917165,-15.74934979,-16.18191532,-11.60190872,98.06703528,98.06703528,98.06703528,0,0,0
n84,43.1635017,-89.490303,-17.07360661,-24.03847644,-18.88802474,0,0,0,0,798.0292352,-16.17870575,-24.167664,-18.81925206,-15.79853513,-16.13365741,-11.56907744,98.02923516,98.02923516,98.02923516,0,0,0
n85,43.1629982,-89.520401,-17.69159764,-24.09109037,-18.8159705,0,0,0,0,797.7862266,-16.49351429,-24.85185493,-19.48720494,-16.10597085,-15.86914566,-11.31868064,97.78622659,97.78622659,97.78622659,0,0,0
n86,43.1762009,-89.5140991,-17.53700219,-23.95351134,-18.69037416,0,0,0,0,797.664529,-16.30670065,-24.667266,-19.31607907,-16.17763499,-16.11206368,-11.56159924,97.66452902,97.66452902,97.66452902,0,0,0
n87,43.1660995,-89.5354004,-17.73127941,-24.46830946,-19.1931896,0,0,0,0,797.610018,-16.47254944,-24.75352069,-19.2988074,-16.30715437,-15.83976885,-11.28974189,97.61001796,97.61001796,97.61001796,0,0,0
n88,43.1707001,-89.5366974,-17.74424436,-24.50542799,-19.26672245,0,0,0,0,797.5414012,-16.47759278,-24.59856026,-19.24852534,-16.30858903,-15.91457973,-11.36413633,97.54140124,97.54140124,97.54140124,0,0,0
n89,43.1744995,-89.5409012,-17.60522902,-24.38143705,-19.14583668,0,0,0,0,797.4555655,-16.40580742,-24.44879192,-19.08657578,-16.39496213,-15.9697635,-11.41929848,97.45556545,97.45556545,97.45556545,0,0,0
n90,43.1773987,-89.5261993,-17.6203651,-24.24890868,-18.9857715,0,0,0,0,797.5480574,-16.36476585,-24.43647354,-19.02068174,-16.29480407,-16.06654701,-11.5157631,97.54805736,97.54805736,97.54805736,0,0,0
n91,43.1804008,-89.5279007,-17.56045461,-24.25660827,-19.05213996,0,0,0,0,797.4935681,-16.38692771,-24.37656305,-19.051108,-16.35106425,-16.11053015,-11.55965831,97.4935681,97.4935681,97.4935681,0,0,0
n92,43.1785011,-89.5472031,-17.49299976,-24.24098825,-19.00538789,0,0,0,0,797.3479799,-16.31100362,-24.36715119,-19.0247616,-16.50203372,-16.03160509,-11.48008752,97.34797993,97.34797993,97.34797993,0,0,0
n93,43.1908989,-89.5143967,-17.210531,-23.80725633,-18.61022823,0,0,0,0,797.4540573,-16.04291007,-24.21639421,-18.87207268,-16.35800316,-16.34511565,-11.79426369,97.45405729,97.45405729,97.45405729,0,0,0
n94,43.1913986,-89.5082016,-17.30288442,-23.65651331,-18.4594852,0,0,0,0,797.4917314,-15.97204305,-24.2997258,-19.02281571,-16.30252295,-16.38603241,-11.83556739,97.4917314,97.4917314,97.4917314,0,0,0
n95,43.1767998,-89.4833984,-16.95293961,-23.56677906,-18.41632736,0,0,0,0,797.8799049,-16.13864035,-24.20225567,-18.97767643,-15.93722242,-16.35891222,-11.80844719,97.87990493,97.87990493,97.87990493,0,0,0
n96,43.1801987,-89.4834976,-16.93905547,-23.67955386,-18.52910216,0,0,0,0,797.8270241,-16.04779475,-24.09203317,-18.86745393,-15.99736898,-16.39500661,-11.84143443,97.82702414,97.82702414,97.82702414,0,0,0
n97,43.2262993,-89.5859985,-17.21788609,-23.14190768,-19.78012824,0,0,0,0,796.3891139,-15.33747879,-22.85198969,-17.78106309,-16.75273005,-16.57563461,-11.85868532,96.38911393,96.38911393,96.38911393,0,0,0
n98,43.2167015,-89.5633011,-17.08949956,-23.77282692,-19.15123417,0,0,0,0,796.708235,-15.86093782,-23.48006325,-18.36762787,-16.70239153,-16.57357202,-11.99149242,96.70823504,96.70823504,96.70823504,0,0,0
n99,43.2186012,-89.5201035,-17.56658924,-23.51252598,-18.38224929,0,0,0,0,797.0024369,-15.9770924,-24.08820628,-18.88629465,-16.66843362,-16.78864913,-12.2381841,97.00243695,97.00243695,97.00243695,0,0,0
n100,43.2188988,-89.4841003,-16.98817576,-23.53381467,-18.42627288,0,0,0,0,797.2067456,-15.76783954,-24.09087725,-18.91450939,-16.51495007,-16.96062928,-12.41016426,97.20674557,97.20674557,97.20674557,0,0,0
n101,43.2192993,-89.4787979,-16.88173023,-23.60881202,-18.55513967,0,0,0,0,797.2256292,-15.77566085,-23.96201047,-18.78585877,-16.55245777,-16.99925856,-12.43005162,97.22562918,97.22562918,97.22562918,0,0,0
n102,43.2139015,-89.4787979,-16.81252354,-23.5038498,-18.3842235,0,0,0,0,797.3144528,-15.86019966,-24.06254635,-18.87260094,-16.4628443,-16.91743911,-12.36697409,97.31445284,97.31445284,97.31445284,0,0,0
n103,43.2144012,-89.4497986,-16.26767693,-23.14070547,-18.20596528,0,0,0,0,797.4218674,-15.65929143,-23.36143562,-18.19999555,-16.58462449,-17.13981134,-12.57706134,97.42186744,97.42186744,97.42186744,0,0,0
n104,43.2071991,-89.4354019,-16.02712658,-22.7615088,-17.94442787,0,0,0,0,797.5860299,-15.33327479,-22.9901996,-17.82026336,-16.53031733,-17.11333412,-12.45011654,97.58602992,97.58602992,97.58602992,0,0,0
n105,43.2075005,-89.4244995,-15.85561686,-22.49788072,-17.68079979,0,0,0,0,797.6024546,-15.29254011,-22.73269594,-17.5953112,-16.58344361,-17.25402465,-12.43892523,97.60245463,97.60245463,97.60245463,0,0,0
n106,43.2074013,-89.4147034,-15.88599161,-22.26100189,-17.44392096,0,0,0,0,797.6167473,-15.05566128,-22.608964,-17.80891323,-16.64520704,-17.38027114,-12.42534844,97.61674727,97.61674727,97.61674727,0,0,0
n107,43.225399,-89.4225998,-16.05344126,-22.88780314,-18.0707222,0,0,0,0,797.2906124,-15.18429194,-22.65650369,-17.67428682,-16.89105866,-17.4554585,-12.74574298,97.29061242,97.29061242,97.29061242,0,0,0
n108,43.2275009,-89.4402008,-16.22522373,-22.98579793,-18.05105773,0,0,0,0,797.2215911,-15.48180303,-23.04664838,-18.06486133,-16.82260725,-17.37183505,-12.80736663,97.2215911,97.2215911,97.2215911,0,0,0
n109,43.2242012,-89.4461975,-16.19420725,-22.80416335,-17.86942315,0,0,0,0,797.2636146,-15.59150974,-23.22828296,-18.24606608,-16.72573547,-17.3070155,-12.75655047,97.26361463,97.26361463,97.26361463,0,0,0
n110,43.2290001,-89.4532013,-16.4201413,-23.03654307,-18.10180287,0,0,0,0,797.1606043,-15.56136794,-23.27226318,-18.14462564,-16.78361876,-17.32152111,-12.7710551,97.1606043,97.1606043,97.1606043,0,0,0
n111,43.2265015,-89.4605026,-16.53081408,-23.15825869,-18.22351849,0,0,0,0,797.1794445,-15.75069995,-23.46719508,-18.29082721,-16.68005242,-17.23155229,-12.68156718,97.17944451,97.17944451,97.17944451,0,0,0
n112,43.2305984,-89.4702988,-16.78873287,-23.37354486,-18.39387011,0,0,0,0,797.0736125,-15.58138736,-23.5791178,-18.40792858,-16.67215421,-17.22708873,-12.65139583,97.07361247,97.07361247,97.07361247,0,0,0
n113,43.2271996,-89.4910965,-17.21612664,-23.41823042,-18.29678068,0,0,0,0,797.0364061,-15.67029939,-23.94950622,-18.75751209,-16.60818055,-17.05376265,-12.50329763,97.03640606,97.03640606,97.03640606,0,0,0
n114,43.2233009,-89.4953003,-17.25856613,-23.58270229,-18.46125255,0,0,0,0,797.0776129,-15.70601938,-23.80583176,-18.63056068,-16.58054895,-16.96604432,-12.4155793,97.07761288,97.07761288,97.07761288,0,0,0
n115,43.223999,-89.4994965,-17.35972319,-23.64735371,-18.52590397,0,0,0,0,797.0435478,-15.71348566,-23.72274996,-18.5283888,-16.57325141,-16.94141637,-12.38446343,97.04354776,97.04354776,97.04354776,0,0,0
n116,43.2232018,-89.507103,-17.48247717,-23.82722954,-18.7057798,0,0,0,0,797.0126584,-15.82448863,-23.79105764,-18.60330503,-16.58746024,-16.88487242,-12.34685217,97.01265844,97.01265844,97.01265844,0,0,0
n117,43.2308006,-89.5151978,-17.79502543,-23.93422318,-18.80394649,0,0,0,0,796.8452012,-15.82490949,-23.66650907,-18.46459744,-16.62664451,-16.99345378,-12.38783766,96.84520125,96.84520125,96.84520125,0,0,0
n118,43.2331009,-89.5223999,-17.87803474,-23.83122514,-18.71329803,0,0,0,0,796.765252,-15.83700789,-23.7792512,-18.59121493,-16.63309699,-17.00075095,-12.47717217,96.76525201,96.76525201,96.76525201,0,0,0
n119,43.2299995,-89.5406036,-17.54995942,-23.97932085,-18.87666176,0,0,0,0,796.6915085,-15.7720284,-23.52146111,-18.35435377,-16.57997162,-16.91463856,-12.36248499,96.69150855,96.69150855,96.69150855,0,0,0
