#supply,node,product,amount (kg/week),time,price ($/tonne)
s263,dairy060,p3,7865.58129,1,0
s264,dairy061,p3,3146.232516,1,0
s265,dairy062,p3,7865.58129,1,0
s266,dairy063,p3,7865.58129,1,0
s267,dairy064,p3,3932.790645,1,0
s268,dairy065,p3,7865.58129,1,0
s269,dairy066,p3,27529.53452,1,0
s270,dairy067,p3,15731.16258,1,0
s271,dairy068,p3,47193.48774,1,0
s272,dairy069,p3,7865.58129,1,0
s273,dairy070,p3,5505.906903,1,0
s274,dairy071,p3,3932.790645,1,0
s275,dairy072,p3,76689.41758,1,0
s276,dairy073,p3,7865.58129,1,0
s277,dairy074,p3,7865.58129,1,0
s278,dairy075,p3,7865.58129,1,0
s279,dairy076,p3,7865.58129,1,0
s280,dairy077,p3,11798.37194,1,0
s281,dairy078,p3,15731.16258,1,0
s282,dairy079,p3,3932.790645,1,0
s283,dairy080,p3,3932.790645,1,0
s284,dairy081,p3,7865.58129,1,0
s285,dairy082,p3,23596.74387,1,0
s286,dairy083,p3,3932.790645,1,0
s287,dairy084,p3,3932.790645,1,0
s288,dairy085,p3,19663.95323,1,0
s289,dairy086,p3,233922.3876,1,0
s290,dairy087,p3,7865.58129,1,0
s291,dairy088,p3,15731.16258,1,0
s292,dairy089,p3,39327.90645,1,0
s293,dairy090,p3,13764.76726,1,0
s294,dairy091,p3,5505.906903,1,0
s295,dairy092,p3,31462.32516,1,0
s296,dairy093,p3,15731.16258,1,0
s297,dairy094,p3,3932.790645,1,0
s298,dairy095,p3,31462.32516,1,0
s299,dairy096,p3,15731.16258,1,0
s300,dairy097,p3,15731.16258,1,0
s301,dairy098,p3,27529.53452,1,0
s302,dairy099,p3,31462.32516,1,0
s303,dairy100,p3,1966.395323,1,0
s304,dairy101,p3,3932.790645,1,0
s305,dairy102,p3,11798.37194,1,0
s306,dairy103,p3,33035.44142,1,0
s307,dairy104,p3,11798.37194,1,0
s308,dairy105,p3,74723.02226,1,0
s309,dairy106,p3,11798.37194,1,0
s310,dairy107,p3,19663.95323,1,0
s311,dairy108,p3,7865.58129,1,0
s312,dairy109,p3,31462.32516,1,0
s313,dairy110,p3,3932.790645,1,0
s314,dairy111,p3,15731.16258,1,0
s315,dairy112,p3,23596.74387,1,0
s316,dairy113,p3,15731.16258,1,0
s317,dairy114,p3,23596.74387,1,0
s318,dairy115,p3,15731.16258,1,0
s319,dairy116,p3,9831.976613,1,0
s320,dairy117,p3,19663.95323,1,0
s321,dairy118,p3,3932.790645,1,0
s322,dairy119,p3,7865.58129,1,0
s323,dairy120,p3,7865.58129,1,0
s324,dairy121,p3,7865.58129,1,0
s325,dairy122,p3,7865.58129,1,0
s326,dairy123,p3,7865.58129,1,0
s327,dairy124,p3,23596.74387,1,0
s328,dairy125,p3,11798.37194,1,0
s329,dairy126,p3,47193.48774,1,0
s330,dairy127,p3,7865.58129,1,0
s331,dairy128,p3,7865.58129,1,0
s332,dairy129,p3,15731.16258,1,0
s333,dairy130,p3,3932.790645,1,0
s334,dairy131,p3,2359.674387,1,0
s335,dairy132,p3,7865.58129,1,0
s336,dairy133,p3,1966.395323,1,0
s337,dairy134,p3,15731.16258,1,0
s338,dairy135,p3,23596.74387,1,0
s339,dairy136,p3,3932.790645,1,0
s340,dairy137,p3,3932.790645,1,0
s341,dairy138,p3,1573.116258,1,0
s342,dairy139,p3,3932.790645,1,0
s343,dairy140,p3,7865.58129,1,0
s344,dairy141,p3,7865.58129,1,0
s345,dairy142,p3,7865.58129,1,0
s346,dairy143,p3,3932.790645,1,0
s347,dairy144,p3,23596.74387,1,0
s348,dairy145,p3,15731.16258,1,0
s349,dairy146,p3,31462.32516,1,0
s350,dairy147,p3,1966.395323,1,0
s351,dairy148,p3,15731.16258,1,0
