#daily flow (m3),P (mg),N (mg)
2.0621905801320623e6,3.827222213475617e8,6.974147644981794e9
2.5431221463719704e6,4.700282547217954e8,8.565080005547989e9
1.9092393115614345e6,2.870398799173942e8,5.230578186689094e9
1.5560973061185484e6,2.1116664152902997e8,3.8479796927730217e9
1.9210607107483805e6,3.270325906526493e8,5.959344518595978e9
2.6067928106942493e6,4.9056285357504046e8,8.939271302120104e9
2.879117185993429e6,5.444877755734333e8,9.921917061325676e9
2.9689175106173707e6,4.632950686588352e8,8.442384663848519e9
2.9985296167452415e6,4.681266048335802e8,8.5304272303765335e9
2.9679765409505223e6,4.6150869081125253e8,8.4098324310178795e9
2.954601455267023e6,4.593264005668136e8,8.370065692845916e9
2.950190953875321e6,4.58606779445278e8,8.356952412063927e9
1.975736618926649e6,2.3919859704468384e8,4.358791413752748e9
1.518594625514945e6,1.629780759564605e8,2.9698645681281247e9
1.3095575634758798e6,1.3031036629250468e8,2.9901810889449487e9
2.0144328727793773e6,7.296677692516053e8,1.6743401364794521e10
2.6705833095403537e6,1.0049984464265155e9,2.306130689693619e10
2.9001524219983225e6,1.0957901141282177e9,2.514466784142169e10
2.896033307695893e6,1.086245299406003e9,2.492564670525371e10
1.9277554209616836e6,5.529043059917647e8,1.268727919973548e10
2.523198965042558e6,9.467098104388365e8,2.1723780328715816e10
2.8515516973446854e6,1.0608146580713092e9,2.434209970924533e10
2.9598276528829862e6,1.1030097703561113e9,2.5310334473597935e10
2.99553219069979e6,1.1169238196458828e9,2.5629614729195797e10
3.007305940599975e6,1.1215120469820597e9,2.5734898990170246e10
1.8717629334224164e6,3.747944111521219e8,8.600260994998018e9
1.3175688923618088e6,1.2372550202744508e8,2.8390807800527687e9
1.8667702451244206e6,6.458459037005178e8,1.4819973748542284e10
2.2745849462575396e6,4.0627122892968976e8,8.058964093302321e9
1.6003215532278824e6,1.9186219306120142e8,3.8058577980427237e9
1.398129175938486e6,1.7958845024293202e8,3.5623907602132277e9
2.3214344708447866e6,4.313600614321781e8,8.556636549245346e9
2.7817187902302956e6,5.243318131876886e8,1.0400862661596373e10
2.9367999025341e6,5.54989713272208e8,1.1009005444948503e10
2.3547104200092535e6,4.0232722033143234e8,7.980729107869638e9
2.653470013040371e6,3.815799209899755e8,7.569177098965921e9
2.887909114601272e6,4.203551764988035e8,8.338339101103042e9
2.8919960158540667e6,4.1792792787319505e8,8.290191193679646e9
2.3073681996902567e6,3.0138856023839384e8,5.978468107358022e9
2.4142652784654056e6,3.359783803083403e8,6.664606081419998e9
2.789229820251906e6,4.0531784040994304e8,8.040052284391197e9
2.939276702245693e6,4.281828741386794e8,8.493612548300318e9
2.988755411953737e6,5.740255137063763e8,9.537003436707987e9
3.00507126391842e6,5.773009986242462e8,9.591423162264978e9
2.325981160023159e6,3.9877988923723894e8,6.625428806446679e9
2.717216960782779e6,5.1951287756837326e8,8.63131686742062e9
1.8395730865402184e6,2.5693154097795212e8,4.2687248751086125e9
2.4043995536447624e6,4.526951479630934e8,7.52119039801679e9
2.725956207847854e6,5.172491763621533e8,8.59370716947531e9
1.739129618267274e6,2.2048367901166525e8,3.6631709815391006e9
2.3678799490727508e6,4.682592737652075e8,7.779776676361284e9
2.496920397232525e6,4.8065411181659865e8,7.985707615441497e9
2.4823801102378704e6,4.7549592774640024e8,7.900008255343337e9
2.768073154639982e6,5.523508380781786e8,9.176894955429943e9
2.929000129810549e6,5.882688787178048e8,9.773646264980885e9
2.651261012022955e6,5.1098243530357844e8,8.489589966344929e9
2.8640802924391893e6,5.548517323821467e8,1.0004469945317617e10
1.9649497439185628e6,2.9729327297628117e8,5.360461977232918e9
2.3155414065347128e6,4.313724256949825e8,7.778028284377532e9
2.7632752420679647e6,5.343987993569081e8,9.635685382158564e9
2.930718050293091e6,5.683722612973027e8,1.0248257100123354e10
2.9859331536713387e6,5.795751802702919e8,1.0450255687536802e10
3.004140610135946e6,5.832693988263978e8,1.0516865731912657e10
2.9698267940811673e6,4.996179270390555e8,9.008555337377108e9
2.995529401367588e6,5.059214370168138e8,9.122213225497492e9
3.0073050208037323e6,5.080000509552505e8,9.159692482497786e9
3.0111880902015856e6,5.086854842964062e8,9.172051454923933e9
3.0124685517543983e6,5.0891150936844105e8,9.176126887887533e9
3.0128907903549084e6,5.08986042266275e8,9.177470782288143e9
3.0130300256450037e6,5.0901061986206806e8,9.177913938187439e9
3.013075939178215e6,1.1808160289076774e9,2.5185092986540913e10
3.0130910793954004e6,1.1808222286074686e9,2.5185225217144077e10
2.0289997996762274e6,6.303242693081608e8,1.3443902306174284e10
3.125157943754258e6,5.833311142173654e8,1.2441606477087809e10
1.5186240998880486e6,4.1313687296282613e8,8.81161019753656e9
2.3948859781847605e6,9.2767618784213e8,1.9785987385195404e10
1.6218514034138613e6,3.447618412702898e8,7.353269957417033e9
1.680628124596034e6,5.942349426393774e8,1.2674169320066566e10
2.3891929732134333e6,9.807104369350064e8,2.0917130986041542e10
2.2751568349585785e6,8.777343454017365e8,1.8720800332353638e10
2.6017420693740416e6,1.0741957827502117e9,2.291103780098618e10
2.8675515103435507e6,1.2043115058931792e9,2.568621742773806e10
1.8645226718096149e6,3.978140494833952e8,8.484796600245874e9
1.2598642360406304e6,1.3186748001301114e8,2.8125420596642084e9
