#TIME,N(kg),P(kg),Rnat(mH2O),DIN (P),DIN (NP),DON (P),DON (NP),DIP (P),DIP (NP),DOP (P),DOP (NP)
1,49438.31841203365,2713.040217316904,1.4912355604173981,5428.940278125,40628.50980014657,1047.143475,485.66826723908105,299.1838500000003,1751.0471999401618,2.991838500000003,116.93669737411561
2,127276.26342580238,5546.626111935448,1.3893988398812793,5428.940278125,118076.6275218898,1047.143475,1416.4744376709157,299.1838500000003,4456.26695041489,2.991838500000003,288.62275789055275
3,53374.44641521813,2690.73068045733,1.5374146335247612,5428.940278125,44277.131775104644,1047.143475,528.4769830636928,299.1838500000003,1710.7888114725279,2.991838500000003,115.90014903993566
4,54768.79471544098,3296.4951444394337,1.578733225498359,5428.940278125,45439.69229633571,1047.143475,541.6342163303556,299.1838500000003,2260.62528313202,2.991838500000003,155.157822215282
5,63994.02410865944,3549.1330708043106,1.8486735888116164,5428.940278125,53156.28504899096,1047.143475,628.6338423226055,299.1838500000003,2386.952143692537,2.991838500000003,178.75272503835194
6,112206.69452709607,5260.868543115917,1.2198065521551205,5428.940278125,104072.30871417688,1047.143475,1256.628162326943,299.1838500000003,4272.15172185075,2.991838500000003,264.3136172047743
7,54340.62797773686,3304.283062076305,1.5829833823373634,5428.940278125,44994.43242519874,1047.143475,536.2546951808524,299.1838500000003,2266.1271929128848,2.991838500000003,155.7452793804639
8,45710.99383794759,2908.7486108451276,1.318987481427999,5428.940278125,37847.812630789034,1047.143475,455.2132544856568,299.1838500000003,2010.619589517339,2.991838500000003,127.64607519682171
9,65657.67762390284,3589.5895492804675,1.77979415639117,5428.940278125,55156.742803460555,1047.143475,653.5311165581879,299.1838500000003,2451.915990004587,2.991838500000003,179.5509034722599
10,70587.24439388889,1888.1191161437996,1.7339209028566331,5428.940278125,60266.115491916775,1047.143475,715.0030313050855,299.1838500000003,883.4312681616572,2.991838500000003,63.73592222459238
11,62673.45295486205,1576.663317395613,1.8301619996729037,5428.940278125,51946.84893748155,1047.143475,614.6400840937497,299.1838500000003,558.4151144545015,2.991838500000003,41.56733421152151
12,66264.88331283757,1031.4375706154674,1.9315115896525297,5428.940278125,54972.97162764532,1047.143475,648.6949179863188,299.1838500000003,16.95967742485097,2.991838500000003,1.304677630727336
13,71599.05914427203,1232.490333352549,1.8737119562190558,5428.940278125,60543.129761363554,1047.143475,715.510273979437,299.1838500000003,223.1482203093087,2.991838500000003,16.84752646169365
14,62611.80853692015,1377.6983523649512,1.3237874740868045,5428.940278125,54522.58276377176,1047.143475,655.6493796863654,299.1838500000003,568.8841980076154,2.991838500000003,36.164018040165544
15,71671.1562615415,1442.7137589672757,1.6362060157786695,5428.940278125,61844.19741810622,1047.143475,735.8566283456151,299.1838500000003,504.04168355495705,2.991838500000003,35.23508716858831
