# Origin,Destination,orig_lat,orig_long,dest_lat,dest_long,distance (miles),distance (km),,miles_to_km,1.60934
n1,n1,43.867771,-88.717945,43.867771,-88.717945,0,0,,,
n1,n2,43.867771,-88.717945,44.366372,-88.2587304,51,82.1,,,
n1,n3,43.867771,-88.717945,44.499718,-87.5954299,91.8,147.7,,,
n1,n4,43.867771,-88.717945,45.044792,-89.706382,122.7,197.5,,,
n1,n5,43.867771,-88.717945,43.9505879,-87.7465309,68.8,110.7,,,
n1,n6,43.867771,-88.717945,44.115038,-88.2172159,49.6,79.8,,,
n1,n7,43.867771,-88.717945,44.7366839,-87.5027549,107.2,172.5,,,
n1,n8,43.867771,-88.717945,44.097001,-88.147437,55.7,89.6,,,
n1,n9,43.867771,-88.717945,44.2522468,-89.9621392,85.4,137.4,,,
n1,n10,43.867771,-88.717945,43.427712,-87.985899,62.7,100.9,,,
n1,n11,43.867771,-88.717945,43.922701,-87.868523,60.1,96.7,,,
n1,n12,43.867771,-88.717945,44.6838614,-91.8816514,198.9,320.1,,,
n1,n13,43.867771,-88.717945,44.7807238,-88.291793,76.9,123.8,,,
n1,n14,43.867771,-88.717945,43.3487533,-88.6550266,41.3,66.5,,,
n1,n15,43.867771,-88.717945,44.663093,-87.588472,99.4,160.0,,,
n1,n16,43.867771,-88.717945,44.282748,-88.108356,51.8,83.4,,,
n1,n17,43.867771,-88.717945,44.540205,-87.789123,82.3,132.4,,,
n1,n18,43.867771,-88.717945,44.369922,-88.258894,51.2,82.4,,,
n1,n19,43.867771,-88.717945,44.2994683,-88.1107442,53.1,85.5,,,
n1,n20,43.867771,-88.717945,44.9115979,-88.3436306,85.4,137.4,,,
n1,n21,43.867771,-88.717945,44.369791,-88.229303,52.2,84.0,,,
n1,n22,43.867771,-88.717945,44.5547449,-87.478025,99.1,159.5,,,
n1,n23,43.867771,-88.717945,45.330174,-91.543636,216.5,348.4,,,
n1,n24,43.867771,-88.717945,43.991883,-87.758921,68.1,109.6,,,
n1,n25,43.867771,-88.717945,44.6407302,-90.3771428,130.3,209.7,,,
n1,n26,43.867771,-88.717945,43.123768,-89.548574,83.7,134.7,,,
n1,n27,43.867771,-88.717945,44.595906,-88.789993,60.6,97.5,,,
n1,n28,43.867771,-88.717945,42.7377646,-89.3607856,103.9,167.2,,,
n1,n29,43.867771,-88.717945,45.115722,-87.965177,110,177.0,,,
n1,n30,43.867771,-88.717945,43.702029,-88.358279,27.4,44.1,,,
n1,n31,43.867771,-88.717945,44.2997938,-88.9616664,47.3,76.1,,,
n1,n32,43.867771,-88.717945,43.2627431,-89.4217299,70.2,113.0,,,
n1,n33,43.867771,-88.717945,44.6760007,-87.4156663,111.1,178.8,,,
n1,n34,43.867771,-88.717945,44.616287,-87.63395,97,156.1,,,
n1,n35,43.867771,-88.717945,44.9076949,-88.201485,98.8,159.0,,,
n1,n36,43.867771,-88.717945,44.993569,-88.4431369,85.7,137.9,,,
n1,n37,43.867771,-88.717945,43.563386,-88.3733479,35.7,57.5,,,
n1,n38,43.867771,-88.717945,45.032389,-90.121009,143.1,230.3,,,
n1,n39,43.867771,-88.717945,44.9188885,-89.1435829,94,151.3,,,
n1,n40,43.867771,-88.717945,44.334034,-88.168628,52.8,85.0,,,
n1,n41,43.867771,-88.717945,44.203572,-88.106757,52.1,83.8,,,
n1,n42,43.867771,-88.717945,44.6441993,-88.3247075,65.8,105.9,,,
n1,n43,43.867771,-88.717945,44.5040238,-89.2921029,73,117.5,,,
n1,n44,43.867771,-88.717945,44.7341321,-90.5163997,141.8,228.2,,,
n1,n45,43.867771,-88.717945,43.8943569,-88.5950853,10.4,16.7,,,
n1,n46,43.867771,-88.717945,44.3926874,-88.0902886,62.1,99.9,,,
n1,n47,43.867771,-88.717945,42.7853566,-90.2565106,140,225.3,,,
n1,n48,43.867771,-88.717945,44.487244,-87.7649307,79.1,127.3,,,
n1,n49,43.867771,-88.717945,44.409054,-87.904771,72.5,116.7,,,
n1,n50,43.867771,-88.717945,42.973292,-88.775482,69.7,112.2,,,
n1,n51,43.867771,-88.717945,44.340874,-88.133287,56,90.1,,,
n1,n52,43.867771,-88.717945,43.908778,-88.290109,37.5,60.4,,,
n1,n53,43.867771,-88.717945,42.5695939,-89.4255293,117.5,189.1,,,
n1,n54,43.867771,-88.717945,42.6533571,-90.2918458,150.9,242.8,,,
n1,n55,43.867771,-88.717945,44.388485,-88.314505,49.5,79.7,,,
n1,n56,43.867771,-88.717945,44.257304,-87.961376,58.8,94.6,,,
n1,n57,43.867771,-88.717945,43.861379,-89.557082,47.3,76.1,,,
n1,n58,43.867771,-88.717945,45.1957146,-89.0315902,112.6,181.2,,,
n1,n59,43.867771,-88.717945,44.130844,-88.167076,51.6,83.0,,,
n1,n60,43.867771,-88.717945,43.726016,-88.398931,24.7,39.8,,,
n1,n61,43.867771,-88.717945,44.146298,-88.651705,25.7,41.4,,,
n1,n62,43.867771,-88.717945,45.639964,-90.3406313,194.7,313.3,,,
n1,n63,43.867771,-88.717945,44.5526729,-91.4129221,165.5,266.3,,,
n1,n64,43.867771,-88.717945,45.0086159,-91.7608218,202.6,326.1,,,
n1,n65,43.867771,-88.717945,45.0472743,-89.8839076,132.5,213.2,,,
n1,n66,43.867771,-88.717945,44.844099,-89.26493,94,151.3,,,
n1,n67,43.867771,-88.717945,42.534871,-88.460084,130.3,209.7,,,
