time,demand,com_gens,started,off,gen_m,gen_p,gen_tot,D_shed
1,8441.293728180317,100.0,0.0,0.0,2.6645352591003757e-15,9285.423100998312,9285.423100998312,4.3728576315515966e-11
2,8274.034360186433,100.0,0.0,0.0,1.1102230246251565e-16,9101.43779620507,9101.43779620507,2.0963675240182056e-11
3,8159.923544176522,100.0,0.0,0.0,8.881784197001252e-16,8975.915898594161,8975.915898594161,1.63069557856943e-11
4,8096.089391148598,100.0,0.0,0.0,4.440892098500626e-15,8905.698330263476,8905.698330263476,1.2587264563990175e-11
5,8079.660015100683,100.0,0.0,0.0,4.440892098500626e-15,8887.626016610775,8887.626016610775,1.6484591469634324e-11
6,8107.320900031017,100.0,0.0,0.0,2.220446049250313e-16,8918.052990034108,8918.052990034108,4.105604745063829e-11
7,8173.987017938714,100.0,0.0,0.0,0.0,8991.385719732578,8991.385719732578,1.7788437389754108e-11
8,8274.130714823104,100.0,0.0,0.0,1.509903313490213e-14,9101.543786305407,9101.543786305407,1.828848184004528e-11
9,8402.22433168353,100.0,0.0,0.0,3.552713678800501e-15,9242.446764851875,9242.446764851875,1.9662493855321372e-11
10,8554.95335451822,100.0,0.0,0.0,2.1760371282653068e-14,9410.448689970206,9410.448689970206,5.048406137575512e-11
11,8737.855831321047,100.0,0.0,0.0,1.7763568394002505e-15,9611.641414453883,9611.641414453883,-5.479325524677806e-10
12,8958.682951084784,100.0,0.0,0.0,8.881784197001252e-16,9854.551246193128,9854.551246193128,2.0188613486824032e-10
13,9225.185903802205,100.0,0.0,0.0,9.658940314238862e-15,10147.704494182426,10147.704494182426,7.350564601438236e-12
14,9539.638659474731,130.0,30.0,0.0,5.273559366969494e-16,10493.602525422226,10493.602525422226,2.9668711931662983e-11
15,9882.406312138373,131.0,1.0,0.0,0.0,10870.646943352216,10870.646943352216,2.6931346042147197e-11
16,10228.376739837788,132.0,1.0,0.0,1.687538997430238e-14,11251.214413821537,11251.214413821537,7.155165349104209e-11
17,10552.437817617638,132.0,0.0,0.0,5.329070518200751e-15,11607.681599379443,11607.681599379443,2.248119951617263e-11
18,10833.577149509953,132.0,0.0,0.0,7.993605777301127e-15,11916.934864460944,11916.934864460944,5.46194200978789e-11
19,11067.18124149624,133.0,1.0,0.0,0.0,12173.899365645853,12173.899365645853,6.078693104427657e-12
20,11252.73632854539,134.0,1.0,0.0,0.0,12378.009961399915,12378.009961399915,6.647127293035737e-12
21,11389.728647626273,135.0,1.0,0.0,5.329070518200751e-15,12528.701512388892,12528.701512388892,3.5065284009760944e-12
22,11480.753663710953,135.0,0.0,0.0,2.6645352591003757e-15,12628.829030082201,12628.829030082201,2.0653700971706712e-11
23,11540.843775784188,135.0,0.0,0.0,9.769962616701378e-15,12694.928153362598,12694.928153362598,5.751843445978011e-12
24,11588.1406188339,135.0,0.0,0.0,1.0658141036401503e-14,12746.954680717277,12746.954680717277,7.037925797703792e-12
25,11640.785824848026,135.0,2.0,2.0,2.6645352591003757e-15,12804.864407332881,12804.864407332881,2.106048668792937e-11
26,11711.843065819316,135.0,0.0,0.0,0.0,12883.027372401239,12883.027372401239,3.0812685736236745e-11
27,11794.064168759793,135.0,0.0,0.0,1.7763568394002505e-15,12973.470585635776,12973.470585635776,2.170708057747106e-11
28,11875.123001686306,135.0,0.0,0.0,2.842170943040401e-14,13062.635301854909,13062.635301854909,6.228972893040918e-11
29,11942.693432615712,135.0,0.0,0.0,1.5987211554602254e-14,13136.962775877277,13136.962775877277,1.7706724975141697e-11
30,11987.5965015618,135.0,0.0,0.0,0.0,13186.356151717942,13186.356151717942,4.899014527381951e-11
31,12013.24194552621,135.0,0.0,0.0,2.0872192862952943e-14,13214.566140078787,13214.566140078787,3.8399505797315214e-11
32,12026.186678507529,135.0,0.0,0.0,5.329070518200751e-15,13228.805346358396,13228.805346358396,-2.255496503876443e-11
33,12032.98760950435,135.0,0.0,0.0,4.884981308350689e-15,13236.286370454753,13236.286370454753,4.062883363076253e-11
34,12038.435547515248,135.0,0.0,0.0,0.5672111600000034,13242.279102266612,13242.846313426611,1.637587843106303e-10
35,12040.256889538814,135.0,0.0,0.0,1.541246400000035,13244.282578492674,13245.823824892674,2.5778490453376435e-11
36,12034.411926573623,135.0,0.0,0.0,2.2244857300000094,13237.853119231084,13240.077604961083,-2.6759601677624848e-11
37,12016.860952618257,135.0,0.0,0.0,2.9313016300000028,13218.547047880054,13221.478349510055,2.467537285610888e-11
38,11985.61429666995,135.0,0.0,0.0,3.822341569999999,13184.175726336929,13187.998067906929,1.3042011914876639e-11
39,11946.882442720578,135.0,0.0,0.0,4.443353170000005,13141.570686992582,13146.014040162581,4.7910120315464155e-11
40,11908.925911760682,135.0,0.0,0.0,4.186359100000007,13099.818502936712,13104.004862036712,4.135713993491663e-11
41,11880.005225780786,135.0,0.0,0.0,2.443382000000014,13068.005748358884,13070.449130358884,1.6369128275073308e-11
42,11865.60093277548,135.0,0.0,0.0,1.7763568394002505e-15,13052.161026052761,13052.161026052761,2.5055157948372653e-10
43,11860.073682755576,135.0,0.0,0.0,2.220446049250313e-14,13046.081051031002,13046.081051031002,1.9986206776857094e-10
44,11855.00415373594,135.0,0.0,0.0,5.329070518200751e-15,13040.504569109486,13040.504569109486,4.4433789980757865e-11
45,11841.973025731422,135.0,0.0,0.0,3.197442310920451e-14,13026.170328304663,13026.170328304663,-5.905792878557016e-11
