time,demand,com_gens,started,off,gen_m,gen_p,gen_tot,D_shed
0.25,8836.431162315528,21.0,0.0,0.0,3.3861802251067274e-14,9720.074278547918,9720.074278547918,-9.755510421004598e-10
0.5,8789.033618457339,20.0,0.0,1.0,1.1546319456101628e-14,9667.936980306133,9667.936980306133,-4.923297041913324e-9
0.75,8741.63607459915,19.0,0.0,1.0,5.044575868140555e-15,9615.799682073239,9615.799682073239,-4.0646090446491844e-7
1.0,8694.238530740959,18.0,0.0,1.0,1.318147813123005e-10,9563.66238381502,9563.662383815152,1.0922430178777744e-10
1.25,8636.048524763148,12.0,0.0,6.0,8.89976981000018e-12,9499.65337723941,9499.65337723942,2.0735637740765996e-10
1.5,8588.65098090496,12.0,0.0,0.0,4.467320957601828e-11,9447.516078993298,9447.516078993343,2.245539667005884e-9
1.75,8555.643386539596,11.0,0.0,1.0,1.063243937338143e-11,9411.207725194297,9411.207725194308,-1.8761016402074904e-9
2.0,8522.635792174236,7.0,0.0,4.0,6.034517330277822e-11,9374.899371391748,9374.899371391808,-2.203707175237182e-9
2.25,8483.124767874971,6.0,0.0,1.0,3.1086244689504383e-15,9331.4372446625,9331.4372446625,1.1405893408813051e-10
2.5,8450.117173509609,0.0,0.0,6.0,0.0,9295.12889086055,9295.12889086055,-1.6160963822230995e-8
2.75,8430.577468887055,0.0,0.0,0.0,3.552713678800501e-15,9273.635215775732,9273.635215775732,-4.047772773138473e-8
3.0,8411.037764264503,0.0,0.0,0.0,9.992007221626409e-16,9252.141540690944,9252.141540690944,-1.1935191959513009e-8
3.25,8385.455658926807,0.0,0.0,0.0,0.0,9224.001224819482,9224.001224819482,1.0334590638239129e-12
3.5,8365.915954304255,0.0,0.0,0.0,0.0,9202.507549734679,9202.507549734679,1.5237335514983824e-12
3.75,8358.922080549493,0.0,0.0,0.0,8.881784197001252e-16,9194.814288604437,9194.814288604437,6.982513511917332e-14
4.0,8351.928206794733,0.0,0.0,0.0,2.4424906541753444e-15,9187.121027474202,9187.121027474202,4.1306445187360367e-13
4.25,8339.43618354355,0.0,0.0,0.0,3.0531133177191805e-16,9173.379801897898,9173.379801897898,1.240983535670549e-12
4.5,8332.442309788788,0.0,0.0,0.0,2.220446049250313e-15,9165.68654076766,9165.68654076766,2.756009734103495e-12
4.75,8336.961245651855,0.0,0.0,0.0,1.8318679906315083e-15,9170.657370217032,9170.657370217032,5.79337374390246e-12
5.0,8341.480181514928,0.0,0.0,0.0,1.1102230246251565e-16,9175.628199666411,9175.628199666411,2.642013618018683e-12
5.25,8341.350363756386,0.0,0.0,0.0,7.327471962526033e-15,9175.48540013202,9175.48540013202,3.7906536981686384e-15
5.5,8345.869299619457,0.0,0.0,0.0,1.2906342661267445e-15,9180.456229581398,9180.456229581398,2.091652276167802e-12
5.75,8360.424176850614,0.0,0.0,0.0,4.468647674116255e-15,9196.46659453567,9196.46659453567,1.3497536740248913e-12
6.0,8374.979054081772,0.0,0.0,0.0,3.5727598676483012,9212.476959489928,9216.049719357576,1.6042104185492102e-11
6.25,8385.7068326599,0.0,0.0,0.0,3.552713678800501e-15,9224.277515925869,9224.277515925869,2.652581665344306e-11
6.5,8400.261709891058,0.0,0.0,0.0,1.0658141036401503e-14,9240.28788088016,9240.28788088016,8.430589559793589e-12
6.75,8423.264699115618,0.0,0.0,0.0,4.440892098500626e-15,9265.591169027168,9265.591169027168,2.013145206092304e-11
7.0,8446.267688340175,0.0,0.0,0.0,1.021405182655144e-14,9290.894457174187,9290.894457174187,1.0579093157048192e-11
7.25,8466.2374940678,0.0,0.0,0.0,0.0,9312.86124347458,9312.86124347458,8.972378395810665e-12
7.5,8489.240483292358,1.0,1.0,0.0,3.608224830031759e-15,9338.164531621587,9338.164531621587,7.268852186825825e-12
7.75,8519.10375451063,6.0,5.0,0.0,1.3600232051658168e-15,9371.014129961964,9371.014129961964,-2.6099707772872085e-10
8.0,8548.967025728904,12.0,6.0,0.0,5.773159728050814e-15,9403.863728301782,9403.863728301782,8.376778825290703e-12
8.25,8576.17492179404,12.0,0.0,0.0,1.199040866595169e-14,9433.792413973462,9433.792413973462,-8.225572225064917e-12
8.5,8606.03819301231,12.0,0.0,0.0,7.771561172376096e-15,9466.642012313585,9466.642012313585,-3.7279664690295417e-11
8.75,8641.728725099334,16.0,4.0,0.0,9.769962616701378e-15,9505.901597609276,9505.901597609276,-7.344499232722393e-12
9.0,8677.419257186357,17.0,1.0,0.0,1.1435297153639112e-14,9545.161182905,9545.161182905,8.973114694008308e-12
9.25,8709.306498058551,17.0,0.0,0.0,4.6629367034256575e-15,9580.237147864344,9580.237147864344,3.005951043633104e-11
9.5,8744.997030145572,18.0,1.0,0.0,2.7755575615628914e-15,9619.49673316012,9619.49673316012,8.673950446791423e-12
9.75,8787.701037475284,18.0,1.0,1.0,1.1157741397482823e-14,9666.471141222843,9666.471141222843,-6.1621360719006164e-12
10.0,8830.405044805,18.0,0.0,0.0,7.105427357601002e-15,9713.445549285489,9713.445549285489,8.519407401763601e-12
10.25,8868.29654754562,18.0,0.0,0.0,3.219646771412954e-15,9755.126202300178,9755.126202300178,8.597567102697212e-12
10.5,8911.00055487533,18.0,0.0,0.0,5.10702591327572e-15,9802.100610362862,9802.100610362862,5.227818178354937e-12
10.75,8962.459060071398,19.0,1.0,0.0,4.6629367034256575e-15,9858.704966078529,9858.704966078529,4.803268893738277e-12
11.0,9013.917565267464,20.0,1.0,0.0,3.1086244689504383e-15,9915.309321794202,9915.309321794202,9.583445148564351e-12
11.25,9059.693053906354,18.0,0.0,2.0,168.72590759575772,9965.662359296948,10134.388266892705,4.829914246329281e-11
11.5,9111.151559102424,18.0,0.0,0.0,53.472945360121386,10022.26671501264,10075.739660372761,2.6076918402395677e-11
