time,demand,gen_m,gen_p,gen_tot,D_shed
0.25,9168.846333453037,0.0,9398.06749178936,9398.06749178936,0.0
0.5,9115.866087735129,0.0,9343.762739928477,9343.762739928477,0.0
0.75,9062.885842017216,0.0,9289.457988067623,9289.457988067623,0.0
1.0,9009.905596299308,0.0,9235.153236206786,9235.153236206786,0.0
1.25,8945.305779839151,0.0,9168.938424335029,9168.938424335029,0.0
1.5,8892.325534121244,0.0,9114.633672474265,9114.633672474265,0.0
1.75,8854.838049392998,0.0,9076.209000627747,9076.209000627747,0.0
2.0,8817.350564664748,0.0,9037.784328781363,9037.784328781363,0.0
2.25,8772.961309878823,0.0,8992.285342625792,8992.285342625792,0.0
2.5,8735.473825150577,0.0,8953.860670779339,8953.860670779339,0.0
2.75,8712.352954162454,0.0,8930.16177801652,8930.16177801652,0.0
3.0,8689.232083174325,0.0,8906.462885253613,8906.462885253613,0.0
3.25,8659.772515003297,0.0,8876.266827878379,8876.266827878379,0.0
3.5,8636.65164401517,0.0,8852.567935115514,8852.567935115514,0.0
3.75,8626.771240517628,0.0,8842.440521530576,8842.440521530576,0.0
4.0,8616.890837020088,0.0,8832.313107945585,8832.313107945585,0.0
4.25,8601.318259901866,0.0,8816.351216399391,8816.351216399391,0.0
4.5,8591.437856404324,0.0,8806.223802814384,8806.223802814384,0.0
4.75,8593.56050689788,0.0,8808.399519570277,8808.399519570277,0.0
5.0,8595.683157391435,0.0,8810.575236326196,8810.575236326196,0.0
5.25,8593.066140513889,0.0,8807.892794026722,8807.892794026722,0.0
5.5,8595.188791007446,0.0,8810.068510782636,8810.068510782636,0.0
5.75,8607.632015992835,0.0,8822.822816392625,8822.822816392625,0.0
6.0,8620.075240978229,0.0,8835.577122002675,8835.577122002675,0.0
6.25,8628.703487654606,0.0,8844.421074846005,8844.421074846005,0.0
6.5,8641.14671264,0.0,8857.175380455983,8857.175380455983,0.0
6.75,8662.116766868017,0.0,8878.669686039717,8878.669686039717,0.0
7.0,8683.086821096036,0.0,8900.163991623462,8900.163991623462,0.0
7.25,8701.138769639647,0.0,8918.667238880636,8918.667238880636,0.0
7.5,8722.108823867668,0.0,8940.161544464347,8940.161544464347,0.0
7.75,8749.811962089103,0.0,8968.557261141339,8968.557261141339,0.0
8.0,8777.515100310544,0.0,8996.95297781831,8996.95297781831,0.0
8.25,8802.779756847383,0.0,9022.84925076859,9022.84925076859,0.0
8.5,8830.48289506882,0.0,9051.244967445571,9051.244967445571,0.0
8.75,8863.681703534194,0.0,9085.273746122559,9085.273746122559,0.0
9.0,8896.880511999567,0.0,9119.302524799536,9119.302524799536,0.0
9.25,8926.590547780912,0.0,9149.755311475396,9149.755311475396,0.0
9.5,8959.789356246287,0.0,9183.784090152487,9183.784090152487,0.0
9.75,8999.471751705007,0.0,9224.45854549765,9224.45854549765,0.0
10.0,9039.154147163725,0.0,9265.133000842827,9265.133000842827,0.0
10.25,9074.436563126419,0.0,9301.297477204556,9301.297477204556,0.0
10.5,9114.11895858514,0.0,9341.971932549759,9341.971932549759,0.0
10.75,9161.829189036338,0.0,9390.874918762243,9390.874918762243,0.0
11.0,9209.539419487537,0.0,9439.777904974697,9439.777904974697,0.0
11.25,9252.077545318145,5.4,9483.379483951083,9488.779483951083,0.0
11.5,9299.787775769342,5.4,9532.282470163596,9537.682470163596,0.0
11.75,9357.070090712155,0.0,9590.996842979943,9590.996842979943,0.0
12.0,9414.352405654965,5.4,9649.711215796384,9655.111215796383,0.0
12.25,9466.541955727176,0.15000000005161684,9703.205504620324,9703.355504620376,0.0
12.5,9523.824270669984,0.0,9761.91987743673,9761.91987743673,0.0
12.75,9591.087633604136,0.0,9830.864824444243,9830.864824444243,0.0
13.0,9658.350996538287,0.0,9899.80977145176,9899.80977145176,0.0
13.25,9723.7229646627,39.47742692909395,9966.816038779252,10006.293465708346,0.0
13.5,9790.986327596853,19.78,10035.760985786776,10055.540985786776,0.0
13.75,9864.098566274428,18.17388883302493,10110.701030431313,10128.874919264339,0.0
14.0,9937.210804952005,4.588118475420043,10185.64107507583,10190.22919355125,0.0
14.25,10011.349200380857,19.78,10261.63293039037,10281.41293039037,0.0
14.5,10084.461439058434,0.0,10336.572975034898,10336.572975034898,0.0
14.75,10158.155093982115,0.0,10412.108971331665,10412.108971331665,0.0
15.0,10231.848748905799,2.5043316467291206,10487.644967628474,10490.149299275203,0.0
15.25,10309.202288641916,0.0,10566.93234585795,10566.93234585795,0.0
15.5,10382.895943565603,0.0,10642.468342154729,10642.468342154729,0.0
15.75,10451.90355748807,0.0,10713.201146425246,10713.201146425246,0.0
16.0,10520.911171410538,0.0,10783.933950695788,10783.933950695788,0.0
16.25,10595.256098706363,0.0,10860.137501174022,10860.137501174022,0.0
16.5,10664.26371262883,0.0,10930.870305444547,10930.870305444547,0.0
16.75,10724.592895053085,0.0,10992.707717429412,10992.707717429412,0.0
17.0,10784.922077477333,0.0,11054.545129414251,11054.545129414251,0.0
17.25,10848.759566959989,0.0,11119.978556133989,11119.978556133989,0.0
17.5,10909.08874938424,0.0,11181.815968118839,11181.815968118839,0.0
17.75,10961.847378564547,0.0,11235.893563028669,11235.893563028669,0.0
18.0,11014.606007744856,0.0,11289.971157938458,11289.971157938458,0.0
18.25,11069.362704418692,0.0,11346.096772029136,11346.096772029136,0.0
18.5,11122.121333599,0.0,11400.174366938976,11400.174366938976,0.0
18.75,11169.692355039964,0.0,11448.934663915967,11448.934663915967,0.0
19.0,11217.263376480923,0.0,11497.694960892926,11497.694960892926,0.0
19.25,11265.640991725611,0.0,11547.282016518731,11547.282016518731,0.0
19.5,11313.212013166576,0.0,11596.04231349575,11596.04231349575,0.0
19.75,11357.97837362278,0.0,11641.927832963327,11641.927832963327,0.0
20.0,11402.744734078988,0.0,11687.813352430963,11687.813352430963,0.0
20.25,11447.738370587671,0.0,11733.931829852369,11733.931829852369,0.0
20.5,11492.50473104388,0.0,11779.817349319965,11779.817349319965,0.0
20.75,11536.03316976853,0.0,11824.433999012746,11824.433999012746,0.0
21.0,11579.56160849318,0.0,11869.05064870552,11869.05064870552,0.0
21.25,11624.982571085397,0.0,11915.607135362525,11915.607135362525,0.0
21.5,11668.511009810045,0.0,11960.223785055283,11960.223785055283,0.0
21.75,11709.103442800762,0.0,12001.831028870756,12001.831028870756,0.0
22.0,11749.695875791474,0.0,12043.438272686244,12043.438272686244,0.0
22.25,11793.64202896449,0.0,12088.483079688569,12088.483079688569,0.0
22.5,11834.234461955204,0.0,12130.09032350407,12130.09032350407,0.0
22.75,11869.37659945821,0.0,12166.111014444657,12166.111014444657,0.0
23.0,11904.518736961214,0.0,12202.13170538524,12202.13170538524,0.0
23.25,11944.271740085906,0.0,12242.87853358806,12242.87853358806,0.0
23.5,11979.413877588913,0.0,12278.899224528634,12278.899224528634,0.0
23.75,12006.591429100432,0.0,12306.756214827921,12306.756214827921,0.0
24.0,12033.76898061195,0.0,12334.613205127265,12334.613205127265,0.0
24.25,12066.048579809649,0.0,12367.699794304892,12367.699794304892,0.0
24.5,12093.22613132117,0.0,12395.556784604196,12395.556784604196,0.0
24.75,12110.94609058729,0.0,12413.719742851958,12413.719742851958,0.0
25.0,12128.666049853413,0.0,12431.882701099728,12431.882701099728,0.0
25.25,12149.170709995584,0.0,12452.899977745481,12452.899977745481,0.0
25.5,12166.890669261706,0.0,12471.06293599322,12471.06293599322,0.0
25.75,12177.745163277954,0.0,12482.18879235989,12482.18879235989,0.0
26.0,12188.599657294202,0.0,12493.314648726582,12493.314648726582,0.0
26.25,12200.176825876346,0.0,12505.181246523263,12505.181246523263,0.0
26.5,12211.031319892598,0.0,12516.307102889908,12516.307102889908,0.0
26.75,12218.633759404365,0.0,12524.099603389483,12524.099603389483,0.0
27.0,12226.236198916133,0.0,12531.892103889044,12531.892103889044,0.0
27.25,12232.754607058601,0.0,12538.57347223505,12538.57347223505,0.0
27.5,12240.35704657037,0.0,12546.36597273461,12546.36597273461,0.0
27.75,12248.320843073046,0.0,12554.528864149888,12554.528864149888,0.0
28.0,12256.284639575722,0.0,12562.691755565067,12562.691755565067,0.0
28.25,12262.096420647682,0.0,12568.648831163844,12568.648831163844,0.0
28.5,12270.06021715036,0.0,12576.81172257914,12576.81172257914,0.0
28.75,12281.013819890964,0.0,12588.039165388236,12588.039165388236,0.0
29.0,12291.967422631567,0.0,12599.266608197377,12599.266608197377,0.0
29.25,12302.40966681306,0.0,12609.969908483392,12609.969908483392,0.0
29.5,12313.363269553662,0.0,12621.197351292514,12621.197351292514,0.0
29.75,12325.995285785722,0.0,12634.145167930377,12634.145167930377,0.0
30.0,12338.627302017783,0.0,12647.092984568202,12647.092984568202,0.0
30.25,12352.142376062746,0.0,12660.945935464262,12660.945935464262,0.0
30.5,12364.774392294805,0.0,12673.893752102147,12673.893752102147,0.0
30.75,12376.788469273484,0.0,12686.208181005311,12686.208181005311,0.0
31.0,12388.802546252165,0.0,12698.522609908541,12698.522609908541,0.0
31.25,12402.847858728666,0.0,12712.91905519689,12712.91905519689,0.0
31.5,12414.861935707348,0.0,12725.233484100025,12725.233484100025,0.0
31.75,12423.961718937808,0.0,12734.560761911267,12734.560761911267,0.0
