time,demand,gen_m,gen_p,gen_tot,D_shed
0.25,9168.846333453037,4.107825191113079e-15,9398.067491789265,9398.067491789265,3.1452174198420835e-11
0.5,9115.866087735129,0.0,9343.762739927985,9343.762739927985,3.5212721627431165e-10
0.75,9062.885842017216,4.218847493575595e-15,9289.45798806708,9289.45798806708,5.891855892059539e-10
1.0,9009.905596299308,0.0,9235.153236206843,9235.153236206843,4.0966341430248576e-11
1.25,8945.305779839151,2.7755575615628914e-15,9168.93842433514,9168.93842433514,7.09619030203612e-11
1.5,8892.325534121244,3.552713678800501e-15,9114.633672474149,9114.633672474149,3.7898573168604344e-11
1.75,8854.838049392998,0.0,9076.209000627485,9076.209000627485,1.5623946580944903e-11
2.0,8817.350564664748,3.552713678800501e-15,9037.784328781352,9037.784328781352,2.1438850694721623e-11
2.25,8772.961309878823,5.523359547510154e-15,8992.285342625783,8992.285342625783,2.0653700971706712e-11
2.5,8735.473825150577,8.881784197001252e-16,8953.86067077933,8953.86067077933,1.794475679162133e-11
2.75,8712.352954162454,2.6645352591003757e-15,8930.161778016503,8930.161778016503,2.0234480757608253e-11
3.0,8689.232083174325,4.440892098500626e-15,8906.46288525368,8906.46288525368,1.7838175381257315e-11
3.25,8659.772515003297,3.677613769070831e-15,8876.266827878371,8876.266827878371,1.6472156971758523e-11
3.5,8636.65164401517,1.1102230246251565e-15,8852.567935115541,8852.567935115541,1.4491519095827243e-11
3.75,8626.771240517628,0.0,8842.440521530549,8842.440521530549,4.051159407936211e-11
4.0,8616.890837020088,7.702172233337023e-15,8832.3131079456,8832.3131079456,2.2038371128019207e-11
4.25,8601.318259901866,2.6922908347160046e-15,8816.351216399416,8816.351216399416,1.858602161064482e-11
4.5,8591.437856404324,5.329070518200751e-15,8806.223802814422,8806.223802814422,3.33475469460609e-11
4.75,8593.56050689788,4.218847493575595e-15,8808.399519570317,8808.399519570317,3.205080645329872e-11
5.0,8595.683157391435,1.7763568394002505e-15,8810.5752363262,8810.5752363262,3.723599206750805e-11
5.25,8593.066140513889,1.7763568394002505e-15,8807.892794026742,8807.892794026742,1.9686474672653276e-11
5.5,8595.188791007446,5.141720382795256e-15,8810.068510782636,8810.068510782636,2.1303847574927204e-11
5.75,8607.632015992835,0.0,8822.822816392658,8822.822816392658,2.1536550320888637e-11
6.0,8620.075240978229,4.0939474033052647e-16,8835.577122002685,8835.577122002685,2.3488766487389512e-11
6.25,8628.703487654606,8.881784197001252e-16,8844.421074845966,8844.421074845966,3.154276839723025e-11
6.5,8641.14671264,2.9976021664879227e-15,8857.175380455985,8857.175380455985,1.787903158856352e-11
6.75,8662.116766868017,0.0,8878.669686039708,8878.669686039708,1.887112688336856e-11
7.0,8683.086821096036,5.329070518200751e-15,8900.16399162343,8900.16399162343,1.8456347561368602e-11
7.25,8701.138769639647,2.55351295663786e-15,8918.667238880624,8918.667238880624,1.835864793520159e-11
7.5,8722.108823867668,1.9984014443252818e-15,8940.161544464347,8940.161544464347,1.5075052317570226e-11
7.75,8749.811962089103,4.107825191113079e-15,8968.557261141317,8968.557261141317,2.0387247445796675e-11
8.0,8777.515100310544,0.0,8996.952977818266,8996.952977818266,1.8971491044794675e-11
8.25,8802.779756847383,1.1102230246251565e-16,9022.84925076807,9022.84925076807,1.2389023140713107e-10
8.5,8830.48289506882,5.551115123125783e-16,9051.244967445378,9051.244967445378,8.50839398935932e-11
8.75,8863.681703534194,9.71445146547012e-17,9085.273746122024,9085.273746122024,1.1888445783370116e-10
9.0,8896.880511999567,3.885780586188048e-15,9119.302524799614,9119.302524799614,-5.413166725359769e-11
9.25,8926.590547780912,1.4432899320127035e-15,9149.755311475223,9149.755311475223,4.50672040858699e-11
9.5,8959.789356246287,1.8388068845354155e-15,9183.78409015233,9183.78409015233,1.4657430824627227e-10
9.75,8999.471751705007,3.552713678800501e-15,9224.458545497666,9224.458545497666,3.439559748130705e-11
10.0,9039.154147163725,4.100886297209172e-15,9265.133000842814,9265.133000842814,5.4569682106375694e-12
10.25,9074.436563126419,1.3322676295501878e-15,9301.297477205151,9301.297477205151,8.757364689587849e-11
10.5,9114.11895858514,7.105427357601002e-15,9341.971932549324,9341.971932549324,2.566853396501756e-10
10.75,9161.829189036338,4.551914400963142e-15,9390.874918762236,9390.874918762236,7.542411140093463e-12
11.0,9209.539419487537,3.3306690738754696e-16,9439.777904974777,9439.777904974777,3.6271430303713714e-11
11.25,9252.077545318145,0.0,9483.3794839513,9483.3794839513,3.792344216435595e-11
11.5,9299.787775769342,0.0,9532.282470163556,9532.282470163556,2.042455093942408e-11
11.75,9357.070090712155,7.704557478116492e-15,9590.996842979865,9590.996842979865,2.8668623031080642e-11
12.0,9414.352405654965,2.7738228380869145e-15,9649.711215796231,9649.711215796231,3.8314240669024e-11
12.25,9466.541955727176,8.881784197001252e-16,9703.205504620448,9703.205504620448,2.2106760866336117e-11
12.5,9523.824270669984,1.3322676295501878e-15,9761.919877436632,9761.919877436632,4.786926410815795e-11
12.75,9591.087633604136,4.440892098500626e-16,9830.864824444347,9830.864824444347,1.6256329615771392e-11
