Sugar Beets,158,-221.7,7.59E+07,21.72,157.1,0.19
Sugarcane,125,-398.4,5.61E+08,8.01,150.83,0.12
Corn Stover,120,-1640.9,3.00E+08,23.4909,294.62,0.668
Natural Gas,422.7,742.3,8.24E+08,1354.0735,0.324,0.017
Pet Naphtha,706.5,433.7,4.20E+08,1217.47,0.85,0.01
