Sugar Beets,Sugar Beets
Sugarcane,Sugarcane
Corn Stover,Corn Stover
Natural Gas,Natural Gas
Petroleum Naphtha,Pet Naphtha
LDPE,LDPE
HDPE,HDPE
PP,PP
PVC,PVC
PS,PS
PET,PET
Nylon66,Nylon
Ethanol,Ethanol
Ethylene,Ethylene
Ethylene Glycol,Eth. Glycol
Chloroethene,Chloroethene
Propylene,Propylene
Benzene,Benzene
p-Xylene,p-Xylene
Ethylbenzene,Ethylben
Styrene,Styrene
"1,3-Butadiene","1,3-But."
Cyclohexane,C.-hexane
Cyclohexanone,C.-hexanone
Adipic Acid,Ad. Acid
Hexamethylenediamine,Hex. Meth. Diam.
Terephthalic Acid,Ter. Acid
Dehydration,Dehyd.
Oxidation & Hydration,Ox. & Hyd.
Halogenation Thermal Decomposition,HT Dcmp.
Acid Catalysis,Acid Cat.
Dehydrogenation,Dehydrog.
Oxdiative Dehydration ,Ox. Dehyd.
Biorefinery,Bioref.
Fermentation,Ferment.
Catalytic Reforming for Ethylene,CR Eth.
Catalytic Reforming for Propylene,CR Prop.
Catalytic Reforming for Xylene,CR Xyl.
Catalytic Reforming for Benzene,CR Ben.
MethanolEthylene Process,Meth. Eth. Proc.
Hydrogenation,Hydrog.
Oxidation Cobalt,Ox. Cobalt
Oxidation Acid,Ox. Acid
Hydrocyanation and Hydrogenation,Hydcyan
Amoco Process,Amoco Proc.
Biomass-to-Aromatic Process for Xylene,B-to-A Xyl.
Biomass-to-Aromatic Process for Benzene,B-to-A Ben.
LDPE Polymerization,LDPE Poly.
HDPE Polymerization,HDPE Poly.
PP Polymerization,PP Poly.
PVC Polymerization,PVC Poly.
PS Polymerization,PS Poly.
PET Polymerization,PET Poly.
Nylon66 Polymerization,N Poly.
