#daily flow (m3),P (mg),N (mg)
2.0621905801320623e6,4.6134670352854145e8,8.644431262642197e9
2.5431221463719704e6,5.665884387837765e8,1.061638627915568e10
1.9092393115614345e6,3.4600787462732434e8,6.483283105032051e9
1.5560973061185484e6,2.5454762888235897e8,4.769557177091604e9
1.9210607107483805e6,3.942164818984579e8,7.386586387868329e9
2.6067928106942493e6,5.913415598747578e8,1.1080195063677773e10
2.879117185993429e6,6.563445401417428e8,1.2298180995921627e10
2.9689175106173707e6,5.58472021651127e8,1.046430583842532e10
2.9985296167452415e6,5.642961237357908e8,1.0573434287273926e10
2.9679765409505223e6,5.563186595381646e8,1.0423957461322565e10
2.954601455267023e6,5.53688050824436e8,1.037466673044531e10
2.950190953875321e6,5.52820594445653e8,1.0358412865440147e10
1.975736618926649e6,2.88338324978004e8,5.402706492956531e9
1.518594625514945e6,1.9645945256378388e8,3.681136595525451e9
1.3095575634758798e6,1.857589589720194e8,4.483753926409219e9
2.0144328727793773e6,1.0401499824454881e9,2.5106603706510513e10
2.6705833095403537e6,1.4326370993205044e9,3.458025526599446e10
2.9001524219983225e6,1.562061688901846e9,3.770423924459037e10
2.896033307695893e6,1.5484554433142958e9,3.737581870748962e10
1.9277554209616836e6,7.881715876819285e8,1.9024479198795197e10
2.523198965042558e6,1.3495459635265512e9,3.257464429343268e10
2.8515516973446854e6,1.5122037651498766e9,3.650079440067747e10
2.9598276528829862e6,1.5723533937230804e9,3.7952655106506386e10
2.99553219069979e6,1.5921880345478294e9,3.84314134348747e10
3.007305940599975e6,1.598728606550996e9,3.858928638788032e10
1.8717629334224164e6,5.342738388738128e8,1.2896026313266659e10
1.3175688923618088e6,1.7637215755589998e8,4.257180156084155e9
1.8667702451244206e6,9.206609277611394e8,2.2222438543932404e10
2.2745849462575396e6,4.297050467022836e8,9.057410805273811e9
1.6003215532278824e6,2.0292884841233516e8,4.27737574510057e9
1.398129175938486e6,1.8994715329001325e8,4.0037449218788157e9
2.3214344708447866e6,4.562410088244089e8,9.616741238783464e9
2.7817187902302956e6,5.545753925693346e8,1.1689453478717463e10
2.9367999025341e6,5.870016473703909e8,1.2372940705278086e10
2.3547104200092535e6,4.255335467824561e8,8.969483077317144e9
2.653470013040371e6,4.0358953845099276e8,8.506942784393566e9
2.887909114601272e6,4.4460135960113734e8,9.371398333333488e9
2.8919960158540667e6,4.420341067174595e8,9.317285252309786e9
2.3073681996902567e6,3.187727215977335e8,6.719156582366731e9
2.4142652784654056e6,3.55357690431823e8,7.4903020333487625e9
2.789229820251906e6,4.28696666513801e8,9.03615596155001e9
2.939276702245693e6,4.5288056063827586e8,9.545909025047024e9
2.988755411953737e6,6.235057542485886e8,1.0708560202369183e10
3.00507126391842e6,6.270635816368866e8,1.0769665025408297e10
2.325981160023159e6,4.331541885875436e8,7.439318200018977e9
2.717216960782779e6,5.64294200929566e8,9.691616125956142e9
1.8395730865402184e6,2.7907870020156336e8,4.793109032183638e9
2.4043995536447624e6,4.91716871351096e8,8.445118081916648e9
2.725956207847854e6,5.618353716715001e8,9.64938632942591e9
1.739129618267274e6,2.3948908071008104e8,4.11316691324627e9
2.3678799490727508e6,5.0862260422489816e8,8.735469946371302e9
2.496920397232525e6,5.2208586093298745e8,8.96669811707563e9
2.4823801102378704e6,5.164830482139568e8,8.870471166649736e9
2.768073154639982e6,5.999627502305379e8,1.030421481477008e10
2.929000129810549e6,6.389768784973121e8,1.0974273011412058e10
2.651261012022955e6,5.55028445816971e8,9.532479027753717e9
2.8640802924391893e6,5.940130531885033e8,1.127213884146533e10
1.9649497439185628e6,3.182761708517399e8,6.039687458908839e9
2.3155414065347128e6,4.618186025089761e8,8.763584199219109e9
