# 1. Node ID| 2. Node Name| 3. Node longitude| 4. Node latitude
NC225|CAFO225|0|0
NC226|CAFO226|0|0
NC227|CAFO227|0|0
NC228|CAFO228|0|0
NC229|CAFO229|0|0
NC230|CAFO230|0|0
NC231|CAFO231|0|0
NC232|CAFO232|0|0
NC233|CAFO233|0|0
NC234|CAFO234|0|0
NC235|CAFO235|0|0
NC236|CAFO236|0|0
NC237|CAFO237|0|0
NC238|CAFO238|0|0
NC239|CAFO239|0|0
NC240|CAFO240|0|0
NC241|CAFO241|0|0
NC242|CAFO242|0|0
NC243|CAFO243|0|0
NC244|CAFO244|0|0
NC245|CAFO245|0|0
