#inv,node,prod,cap(kg)
i1,beef04,p1,4629900
i2,beef11,p1,183000
i3,beef14,p1,881450
i4,beef16,p1,4031500
i5,beef19,p1,2082000
i6,beef20,p1,933300
i7,beef28,p1,7327000
i8,beef30,p1,768600
i9,beef33,p1,3876550
i10,beef38,p1,41199400
i11,beef39,p1,396500
i12,beef41,p1,16434100
i13,beef54,p1,2626050
i14,dairy002,p2,3266550
i15,dairy003,p2,3053950
i16,dairy004,p2,4392000
i17,dairy010,p2,953125
i18,dairy012,p2,20535100
i19,dairy013,p2,4758000
i20,dairy014,p2,97600
i21,dairy016,p2,2476600
i22,dairy017,p2,23950
i23,dairy019,p2,439200
i24,dairy020,p2,457500
i25,dairy021,p2,4996750
i26,dairy024,p2,1730450
i27,dairy025,p2,976000
i28,dairy026,p2,1427400
i29,dairy029,p2,1398750
i30,dairy030,p2,1994700
i31,dairy031,p2,725900
i32,dairy033,p2,772450
i33,dairy034,p2,1088850
i34,dairy035,p2,411750
i35,dairy038,p2,689300
i36,dairy039,p2,898225
i37,dairy040,p2,861150
i38,dairy041,p2,1207800
i39,dairy042,p2,466650
i40,dairy043,p2,4041450
i41,dairy044,p2,13248950
i42,dairy045,p2,3124600
i43,dairy046,p2,16972600
i44,dairy047,p2,448350
i45,dairy048,p2,571875
i46,dairy049,p2,455975
i47,dairy050,p2,1204200
i48,dairy053,p2,6435200
i49,dairy054,p2,5682150
i50,dairy056,p2,6245950
i51,dairy057,p2,5006575
i52,dairy058,p2,2368700
i53,dairy064,p2,1282525
i54,dairy066,p2,1697300
i55,dairy067,p2,33100
i56,dairy068,p2,2074000
i57,dairy072,p2,4587200
i58,dairy078,p2,21250
i59,dairy082,p2,2635200
i60,dairy086,p2,15393350
i61,dairy089,p2,6978400
i62,dairy091,p2,224300
i63,dairy094,p2,6442000
i64,dairy095,p2,2783125
i65,dairy098,p2,701500
i66,dairy099,p2,4514000
i67,dairy104,p2,16150100
i68,dairy109,p2,2786175
i69,dairy111,p2,16800
i70,dairy112,p2,124900
i71,dairy116,p2,316100
i72,dairy124,p2,1207800
i73,dairy125,p2,1942600
i74,dairy126,p2,4931850
i75,dairy127,p2,4122800
i76,dairy128,p2,1340300
i77,dairy129,p2,957150
i78,dairy134,p2,3019500
i79,dairy135,p2,3623400
i80,dairy146,p2,4516100
i81,dairy002,p3,3266550
i82,dairy003,p3,3053950
i83,dairy004,p3,4392000
i84,dairy010,p3,953125
i85,dairy012,p3,20535100
i86,dairy013,p3,4758000
i87,dairy014,p3,97600
i88,dairy016,p3,2476600
i89,dairy017,p3,23950
i90,dairy019,p3,439200
i91,dairy020,p3,457500
i92,dairy021,p3,4996750
i93,dairy024,p3,1730450
i94,dairy025,p3,976000
i95,dairy026,p3,1427400
i96,dairy029,p3,1398750
i97,dairy030,p3,1994700
i98,dairy031,p3,725900
i99,dairy033,p3,772450
i100,dairy034,p3,1088850
i101,dairy035,p3,411750
i102,dairy038,p3,689300
i103,dairy039,p3,898225
i104,dairy040,p3,861150
i105,dairy041,p3,1207800
i106,dairy042,p3,466650
i107,dairy043,p3,4041450
i108,dairy044,p3,13248950
i109,dairy045,p3,3124600
i110,dairy046,p3,16972600
i111,dairy047,p3,448350
i112,dairy048,p3,571875
i113,dairy049,p3,455975
i114,dairy050,p3,1204200
i115,dairy053,p3,6435200
i116,dairy054,p3,5682150
i117,dairy056,p3,6245950
i118,dairy057,p3,5006575
i119,dairy058,p3,2368700
i120,dairy064,p3,1282525
i121,dairy066,p3,1697300
i122,dairy067,p3,33100
i123,dairy068,p3,2074000
i124,dairy072,p3,4587200
i125,dairy078,p3,21250
i126,dairy082,p3,2635200
i127,dairy086,p3,15393350
i128,dairy089,p3,6978400
i129,dairy091,p3,224300
i130,dairy094,p3,6442000
i131,dairy095,p3,2783125
i132,dairy098,p3,701500
i133,dairy099,p3,4514000
i134,dairy104,p3,16150100
i135,dairy109,p3,2786175
i136,dairy111,p3,16800
i137,dairy112,p3,124900
i138,dairy116,p3,316100
i139,dairy124,p3,1207800
i140,dairy125,p3,1942600
i141,dairy126,p3,4931850
i142,dairy127,p3,4122800
i143,dairy128,p3,1340300
i144,dairy129,p3,957150
i145,dairy134,p3,3019500
i146,dairy135,p3,3623400
i147,dairy146,p3,4516100
