#TIME,N(kg),P(kg),Rnat(mH2O),DIN (P),DIN (NP),DON (P),DON (NP),DIP (P),DIP (NP),DOP (P),DOP (NP)
1,47111.07843662733,1670.5063863630505,1.4912355604173981,5428.940278125,38328.76074537722,1047.143475,458.1773466021024,299.1838500000003,773.7764921148353,2.991838500000003,51.67357424558816
2,43922.845652183285,1609.1604560631208,1.3893988398812793,5428.940278125,35711.28339965848,1047.143475,428.4007862831308,299.1838500000003,758.3099589290036,2.991838500000003,49.11409350411198
3,55062.656377241154,1475.1430453261185,1.5374146335247612,5428.940278125,45945.42949550802,1047.143475,548.3892246833392,299.1838500000003,572.328038729145,2.991838500000003,38.77328665210712
4,54452.98059307565,1639.9159677706366,1.578733225498359,5428.940278125,45127.59828706077,1047.143475,537.9141032399626,299.1838500000003,710.4427514311342,2.991838500000003,48.76117724737058
5,64219.50185322979,1796.5434825336492,1.8486735888116164,5428.940278125,53379.12742766602,1047.143475,631.2692082179026,299.1838500000003,756.4655176897788,2.991838500000003,56.64976277044844
6,41260.72867239398,1379.4243843089987,1.2198065521551205,5428.940278125,33972.7645678894,1047.143475,410.2064539123392,299.1838500000003,616.8568817127554,2.991838500000003,38.1642985358496
7,54210.04523962648,1642.5964503436126,1.5829833823373634,5428.940278125,44865.38767412195,1047.143475,534.7167081472696,299.1838500000003,711.2999837902806,2.991838500000003,48.88587677037571
8,44816.33047232093,1459.077695932879,1.318987481427999,5428.940278125,36963.78191396552,1047.143475,444.58060568250903,299.1838500000003,647.4883434914962,2.991838500000003,41.10640631041574
9,60019.97759454581,1740.7974789750988,1.77979415639117,5428.940278125,49585.05951504061,1047.143475,587.5143756210994,299.1838500000003,729.2711600002675,2.991838500000003,53.40366317121088
10,68538.68927445597,1087.1366802153866,1.7339209028566331,5428.940278125,58241.57966166159,1047.143475,690.9837421273656,299.1838500000003,136.34782151176782,2.991838500000003,9.836932946068673
11,69476.65534529525,1126.1437405920278,1.8301619996729037,5428.940278125,58670.496487152035,1047.143475,694.1949248564657,299.1838500000003,139.10794704633204,2.991838500000003,10.354924816105875
12,76944.64418510773,1013.1732155598891,1.9315115896525297,5428.940278125,65528.17840016611,1047.143475,773.2490177356885,299.1838500000003,0.0,2.991838500000003,0.0
13,74482.65157679729,992.4945865815469,1.8737119562190558,5428.940278125,63393.04139375595,1047.143475,749.1910741122966,299.1838500000003,0.0,2.991838500000003,0.0
14,52592.632848483474,772.6501363171702,1.3237874740868045,5428.940278125,44622.45884756318,1047.143475,536.5976074582651,299.1838500000003,0.0,2.991838500000003,0.0
15,68536.11193984206,903.4369882437303,1.6362060157786695,5428.940278125,58746.01696908045,1047.143475,698.9927556719446,299.1838500000003,0.0,2.991838500000003,0.0
