#daily flow (m3),P (mg),N (mg)
2.0621905801320623e6,2.3565441856827256e8,6.645849359054722e9
2.5431221463719704e6,2.894115598700402e8,8.16189079479577e9
1.9092393115614345e6,1.767397141709531e8,4.984356004350703e9
1.5560973061185484e6,1.3002211357188924e8,3.666841408680548e9
1.9210607107483805e6,2.013645163632643e8,5.678816676299479e9
2.6067928106942493e6,3.02055374844399e8,8.518467557301941e9
2.879117185993429e6,3.352586889742324e8,9.45485663614417e9
2.9689175106173707e6,2.852657199938184e8,8.044971165401469e9
2.9985296167452415e6,2.882406526853204e8,8.128869250746817e9
2.9679765409505223e6,2.8416578952327216e8,8.013951283588531e9
2.954601455267023e6,2.8282208301757264e8,7.976056509223952e9
2.950190953875321e6,2.823789890775662e8,7.963560517868967e9
1.975736618926649e6,1.472822929132244e8,4.1536073794172664e9
1.518594625514945e6,1.0035085915227626e8,2.8300623303803234e9
1.3095575634758798e6,3.780501591801535e7,1.0319069629064918e9
2.0144328727793773e6,2.1168769926945063e8,5.778122440459196e9
2.6705833095403537e6,2.915653093895146e8,7.958422066360035e9
2.9001524219983225e6,3.179053507871532e8,8.677386771477802e9
2.896033307695893e6,3.1513625510601705e8,8.601802909259218e9
1.9277554209616836e6,1.6040593456884623e8,4.378360827358833e9
2.523198965042558e6,2.7465489102412355e8,7.496843674361703e9
2.8515516973446854e6,3.07758439911289e8,8.400421725159536e9
2.9598276528829862e6,3.1999988268345267e8,8.734558075214544e9
2.99553219069979e6,3.240365596558979e8,8.844741207630198e9
3.007305940599975e6,3.2536767407461023e8,8.881074646559923e9
1.8717629334224164e6,1.0873354962247656e8,2.9679370377808437e9
1.3175688923618088e6,3.58946468089319e7,9.797624752633779e8
1.8667702451244206e6,1.873697033064627e8,5.114350484574867e9
2.2745849462575396e6,2.2273064421663553e8,8.313865537339025e9
1.6003215532278824e6,1.051848785204858e8,3.926235384701248e9
1.398129175938486e6,9.84560273240464e7,3.675067592928743e9
2.3214344708447866e6,2.364851299591875e8,8.827279151352552e9
2.7817187902302956e6,2.874551634932079e8,1.0729837314042303e10
2.9367999025341e6,3.042627869474791e8,1.1357215382706821e10
2.3547104200092535e6,2.2056841486507627e8,8.233156014170464e9
2.653470013040371e6,2.0919409392127693e8,7.808586798569802e9
2.887909114601272e6,2.3045190649613822e8,8.602077052176096e9
2.8919960158540667e6,2.291212125863579e8,8.552406247890591e9
2.3073681996902567e6,1.6523067202732965e8,6.167564390211478e9
2.4142652784654056e6,1.8419389747603598e8,6.875404602721466e9
2.789229820251906e6,2.2220796669464767e8,8.294355556337173e9
2.939276702245693e6,2.3474329612433243e8,8.762261729334558e9
2.988755411953737e6,2.855619573481596e8,9.48201007075922e9
3.00507126391842e6,2.871914213041638e8,9.536115995036572e9
2.325981160023159e6,1.9838206317065886e8,6.587224496954873e9
2.717216960782779e6,2.5844341522053775e8,8.581545975519415e9
1.8395730865402184e6,1.2781639839039072e8,4.244110062840863e9
2.4043995536447624e6,2.2520342641160154e8,7.477820845025285e9
2.725956207847854e6,2.5731728592512423e8,8.544153146939418e9
1.739129618267274e6,1.0968458620482238e8,3.642047983769665e9
2.3678799490727508e6,2.3294615233987474e8,7.7349160334348e9
2.496920397232525e6,2.39112244491624e8,7.939659509852535e9
2.4823801102378704e6,2.3654618931763494e8,7.854454319259789e9
2.768073154639982e6,2.7477940038947964e8,9.123978088417519e9
2.929000129810549e6,2.9264764098898876e8,9.717288341942387e9
2.651261012022955e6,2.5419975403821212e8,8.440636316398952e9
2.8640802924391893e6,2.808616199216644e8,1.0039719882328327e10
1.9649497439185628e6,1.5048753633957052e8,5.379349129483718e9
2.3155414065347128e6,2.1835735782976002e8,7.805433535089506e9
2.7632752420679647e6,2.705085047264479e8,9.669635936723934e9
2.930718050293091e6,2.877056062186975e8,1.0284366001366842e10
2.9859331536713387e6,2.933764364368823e8,1.048707631439109e10
3.004140610135946e6,2.952464210606267e8,1.055392105384638e10
2.9698267940811673e6,2.529026983977175e8,9.040296250182653e9
2.995529401367588e6,2.560934859905481e8,9.154354602637371e9
3.0073050208037323e6,2.57145664156118e8,9.191965914754597e9
3.0111880902015856e6,2.5749262516806045e8,9.20436843301595e9
3.0124685517543983e6,2.5760703729686832e8,9.208458225436474e9
3.0128907903549084e6,2.5764476526850727e8,9.209806854939817e9
3.0130300256450037e6,2.5765720625582936e8,9.210251572262918e9
3.013075939178215e6,3.096154960552261e8,9.261081013804737e9
3.0130910793954004e6,3.0961712164556307e8,9.261129637739897e9
2.0289997996762274e6,1.6527397709703064e8,4.94360169587989e9
3.125157943754258e6,1.5295215162342477e8,4.575036732553013e9
1.5186240998880486e6,1.0832642404034586e8,3.240211816770513e9
2.3948859781847605e6,2.432410435206066e8,7.275717910207348e9
1.6218514034138613e6,9.039817032680179e7,2.703949865438589e9
1.680628124596034e6,1.5581118653075513e8,4.660554913120305e9
2.3891929732134333e6,2.5714687214997998e8,7.691662871430287e9
2.2751568349585785e6,2.3014605840645778e8,6.884026539582063e9
2.6017420693740416e6,2.816591678928185e8,8.424863759632204e9
2.8675515103435507e6,3.157761202200672e8,9.445354863831995e9
1.8645226718096149e6,1.0430870792165518e8,3.1200356791426134e9
1.2598642360406304e6,3.457627118726488e7,1.0342300456545172e9
2.0046463618400309e6,2.049210035063978e8,6.76293734124876e9
2.300019503696309e6,2.3119804127550155e8,7.630149373716323e9
2.7449565923950677e6,2.920550468067099e8,9.638592179193514e9
2.924677383953579e6,3.121229487208871e8,1.0300886238336502e10
2.7525220606217906e6,1.4651201970573416e8,4.83528575429189e9
2.4948647796676913e6,2.6412940768711025e8,8.716971923833595e9
2.086019596698993e6,1.916579826412721e8,6.325222429005908e9
2.628188266809781e6,2.3474865433854035e8,7.7473290344513e9
2.7676567917107884e6,2.450306082050254e8,8.086660818674569e9
2.922262719758289e6,2.6237568098817196e8,8.659094285252613e9
2.9831449661431606e6,2.6809530547952074e8,8.847857083543596e9
2.8097113740722598e6,2.471011131323895e8,8.154992980087554e9
3.318756513334022e6,1.5671859199059138e8,5.172129746124384e9
2.571964427169196e6,2.285264962093733e8,7.541981291492464e9
2.864332296205431e6,2.71336999714801e8,8.334257101237998e9
2.964042119271911e6,2.8122943695973957e8,8.638108457462318e9
