,date,secchi_m,chla,TP,Perception
0,1973-08-16,,,20,
1,1973-11-14,,,30,
2,1974-03-13,,,30,
3,1974-05-07,,,20,
4,1974-08-13,,,10,
5,1974-10-16,,,180,
6,1975-03-11,,,0,
7,2011-05-27,4.0,,,1.0
8,2011-06-29,4.4,,,1.0
9,2011-08-29,4.9,,,1.0
10,2012-04-29,5.9,,,1.0
11,2012-07-02,4.6,,,1.0
12,2017-06-02,5.6,,,2.0
13,2017-06-21,,1.99,17.8,
14,2017-07-10,6.1,,,2.0
15,2017-07-20,5.5,,,2.0
16,2017-07-24,,2.4,10.3,
17,2017-08-21,,2.66,10.1,
18,2017-08-23,5.5,,,2.0
19,2018-06-19,4.6,,,1.0
20,2018-06-25,,2.05,13.8,
21,2018-07-19,5.3,,,1.0
22,2018-07-23,,1.72,15.6,
23,2018-08-17,6.2,,,1.0
24,2018-08-20,,1.43,8.84,
25,2019-06-18,5.0,,,2.0
26,2019-06-24,,2.19,11.1,
27,2019-07-22,,2.05,,
28,2019-07-23,5.8,,,1.0
29,2019-08-12,5.9,,,2.0
30,2019-08-19,,2.04,11.6,
31,2020-06-29,,1.81,8.38,
32,2020-07-27,,2.66,9.02,
33,2020-08-25,,1.58,12.7,
