node,x,y,p1
n1,43.1702003,-89.5497971,-17.76165926
n2,43.1697998,-89.5447998,-17.787439
n3,43.1987991,-89.5868988,-17.51412526
n4,43.153801,-89.5569992,-17.28533255
n5,43.1529999,-89.5457001,-17.56005921
n6,43.1259995,-89.5635986,-18.22130383
n7,43.1259995,-89.574501,-18.30021859
n8,43.1226006,-89.5328979,-18.47342046
n9,43.148201,-89.4681015,-16.79394417
n10,43.1609993,-89.4651031,-16.60473807
n11,43.1478004,-89.4598999,-16.99288486
n12,43.1488991,-89.4518967,-17.00173777
n13,43.1666985,-89.4717026,-16.75588682
n14,43.1696014,-89.5307007,-17.89383271
n15,43.1780014,-89.4785995,-17.07567993
n16,43.2196999,-89.441803,-16.02561787
n17,43.2248001,-89.5178986,-17.74876049
n18,43.2354012,-89.5203018,-17.96961186
n19,43.1635017,-89.4608002,-16.47158148
n20,43.1959991,-89.4356003,-15.87648977
n21,43.1968002,-89.5034027,-17.51636908
n22,43.2714996,-89.3850021,-16.04262823
n23,43.273201,-89.382103,-16.13089611
n24,43.2653999,-89.4016037,-15.59346868
n25,43.277401,-89.3796005,-16.25748988
n26,43.2748985,-89.3725967,-16.3616877
n27,43.283699,-89.4039001,-16.20302006
n28,43.2056999,-89.3778992,-16.07599082
n29,43.2350006,-89.3892975,-16.03734751
n30,43.2285004,-89.3223038,-14.58168844
n31,43.2387009,-89.3114014,-15.01055293
n32,43.1954994,-89.3641968,-16.07308047
n33,43.2100983,-89.2738037,-15.90352208
n34,43.2444992,-89.3010025,-15.32105925
n35,43.2033997,-89.5521011,-16.65895044
n36,43.1949997,-89.5595016,-16.99011532
n37,43.1955986,-89.5334015,-17.17995157
n38,43.2266006,-89.3581009,-15.23350539
n39,43.1903,-89.4852982,-17.09317452
n40,43.2108994,-89.5988007,-17.81516915
n41,43.2613983,-89.4776001,-17.43406172
n42,43.2691994,-89.4738998,-17.34431344
n43,43.2001991,-89.3651962,-15.980498
n44,43.1855011,-89.3672028,-16.37420267
n45,43.2596016,-89.3796005,-16.158726
n46,43.2755013,-89.3908997,-16.0167015
n47,43.2813988,-89.3864975,-16.23750317
n48,43.263401,-89.2769012,-16.17665704
n49,43.2681999,-89.2759018,-16.29552336
n50,43.2667999,-89.2598038,-16.06653048
n51,43.2683983,-89.2522964,-16.16830063
n52,43.2522011,-89.2656021,-16.0604483
n53,43.2472,-89.300499,-15.39560201
