da_prices,rt_prices,coal,gas,nuclear,hydro,wind,solar,other,total
40.37,48.15 ,9628.7,3330,1663.7,162.4,5914.1,0.1,130.6,20829.6
34.57,34.94 ,8964.7,2258.2,1664.2,162.5,5883.7,0.1,125.3,19058.7
33.35,31.47 ,8639.3,1922.7,1666.1,161.6,5669.6,0,124.8,18184.1
27.11,28.77 ,8372.7,1582.8,1667.5,162.6,6407.6,0,124.1,18317.3
27.53,27.16 ,8145.4,1468.9,1668.9,163.1,6699.7,0,124.4,18270.4
27.19,27.04 ,8127,1465,1670.8,164.2,6523.5,0,124.1,18074.6
30.84,35.37 ,8329.3,1947.2,1671.9,163.5,6279.8,0,123.9,18515.6
37.46,35.57 ,8720.9,2355.6,1715.1,166.4,6407.3,4.9,124.6,19494.8
45.22,37.53 ,9151.1,2764.5,1755.9,167.5,5920.4,29.1,125.7,19914.2
51.56,47.04 ,9669.7,3850.3,1760.1,168.9,4495.5,45.5,125.7,20115.7
58.94,40.78 ,9687.8,4375.8,1763.7,169.7,4257.4,67.4,162.6,20484.4
63.34,41.90 ,9505.3,4730.9,1761.7,182.3,4332.5,128.7,168.6,20810
74.14,40.27 ,9534.5,4947.7,1762.2,192.6,4220.9,180,209.3,21047.2
74.05,36.01 ,9245.7,4978.6,1763.2,202.2,4509.1,209,229.4,21137.2
67.40,46.02 ,9366.8,5229.9,1761.8,199.2,5243.2,194.9,230.5,22226.3
67.16,44.00 ,9563.7,5266.8,1759.7,198.7,6908.4,172.7,230.6,24100.6
73.57,36.95 ,9521.4,4890.3,1760.3,198.8,8673.9,95.8,232.3,25372.8
77.26,41.12 ,9217.8,4892.2,1760.4,198.6,9096.7,89.6,232.8,25488.1
71.27,45.80 ,9320.1,5192.9,1759.7,198.5,8512.7,113.3,223.7,25320.9
66.15,46.40 ,9588.7,5142.3,1758.2,180.2,7322.7,68.7,232.7,24293.5
60.42,49.81 ,9764.5,5100.5,1758.2,165.1,6902.4,35.6,195.2,23921.5
54.46,45.65 ,9648.5,4589.5,1756.7,165.2,8301.5,7.8,136.7,24605.9
50.29,40.42 ,9138.2,3498.1,1758,184.9,10711.8,0.3,124.6,25415.9
46.50,100.05 ,8339.4,2462.7,1705.1,174.5,11827,0.3,110.6,24619.6
39.76,40.17 ,7882.4,1939.9,1671.2,169,11606.3,0.2,97,23366
32.71,33.90 ,7628.5,1276.9,1667.8,174.1,11272.1,0.2,98.5,22118.1
27.48,26.76 ,7797.9,824.3,1666.6,171,10349.1,0.1,93.5,20902.5
24.00,25.50 ,7833,640.1,1665.6,171.4,9641.7,0.1,93.6,20045.5
23.01,25.41 ,7561.2,634.4,1666.8,169.8,8842,0.2,91.8,18966.2
23.57,27.23 ,7950,656,1667.8,170.4,8231.1,0.3,88.7,18764.3
26.98,154.55 ,8388.8,904.8,1669.4,189.2,7704.2,0.3,95.1,18951.8
31.21,27.68 ,8642.6,1318.4,1716,192.2,7095.3,6.2,85.2,19055.9
34.29,28.79 ,8484,2409,1755.6,193.3,6535,43.2,84.1,19504.2
37.80,33.63 ,8686.6,3290.8,1763.6,197.1,5455.4,64.5,83.2,19541.2
41.46,297.53 ,9084.1,3343.2,1767.5,200.6,4357.2,71.5,122.8,18946.9
44.15,42.63 ,9391.3,3890.6,1768.5,199.8,3535.7,88.6,116.9,18991.4
45.89,50.87 ,9653.1,4671.4,1765.7,202.8,2855.4,141.7,133.8,19423.9
51.38,55.11 ,9686.6,4945.8,1766,200.7,2719.6,174,147.6,19640.3
56.23,54.68 ,9708.2,5156.1,1766.1,198.7,3194.1,185.7,136.7,20345.6
58.17,57.36 ,9697.5,5283.7,1767.5,200.4,3731.6,192.4,122.4,20995.5
64.95,60.47 ,9689.7,5530.2,1765.9,201.8,3678.1,172,118.9,21156.6
67.31,48.82 ,9682.2,5619.7,1764.2,199.6,3662.7,150.8,120.8,21200
66.82,61.39 ,9699.3,5602.7,1764.2,197,3173.5,125.5,125.1,20687.3
63.46,56.65 ,9702.7,5308.5,1764,195.5,2888.2,93.8,130.6,20083.3
54.68,50.62 ,9694.8,4941.1,1763.5,194.5,3072,33,103.4,19802.3
47.76,46.28 ,9675.4,4722.2,1763.9,196.1,4122.8,2.5,95,20577.9
43.73,36.55 ,9625.8,4268.3,1764.4,196,5458.8,0.1,96,21409.4
34.92,32.44 ,9584.2,3356.5,1763.9,196.6,6068.5,0.1,95.3,21065.1
30.88,29.68 ,9459.7,2863.9,1764.4,196.2,6214.2,0.1,96.2,20594.7
27.05,28.72 ,9393.2,2161.8,1765.8,193,5740.5,0.1,96.8,19351.2
24.62,25.43 ,9191,1538.3,1767.1,189.1,5512.5,0.1,99.1,18297.2
23.80,27.78 ,9108.1,1589.7,1769.6,177,4556.8,0.1,100.4,17301.7
22.37,25.21 ,9067.6,1503.1,1773.2,167.9,4002.9,0.1,101.1,16615.9
22.67,34.35 ,9116.2,1739.7,1777.1,159.9,3420.7,0.1,102.5,16316.2
26.97,25.19 ,9036.7,2316.5,1778,159.1,2797.1,0.1,102.2,16189.7
27.72,24.04 ,8835.2,3161,1775.1,159.2,2659.8,3.5,99.6,16693.4
29.21,26.39 ,8951.7,3497.1,1775.3,170.8,2441.4,21.1,98.8,16956.2
33.79,34.23 ,9216.7,3948.1,1776.6,181.3,2017.6,57.4,94.1,17291.8
37.02,32.73 ,9384.9,4196.2,1777.7,182.2,2062,84.2,95.9,17783.1
38.97,36.04 ,9466.3,4538.6,1778.4,182.9,2245.5,129.3,93.4,18434.4
41.07,40.09 ,9501.8,4808,1777.9,183.6,1984.9,131.6,89.2,18477
47.08,47.24 ,9504.5,5082.6,1775.6,183.3,2090.5,142.9,135,18914.4
51.88,41.80 ,9501,5302.6,1775.5,187.6,1744.7,141.6,140.5,18793.5
55.51,50.71 ,9506.1,5405.8,1777.1,180.1,1867.7,200,137.6,19074.4
54.82,35.73 ,9392.5,5278.2,1776.1,163.9,2028,182,137.7,18958.4
56.44,37.14 ,9350.6,5359.7,1773.8,154.6,2031,139.7,136.7,18946.1
52.06,36.61 ,9465,5142,1772.3,149.1,2161.8,136.4,139,18965.6
46.88,40.50 ,9467.4,4750.1,1772.1,150.1,2369,71.5,110.2,18690.4
42.86,39.69 ,9372.4,4564.3,1771.3,150.5,2791.3,30.8,104.4,18785
39.28,38.42 ,9364.9,4189.7,1772.7,149.8,3297.5,3.5,105.8,18883.9
34.54,31.09 ,9313.4,3698.5,1770.6,148.7,3985.3,0.2,106.6,19023.3
33.05,31.11 ,9211.2,3125.7,1771.2,149.3,3726.1,0.2,106.5,18090.2
28.58,33.96 ,9246.7,2701.3,1772.9,149.5,3010,0.2,106,16986.6
27.31,32.22 ,9273.1,2536.1,1775,146.3,2869,0.2,105.8,16705.5
27.16,32.46 ,9122.7,2147.3,1776.3,148.3,2743,0.2,104.9,16042.7
25.62,27.52 ,9024.5,1902,1777.3,148.6,2403.9,0.2,104.6,15361.1
23.82,25.83 ,8958.3,1800.4,1778.4,148.5,2216.1,0.1,104.6,15006.4
23.46,24.78 ,8870.9,1693.8,1778.8,148.4,2195.4,0.2,105.1,14792.6
24.40,24.11 ,8813.1,1688.9,1779.8,147.9,2237.7,0.2,104.6,14772.2
22.95,22.04 ,8559.8,1580.3,1779.2,147.3,2921.2,2.4,104.3,15094.5
25.43,22.52 ,8420.9,1707.5,1780,146.7,3159.9,19.2,105,15339.2
28.70,25.32 ,8631.1,2433,1779.8,147.2,2590.7,46.5,103.9,15732.2
29.11,32.05 ,8906.7,3171.8,1778,148.6,2141,68.3,103.3,16317.7
32.10,31.73 ,9212.4,3614.5,1778.3,152.8,2232.3,153.1,103.1,17246.5
32.35,32.15 ,9308.9,3642,1776.8,155,3090.2,192.8,104.5,18270.2
34.33,27.85 ,9160.5,3485.8,1775.9,131.3,3626.4,233.3,104.3,18517.5
33.83,27.27 ,8993.4,3346.6,1774.4,115.1,4014.8,249.1,103.9,18597.3
35.33,29.15 ,8984.2,3528.8,1772.6,115.1,4940.6,251.9,104.6,19697.8
35.65,29.28 ,9045.5,3476.7,1770.7,112.4,5882.7,247.4,103.6,20639
37.61,33.08 ,9005.4,3502.8,1768.4,108.8,6433.6,218.8,103.7,21141.5
38.36,38.42 ,8986.9,3707.8,1766.7,109.3,6695.4,165,105.5,21536.6
35.58,38.72 ,8978.2,3831.2,1766,130.5,6217,100.2,105.1,21128.2
33.31,34.54 ,8972.7,3812.8,1768.3,143.1,5715.8,31.6,104.3,20548.6
31.55,35.46 ,8948.5,3575.3,1767.6,142.6,5763.9,3.1,104.4,20305.4
29.44,26.74 ,8856.5,2883.3,1768,140.7,7203.3,0.2,105,20957
25.59,24.18 ,8567.9,1304.9,1766.8,118.9,9245.4,0.1,105.2,21109.2
22.17,23.26 ,8021.4,657.8,1762.7,103.3,10076.7,0.2,101.8,20723.9
19.80,24.82 ,7322.9,573.8,1766.7,104,10204.8,0.2,94.8,20067.2
19.65,25.47 ,7289.9,494.4,1770.8,104.4,9594.2,0.2,96.1,19350
20.33,21.58 ,7055.4,472,1773.6,104.4,9129.6,0.3,93.6,18628.9
18.99,21.11 ,6805,423.6,1775.2,99.5,8650.1,0.3,95.5,17849.2
18.69,20.31 ,7004.7,405.2,1776.1,91.5,8047.6,0.2,102.6,17427.9
19.22,20.12 ,7183.2,399,1776.9,89.1,7736.7,0.3,107.3,17292.5
18.89,19.23 ,7216.8,462.2,1777.8,87.9,7407.6,8.3,106.6,17067.2
21.01,21.54 ,7435.8,541.4,1778.7,89,6450.9,77.4,106.3,16479.5
24.54,28.17 ,8151.1,944.5,1780,92.2,3859.1,162,105.8,15094.7
28.04,32.94 ,8788.3,1860.9,1781,110.3,1967.2,200.8,104.5,14813
28.00,32.71 ,9145.5,2810.7,1780.4,117.2,1596.7,232.1,104.5,15787.1
29.18,31.99 ,9242.2,3579.8,1777.7,117.9,2249.1,235.5,103.8,17306
30.44,36.13 ,9251.7,3943,1776,117.7,3197,222.5,103.4,18611.3
31.08,33.32 ,9253.7,4238.7,1774.7,117.2,3937.8,219.2,103.4,19644.7
32.77,36.57 ,9282.3,4432.8,1774.2,115,3971.7,191.1,95.3,19862.4
35.20,39.87 ,9279.9,4524.5,1772.1,110.7,3512.7,197.6,97.8,19495.3
40.15,39.78 ,9277.3,4661.4,1772.1,110.3,3156.6,212.7,105.3,19295.7
41.15,49.95 ,9285.7,4797.3,1770.7,110.3,2830.2,200.7,105.1,19100
40.18,47.55 ,9282.9,4757.1,1771.2,111.7,2456,166.3,104.7,18649.9
37.73,37.36 ,9291.4,4402.9,1770.8,112.9,2066.6,69,105.1,17818.7
35.35,37.14 ,9317.1,4109.3,1773.2,112.3,2200.8,5.5,106,17624.2
31.22,31.67 ,9361.4,3993.5,1773.5,107,2309.8,0.3,108.5,17654
28.32,27.60 ,9237.1,3575.7,1774.4,105.1,2219.5,0.2,110.6,17022.6
26.84,28.50 ,9239.1,3479.6,1776.3,105.6,1955.3,0.1,114.3,16670.3
