"41.8	"
"43.5	"
"41.7	"
"39.7	"
"39.8	"
"39.2	"
"37	"
"37.2	"
"39	"
"44.4	"
"42.2	"
"40.7	"
"42.4	"
"43.5	"
"47.9	"
"47.2	"
"46.4	"
"45.4	"
"44.4	"
"46.3	"
"47.7	"
"48.8	"
"50.6	"
"53.1	"
"50	"
"45.4	"
"45.9	"
"44.8	"
"50.1	"
"53	"
"52.1	"
"49.2	"
"49.4	"
"51.8	"
"53.2	"
"53.5	"
"53.9	"
"53.6	"
"51.8	"
"52.6	"
"52.1	"
"53.4	"
"52.6	"
"54.6	"
"53.2	"
"50.5	"
"52.5	"
"53.6	"
"58.4	"
"59	"
"55.4	"
"60.3	"
"63.8	"
"61.9	"
"58.6	"
"57.5	"
"54.1	"
"58.4	"
"62.2	"
"66.2	"
"64.6	"
"63.1	"
"60.9	"
"60.6	"
"63.2	"
"62.3	"
"61.4	"
"66	"
"63.7	"
"61.1	"
"60.3	"
"60.9	"
"63	"
"64.9	"
"66.1	"
"65.2	"
"66.1	"
"67.4	"
"68.7	"
"67.1	"
"68.9	"
"68.5	"
"68.1	"
"68.6	"
"69.4	"
"71.3	"
"72.4	"
"71.1	"
"66.3	"
"63.5	"
"64.6	"
"66.6	"
"68.4	"
"68.5	"
"69.6	"
"70	"
"71.4	"
"70.1	"
"72.4	"
"71.2	"
"73	"
"70.1	"
"67.5	"
"66.2	"
"67.7	"
"70.8	"
"71	"
"71.8	"
"72.5	"
"70	"
"70.3	"
"69.8	"
"68.6	"
"70.3	"
"71.1	"
"71	"
"71.1	"
"71.6	"
"71.3	"
"71.4	"
"71.9	"
"72.6	"
"72.7	"
"70.4	"
"73.7	"
"71.2	"
"70.2	"
"70.5	"
"70.8	"
"71.5	"
"73	"
"70.8	"
"70.8	"
"71.1	"
"70.8	"
"71.9	"
"70.2	"
"70.1	"
"69	"
"66.6	"
"67.4	"
"68.2	"
"67.2	"
"68.8	"
"69.2	"
"68.5	"
"63.6	"
"63.3	"
"65.8	"
"67.9	"
"64.6	"
"64.7	"
"66.4	"
"67.7	"
"68.2	"
"63	"
"60.8	"
"62.7	"
"64.6	"
"62.8	"
"60.7	"
"60.6	"
"61.4	"
"63.3	"
"63.6	"
"62.7	"
"57	"
"54.6	"
"57.4	"
"59.9	"
"61.8	"
"62.3	"
"61.4	"
"64.7	"
"59.7	"
"63.6	"
"63.1	"
"58.9	"
"58.4	"
"58.6	"
"55.5	"
"55.9	"
"54.8	"
"51.6	"
"51.1	"
"51.2	"
"53.2	"
"55.9	"
"59.5	"
"60.4	"
"60.5	"
"56.3	"
"52.8	"
"52.8	"
"53.7	"
"52	"
"46.4	"
"46.1	"
"48.1	"
"46.8	"
"48.8	"
"49.9	"
"49.5	"
"48.2	"
"45.9	"
"46.8	"
"47.6	"
"48.8	"
"45	"
"41.3	"
"39.1	"
"41.6	"
"46.5	"
"44.2	"
"41.2	"
"43.7	"
"43.2	"
"43.5	"
"42.3	"
"43	"
"42.9	"
"43.5	"
"41.6	"
"39.9	"
"41.2	"
"43.2	"
"45.4	"
"42.3	"
"37.2	"
"34.8	"
"33.5	"
"33.1	"
"38.2	"
"33.3	"
"32.9	"
"34.6	"
"31.7	"
"35.4	"
"35.2	"
"32.2	"
"28.6	"
"32.5	"
"31.2	"
"30	"
"27.4	"
"27.6	"
"25.8	"
"23.4	"
"19.4	"
"18.8	"
"18	"
"18.2	"
"17.8	"
"15.6	"
"21.8	"
"19.7	"
"24.7	"
"23.2	"
"14.6	"
"13.9	"
"17.4	"
"20.9	"
"24.5	"
"23.9	"
"24	"
"22.9	"
"21.7	"
"24.3	"
"25.1	"
"27.8	"
"27.1	"
"22	"
"23.5	"
"25.5	"
"23	"
"18.3	"
"13.2	"
"18.4	"
"22	"
"21.7	"
"23.9	"
"24.7	"
"20.6	"
"16.6	"
"18.6	"
"23.8	"
"21	"
"16.5	"
"17.6	"
"12.8	"
"11.9	"
"17.3	"
"16.2	"
"10.9	"
"9.3	"
"13.2	"
"16.2	"
"15.5	"
"13.4	"
"14	"
"16.9	"
"14.4	"
"15.7	"
"16.6	"
"7.8	"
"13.4	"
"17.6	"
"15.4	"
"11.2	"
"13.4	"
"18.2	"
"18.4	"
"18	"
"16.2	"
"16.3	"
"12.3	"
"14.4	"
"19.5	"
"20.7	"
"20.1	"
"16.7	"
"21.9	"
"29.8	"
"21.9	"
"17.7	"
"20.4	"
"22.6	"
"20.9	"
"19.6	"
"23.6	"
"26.9	"
"21.6	"
"21	"
"21.8	"
"24.4	"
"23.1	"
"23.1	"
"26	"
"27.6	"
"23	"
"24.2	"
"26	"
"31	"
"34	"
"31.2	"
"31.7	"
"37	"
"38.2	"
"35.5	"
"37.5	"
"40.9	"
"39.7	"
"36.4	"
"31.7	"
"38.4	"
"38.2	"
"35.9	"
"36.7	"
"38.4	"
"37.8	"
"35.2	"
"32.6	"
"34.9	"
"38.6	"
"41.6	"
