#algae,s,v,m,N fixer?,edible?
Chlorella,50,33,4,No,Yes
Rhodomonas,108,72,11,No,Yes
Oocystis,5030,33500,40,No,No
Microcystis,31400,524000,40,No,No
Planktothrix,7350,13970,300,No,No
Asterionella,6690,5160,130,No,No
Anabaena,6200,29000,75,Yes,No
Ceratium,9600,43700,201,No,No
