node,product,amount(tonne/week),time
beef04,p1,4121.7848741729995,1
beef04,p1,4840.593248345999,2
beef04,p1,4021.531453334501,3
beef04,p1,2723.252233703027,4
beef04,p1,1263.9310891329233,5
beef04,p1,1462.2230544429233,6
beef04,p1,1261.0291792601035,7
beef04,p1,1459.3211445701036,8
beef04,p1,161.6311852925999,10
beef04,p1,359.9231506025999,11
beef04,p1,198.29196531,13
beef04,p1,148.95053469000013,14
beef04,p1,347.2425000000001,15
beef11,p1,233.65098264,1
beef11,p1,274.50000000000006,2
beef11,p1,274.50000000000006,3
beef11,p1,76.20803472000006,4
beef11,p1,175.35401736000006,5
beef11,p1,274.50000000000006,6
beef11,p1,76.20803472000006,7
beef11,p1,175.35401736000006,8
beef11,p1,274.50000000000006,9
beef11,p1,99.14598264,11
beef11,p1,198.29196528,12
beef11,p1,13.725000000000005,15
beef14,p1,965.1328944600001,1
beef14,p1,1322.1750000000002,2
beef14,p1,99.14598264,4
beef14,p1,198.29196528,5
beef14,p1,297.43794792,6
beef14,p1,396.58393056,7
beef14,p1,495.7299132,8
beef14,p1,594.87589584,9
beef14,p1,694.0218784799999,10
beef14,p1,793.16786112,11
beef14,p1,892.31384376,12
beef14,p1,991.4598264000001,13
beef14,p1,1090.6058090400002,14
beef14,p1,66.10875000000001,15
beef16,p1,3558.0283959,1
beef16,p1,4146.903171702,2
beef16,p1,3629.25151545493,3
beef16,p1,3112.8288204795776,4
beef16,p1,3241.8729659915666,5
beef16,p1,2725.450271016214,6
beef16,p1,2209.0275760408613,7
beef16,p1,1692.6048810655088,8
beef16,p1,1176.1821860901566,9
beef16,p1,659.7594911148043,10
beef16,p1,198.29196531,12
beef16,p1,396.58393062,13
beef16,p1,104.07053469000007,14
beef16,p1,302.36250000000007,15
beef19,p1,2069.7342159361283,1
beef19,p1,3123.000000000001,2
beef19,p1,2684.7893358487813,3
beef19,p1,2742.21661735389,4
beef19,p1,2738.6844205733223,5
beef19,p1,2498.673754158429,6
beef19,p1,2556.1010356635365,7
beef19,p1,2316.090369248644,8
beef19,p1,1929.9470241546628,9
beef19,p1,2063.5823403797694,10
beef19,p1,1823.571673964877,11
beef19,p1,1286.2150271736577,12
beef19,p1,1046.2963283024385,13
beef19,p1,608.0856641512191,14
beef19,p1,156.15000000000003,15
beef20,p1,1077.7255563900003,1
beef20,p1,1399.9500000000003,2
beef20,p1,1043.733559031508,3
beef20,p1,11.906242830000167,6
beef20,p1,210.19820814000016,7
beef20,p1,408.49017345000016,8
beef20,p1,606.7821387600002,9
beef20,p1,805.0741040700002,10
beef20,p1,1003.3660693800002,11
beef20,p1,1201.6580346900002,12
beef20,p1,1399.9500000000003,13
beef20,p1,69.99750000000002,15
beef28,p1,6260.905979840745,1
beef28,p1,6750.487969613745,2
beef28,p1,6849.633952253745,3
beef28,p1,6948.779934893744,4
beef28,p1,6242.9674546531005,5
beef28,p1,5558.19214318559,6
beef28,p1,4852.379662944946,7
beef28,p1,4146.567182704302,8
beef28,p1,4017.2717463623335,9
beef28,p1,4116.4177290023335,10
beef28,p1,3219.1975466551444,11
