#daily flow (m3),P (mg),N (mg)
2.0621905801320623e6,1.1921011339634825e8,6.645849359054722e9
2.5431221463719704e6,1.4640415011071023e8,8.16189079479577e9
1.9092393115614345e6,8.940702871587977e7,4.984356004350703e9
1.5560973061185484e6,6.5774072886510365e7,3.666841408680548e9
1.9210607107483805e6,1.018639369272469e8,5.678816676299479e9
2.6067928106942493e6,1.528002560102441e8,8.518467557301941e9
2.879117185993429e6,1.6959676195568755e8,9.45485663614417e9
2.9689175106173707e6,1.443069009066843e8,8.044971165401469e9
2.9985296167452415e6,1.4581182521769488e8,8.128869250746817e9
2.9679765409505223e6,1.4375048088740966e8,8.013951283588531e9
2.954601455267023e6,1.430707422859056e8,7.976056509223952e9
2.950190953875321e6,1.428465950827497e8,7.963560517868967e9
1.975736618926649e6,7.450545144084781e7,4.1536073794172664e9
1.518594625514945e6,5.07643241813351e7,2.8300623303803234e9
1.3095575634758798e6,1.8835696208592266e7,1.0319069629064918e9
2.0144328727793773e6,1.0546973986685024e8,5.778122440459196e9
2.6705833095403537e6,1.4526737945395413e8,7.958422066360035e9
2.9001524219983225e6,1.583908501321199e8,8.677386771477802e9
2.896033307695893e6,1.5701119603713113e8,8.601802909259218e9
1.9277554209616836e6,7.991948634927934e7,4.378360827358833e9
2.523198965042558e6,1.368420555820782e8,7.496843674361703e9
2.8515516973446854e6,1.533353270468257e8,8.400421725159536e9
2.9598276528829862e6,1.5943441447245663e8,8.734558075214544e9
2.99553219069979e6,1.614456190520311e8,8.844741207630198e9
3.007305940599975e6,1.6210882381999403e8,8.881074646559923e9
1.8717629334224164e6,5.4174613041093476e7,2.9679370377808437e9
1.3175688923618088e6,1.788388779610519e7,9.797624752633779e8
1.8667702451244206e6,9.335371840149915e7,5.114350484574867e9
2.2745849462575396e6,1.3046095395502758e8,7.331456566923309e9
1.6003215532278824e6,6.161037984552889e7,3.4622912849836283e9
1.398129175938486e6,5.7669061625952944e7,3.2408027670228796e9
2.3214344708447866e6,1.3851742654974085e8,7.784202596444982e9
2.7817187902302956e6,1.6837231796513325e8,9.46194473374081e9
2.9367999025341e6,1.782171177109122e8,1.0015188593747515e10
2.3547104200092535e6,1.2919446229257084e8,7.260284094745368e9
2.653470013040371e6,1.2253213360341474e8,6.885884154086091e9
2.887909114601272e6,1.3498356127861226e8,7.585611531737843e9
2.8919960158540667e6,1.3420412835638162e8,7.541810084309106e9
2.3073681996902567e6,9.678125419665852e7,5.438773365705736e9
2.4142652784654056e6,1.0788866373522307e8,6.06297155017622e9
2.789229820251906e6,1.3015480385893634e8,7.31425198528867e9
2.939276702245693e6,1.3749717491564012e8,7.726867966304836e9
2.988755411953737e6,1.533602078923188e8,8.68028048635131e9
3.00507126391842e6,1.5423530670928472e8,8.72981160846528e9
2.325981160023159e6,1.065405025672459e8,6.030256858349277e9
2.717216960782779e6,1.387962747373218e8,7.855953064608313e9
1.8395730865402184e6,6.86434201923434e7,3.885259083832106e9
2.4043995536447624e6,1.2094483667667829e8,6.845550877621748e9
2.725956207847854e6,1.381914903169388e8,7.821721900769607e9
1.739129618267274e6,5.890578387668742e7,3.3341029811139646e9
2.3678799490727508e6,1.2510304482541114e8,7.080907972840192e9
2.496920397232525e6,1.284145264494236e8,7.268339834839291e9
2.4823801102378704e6,1.2703643407815467e8,7.190338973448216e9
2.768073154639982e6,1.4756946744443122e8,8.352521075992285e9
2.929000129810549e6,1.571655534163092e8,8.895665343673042e9
2.651261012022955e6,1.3651722900171444e8,7.726957698090648e9
2.8640802924391893e6,1.537436976039448e8,9.112251969255293e9
1.9649497439185628e6,8.237690249955341e7,4.882405612205379e9
2.3155414065347128e6,1.1952885410665348e8,7.084368681062834e9
2.7632752420679647e6,1.480764006187742e8,8.776356326583105e9
2.930718050293091e6,1.5749009684478828e8,9.334297714167288e9
2.9859331536713387e6,1.605943102523414e8,9.518281676936495e9
3.004140610135946e6,1.6161794014736643e8,9.578951308746439e9
2.9698267940811673e6,1.3843897929708242e8,8.205154951920215e9
2.995529401367588e6,1.4018561695774746e8,8.308676609789867e9
3.0073050208037323e6,1.4076157946112534e8,8.342813394174629e9
3.0111880902015856e6,1.4095150597694942e8,8.354070169540409e9
3.0124685517543983e6,1.4101413519534737e8,8.357782147511367e9
3.0128907903549084e6,1.4103478749331704e8,8.359006190810549e9
3.0130300256450037e6,1.4104159769185278e8,8.3594098252097845e9
3.013075939178215e6,1.625942385247212e8,8.665810169374804e9
3.0130910793954004e6,1.625950922017056e8,8.6658556679285e9
2.0289997996762274e6,8.679344799089333e7,4.625843763339929e9
3.125157943754258e6,8.032265484377609e7,4.2809689045073166e9
1.5186240998880486e6,5.688750289747904e7,3.031942002325988e9
2.3948859781847605e6,1.277377674990051e8,6.808059465390029e9
1.6218514034138613e6,4.747250010281353e7,2.530149148514014e9
1.680628124596034e6,8.182407389287324e7,4.360990266778285e9
2.3891929732134333e6,1.3504039816786844e8,7.1972688967180805e9
2.2751568349585785e6,1.2086095041376524e8,6.441544686201582e9
2.6017420693740416e6,1.4791300342044497e8,7.883342121183317e9
2.8675515103435507e6,1.6582948355503023e8,8.838239521967197e9
1.8645226718096149e6,5.477760367973935e7,2.919490378803887e9
1.2598642360406304e6,1.8157690930672325e7,9.677532497282233e8
2.0046463618400309e6,1.1008453325536491e8,6.235443475376185e9
2.300019503696309e6,1.2420068235013093e8,7.035014924402668e9
2.7449565923950677e6,1.5689335384104067e8,8.88680371899862e9
2.924677383953579e6,1.676739257581974e8,9.497440334641285e9
2.7525220606217906e6,7.870695062794293e7,4.458144366396218e9
2.4948647796676913e6,1.418915682957005e8,8.037067765804437e9
2.086019596698993e6,1.0295957565457928e8,5.831869339479255e9
2.628188266809781e6,1.261080884975092e8,7.143054835776709e9
2.7676567917107884e6,1.3163160279315272e8,7.455919505839148e9
2.922262719758289e6,1.409494580102408e8,7.983704452550182e9
2.9831449661431606e6,1.4402206736580855e8,8.157744178131896e9
2.8097113740722598e6,1.3274388784266785e8,7.518921912713773e9
3.318756513334022e6,8.418996958105169e7,4.768715286265744e9
2.571964427169196e6,1.2276551569252563e8,6.953723753821207e9
2.864332296205431e6,1.432826582966385e8,7.75793548915e9
2.964042119271911e6,1.4850647483097512e8,8.040775242141165e9
1.828433433808378e6,6.017521712745909e7,3.258143435292295e9
2.4409462008724315e6,1.2110138049280417e8,6.556946309337313e9
1.6461364396506608e6,4.276014212207459e7,2.315216845036179e9
2.3313320131922583e6,1.1535867241859771e8,6.24601155071161e9
2.7882826104631517e6,1.3929840084241804e8,7.542210762449194e9
1.9865268794958817e6,9.643435256204845e7,5.221367993923313e9
