Objective Value ($):,1.72E+06
Investment Cost ($): ,117806.2674
Transportation Cost ($): ,1.06E+06
Operating Cost ($)): ,80746.76675
Total Revenue ($): ,24.84867142
Total Technologies Installed: ,0
Total Pellet Generated (t): ,0
Total Struvite Generated (t): ,0
P from fertilizers (t): ,42.01788807
N from fertilizers (t): ,470.3555622
Total excess P (t): ,0
Total excess N (t): ,0
